Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
DNA replication (GO:0006260)	21/121	0.000000000000000000000000011499620374953826926827606627082103248937806347456207568075051432117893689122123390689012012444436550140380859375	0.000000000000000000000003973118839546547471550778426287437949551142538065579861364728995846984371809185176971368491649627685546875	0.000000000000000000000013055730218194563668525656235625683863074595078001745944291686987205614034479594920412637293338775634765625	0.00000000000000000000451075479038622186575973328090135426404638665743807455425599950427084650073084048926830291748046875	-1.55604055844327	92.93838675934913	BLM;FEN1;RFC3;TIPIN;RFC4;RNASEH2A;RFC2;DONSON;MCM10;BRCA1;CDC6;CDC25A;POLA2;EXO1;POLE3;MCM3;TIMELESS;MCM4;MCM5;MCM6;MCM2
DNA metabolic process (GO:0006259)	30/315	0.000000000000000000000000000006149113259633296877396771159187715853205975003512053541059478577018222882313489528749439472221638425253331661224365234375	0.000000000000000000000000004249037262406608234066218284274229800069616432916335595729256889631375061766593859147178591229021549224853515625	0.000000000000000000000000009895690228852089939165188659898779311192349712332316044967753497304152783542452453957594116218388080596923828125	0.00000000000000000000000683792194813679433450399693490970498540079577877526578310118736923894910972876459709368646144866943359375	-1.3636463323056345	91.72054991941083	DCLRE1B;BLM;FEN1;RNASEH2A;PRIM1;MCM10;BRCA1;TYMS;UNG;EXO1;RFC3;TIPIN;RFC4;RFC2;PTGES3;DONSON;FANCA;FANCC;CDC6;CDC25A;POLA2;RAD51;POLE3;MCM3;TIMELESS;UBE2N;MCM4;MCM5;MCM6;MCM2
cellular macromolecule biosynthetic process (GO:0034645)	24/368	0.000000000000000000051023132232592490369094499436762070192241701414896797874519440707530293366289697587490081787109375	0.0000000000000000117523281242404700389340129631263445220157853792560150030244159324865904636681079864501953125	0.0000000000000000095812236635383055114237333911007533035377737226363607792034571275507914833724498748779296875	0.00000000000000220687518383498946603694542774601264189997880567351007385923367110081017017364501953125	-1.7600559397216848	78.18521877039635	BLM;FEN1;RFC3;TIPIN;RFC4;RNASEH2A;RFC2;DONSON;MCM10;BRCA1;CDC6;TYMS;CDC25A;POLA2;EXO1;POLE3;POLR2D;E2F1;MCM3;TIMELESS;MCM4;MCM5;MCM6;MCM2
DNA repair (GO:0006281)	18/289	0.00000000000000809621061047594873380710436610364923894884135735505736874983995221555233001708984375	0.000000000000932413588639813397096441373841790183941979908155417433590628206729888916015625	0.0000000000004148711488527867584325513761355094948554515787986218811056460253894329071044921875	0.000000000047779327309545940324745038918721902997110984046003068215213716030120849609375	-1.7055547710490875	55.340784225093564	DCLRE1B;BLM;FEN1;RFC3;RFC4;RNASEH2A;RFC2;FANCA;FANCC;BRCA1;UNG;RAD51;EXO1;CHEK2;RFWD3;TIMELESS;UBE2N;TRIP13
DNA-dependent DNA replication (GO:0006261)	11/57	0.000000000000005920875361633923543189040795391738538128623310641263088882624288089573383331298828125	0.000000000000818264974977808227673382558243448544840238645381447213367209769785404205322265625	0.0000000000003169173586070258767843461138981071478965857723952836977332481183111667633056640625	0.000000000043797978959490977999229578156758558617200893792187343933619558811187744140625	-1.55367337938263	50.89879372383653	GINS2;POLA2;RFC3;RAD51;RFC4;RFC2;GINS3;PRIM1;POLE3;MCM10;MCM2
replication fork protection (GO:0048478)	4/8	0.00000004570609806124671961330356681658948492241734129493124783039093017578125	0.00000150394827430102291277607719222064730502097518183290958404541015625	0.0000006572024087118485885514250315064810337162271025590598583221435546875	0.0000197446462791255384120435445449714961796416901051998138427734375	-2.776240063753441	46.92132801826419	BLM;TIPIN;DONSON;TIMELESS
DNA strand elongation (GO:0022616)	5/14	0.00000000633771934477058909567741336213257674625509707766468636691570281982421875	0.00000031281171908831980306835173800961147350108149112202227115631103515625	0.000000088702042427914125695233358952218605253392524900846183300018310546875	0.0000043780793798349046096218296908464395755800069309771060943603515625	-2.4186798612745215	45.656807471854	DCLRE1B;GINS2;RFC3;RFC4;GINS3
positive regulation of DNA-directed DNA polymerase activity (GO:1900264)	4/7	0.000000022943891147235464179979043852948550341608324742992408573627471923828125	0.000000932601693102335635565517703293725304547479026950895786285400390625	0.000000440218897706414337249458679224289880949072539806365966796875	0.00001448529801500629952851033344085607268425519578158855438232421875	-2.5630222285214996	45.08410978586398	RFC3;RFC4;RFC2;DSCC1
G1/S transition of mitotic cell cycle (GO:0000082)	14/106	0.00000000000000026492429728454200920096933889946482923398638994506859578592639081762172281742095947265625	0.000000000000045765672355904631756666758904768193842098160384335159278634819202125072479248046875	0.0000000000000169833085801146890533768533667036124799203967994376540673329145647585391998291015625	0.0000000000029338665572148126112792201307572059862556479448159052481059916317462921142578125	-1.1927661192811423	42.781046838074005	PRIM1;MCM10;CDC6;TYMS;CDC25A;POLA2;POLE3;E2F1;MCM3;MCM4;MCM5;MCM6;EIF4E;MCM2
RNA splicing (GO:0008380)	10/107	0.000000000195133188538255970419428266798681816107663422599216573871672153472900390625	0.0000000134837033279934875404728567504196445892006295252940617501735687255859375	0.000000002597990923433167641559102221406572785777910894466913305222988128662109375	0.00000017952117280923190351183738912299592271892834105528891086578369140625	-1.877990235564867	41.986863907727866	SYNCRIP;SFPQ;SNRNP40;LSM6;NCBP1;SNRPD1;GEMIN2;TRA2B;SRSF2;SNRPA1
cellular response to DNA damage stimulus (GO:0006974)	18/330	0.0000000000000798754296720685640756623183400692226187149447280688718819874338805675506591796875	0.000000000006899240237924922569134131043868673484852072075312889865017496049404144287109375	0.0000000000034595340397075093915153617800855160896618401000779385867645032703876495361328125	0.0000000002988172526797361324264073163619291617632001134552410803735256195068359375	-1.343251083490592	40.51018003549231	BLM;FEN1;RFC3;RFC4;RFC2;DONSON;FANCA;FANCC;MCM10;BRCA1;UNG;RAD51;EXO1;CHEK2;RFWD3;E2F1;TIMELESS;DTL
regulation of DNA-directed DNA polymerase activity (GO:1900262)	4/7	0.000000022943891147235464179979043852948550341608324742992408573627471923828125	0.000000932601693102335635565517703293725304547479026950895786285400390625	0.000000440218897706414337249458679224289880949072539806365966796875	0.00001448529801500629952851033344085607268425519578158855438232421875	-2.2821073412105495	40.142756769461826	RFC3;RFC4;RFC2;DSCC1
double-strand break repair (GO:0006302)	10/142	0.000000003179712420051377428196728963899313213925523768921266309916973114013671875	0.000000183098440187958487812962282172135619617847623885609209537506103515625	0.00000003274037309343953014374901944183449131742236204445362091064453125	0.000001885299817297226242151174900596455330514800152741372585296630859375	-1.9356881439515332	37.8745938277752	DCLRE1B;BLM;FEN1;SFPQ;RAD51;CHEK2;RFWD3;UBE2N;BRCA1;TRIP13
