Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
DNA replication_Homo sapiens_hsa03030	13/36	0.00000000000000000000171406039246229747880130501076976593741514117701860899097530965828894977676100097596645355224609375	0.0000000000000000000942733215854263658479700827499211571577810676694468973273177692107083203154616057872772216796875	0.00000000000000002993580217570676077746876019301582607110554485967644777755225504733971320092678070068359375	0.00000000000000164646911966387176264209612410685894678212255574922817658034546184353530406951904296875	-2.0011127825608988	95.68405196465328	RFC3;FEN1;RFC4;RNASEH2A;RFC2;PRIM1;POLA2;POLE3;MCM3;MCM4;MCM5;MCM6;MCM2
Cell cycle_Homo sapiens_hsa04110	13/124	0.000000000000070341541962455528343183477303016022053809390424117253814983996562659740447998046875	0.0000000000019343924039675269473960114828477128436599874472534565938985906541347503662109375	0.000000000036394342925967014797406141785558806971134782060062207165174186229705810546875	0.0000000010008444304640929036974946313176028367397663032534183003008365631103515625	-1.707918516395327	51.725019085211656	CDC6;PKMYT1;CDC25A;ANAPC10;RBL1;CHEK2;E2F1;MCM3;MCM4;MCM5;MCM6;SKP2;MCM2
Pyrimidine metabolism_Homo sapiens_hsa00240	8/105	0.0000000693615552013661051358912879027940334708546288311481475830078125	0.000001271628512025045190238594673692862357938793138600885868072509765625	0.00000286807589861458649965341057008760827784499269910156726837158203125	0.0000525813914746007526348180183273228749385452829301357269287109375	-1.7347927432187138	28.59620749132879	POLA2;DTYMK;PRIM1;POLE3;POLR2D;TYMS;UMPS;POLR3K
Spliceosome_Homo sapiens_hsa03040	8/134	0.00000045853923300424818675180929118673223143787254230119287967681884765625	0.000006304914453808412686951385961453553363753599114716053009033203125	0.0000156965707897706733598731931866865352276363410055637359619140625	0.00021582784835934675361605872279113782497006468474864959716796875	-1.722670084734299	25.142748840944584	SNRNP40;LSM6;NCBP1;SNRPD1;TRA2B;SRSF2;SRSF3;SNRPA1
Fanconi anemia pathway_Homo sapiens_hsa03460	5/53	0.0000077469556229787625198889011723935027475818060338497161865234375	0.000071013759877305331004622435120410273157176561653614044189453125	0.00009443858905368266863818160761212539000553078949451446533203125	0.000865687066325424394754028956100455616251565515995025634765625	-1.5753718088271205	18.539307242605453	BLM;RAD51;FANCA;FANCC;BRCA1
Purine metabolism_Homo sapiens_hsa00230	7/176	0.000035317076138860286314835601473305359832011163234710693359375	0.0002774913125196165120979474583151613842346705496311187744140625	0.00061619679252554048105861017603501750272698700428009033203125	0.004841546226986389277191502600317107862792909145355224609375	-1.6332681398474955	16.74286683940258	POLA2;PPAT;PRIM1;POLE3;POLR2D;POLR3K;PAICS
Mismatch repair_Homo sapiens_hsa03430	4/23	0.0000054481220031893320507212878645031395308251376263797283172607421875	0.0000599293420350826517109012192552341957707540132105350494384765625	0.000058139502796233501571467050528241315987543202936649322509765625	0.00063953453075856858504877333615468160132877528667449951171875	-1.325887595840998	16.070075337954247	RFC3;RFC4;RFC2;EXO1
Nucleotide excision repair_Homo sapiens_hsa03420	4/47	0.0000998073592567002231511208432124249156913720071315765380859375	0.00068617559488981408159780084332624028320424258708953857421875	0.000716983152759635808566607284575411540572531521320343017578125	0.00492925917522249630586816948607520316727459430694580078125	-1.5624547887597182	14.393753247719134	RFC3;RFC4;RFC2;POLE3
RNA transport_Homo sapiens_hsa03013	6/172	0.000266131649636170450161365419461390047217719256877899169921875	0.001626360081109930709464261866514789289794862270355224609375	0.002935359782701054374987048589673577225767076015472412109375	0.0161781690818689656563567069724740576930344104766845703125	-1.6731210286270586	13.772328286290074	NXT1;NCBP1;POP1;GEMIN2;RPP30;EIF4E
RNA degradation_Homo sapiens_hsa03018	4/77	0.000672847560522995928600220594262282247655093669891357421875	0.0033642378026149800766819719655131848412565886974334716796875	0.003991127442296228851337236420704357442446053028106689453125	0.019955637211481143389324444115118240006268024444580078125	-1.549493346083681	11.31748663409512	LSM6;EXOSC9;RQCD1;EXOSC2
Base excision repair_Homo sapiens_hsa03410	3/33	0.000646848765270114527993483566348231761367060244083404541015625	0.0033642378026149800766819719655131848412565886974334716796875	0.0029414852876125390131190062703581133973784744739532470703125	0.0161781690818689656563567069724740576930344104766845703125	-1.1140318630344066	8.180779397763326	FEN1;POLE3;UNG
HTLV-I infection_Homo sapiens_hsa05166	5/258	0.01080364296531755204100466727368257124908268451690673828125	0.04010568314971939274382606299695908091962337493896484375	0.05988379239810648346775678874109871685504913330078125	0.193741681287991573956475122031406499445438385009765625	-1.6182595677181228	7.327272007597136	CHEK2;POLE3;E2F1;MYBL2;ANAPC10
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120	4/137	0.005521022007089753692865574663528605015017092227935791015625	0.0253046841991613723210630126914111315272748470306396484375	0.0265346925092528607148523178693722002208232879638671875	0.11226216061606979212950108149016159586608409881591796875	-1.38342380867894	7.192686399358434	UBE2N;BRCA1;SKP2;ANAPC10
Ribosome biogenesis in eukaryotes_Homo sapiens_hsa03008	3/89	0.0109379135862871061657397575572758796624839305877685546875	0.04010568314971939274382606299695908091962337493896484375	0.0377087094939815570260321919704438187181949615478515625	0.138265268144599051680643242434598505496978759765625	-1.550892455949421	7.003086235215469	NXT1;POP1;RPP30
Progesterone-mediated oocyte maturation_Homo sapiens_hsa04914	3/98	0.01417160770753074332251042477537339436821639537811279296875	0.045849319053775934584837870033879880793392658233642578125	0.047587052016311033597606439116134424693882465362548828125	0.163580491306069164547665195641457103192806243896484375	-1.4926566421877794	6.353515048748796	PKMYT1;CDC25A;ANAPC10
Metabolic pathways_Homo sapiens_hsa01100	12/1239	0.0254464762042216248449921778274074313230812549591064453125	0.0777531217351216386024503890439518727362155914306640625	0.30192615771657482781620274181477725505828857421875	0.553531289147053850996371693327091634273529052734375	-1.5894288805602823	5.835076347033033	POLA2;DTYMK;PPAT;PTGES3;PRIM1;POLE3;POLR2D;SEPHS1;UMPS;TYMS;PAICS;POLR3K
Pancreatic cancer_Homo sapiens_hsa05212	2/66	0.04552427579635602572505348462073015980422496795654296875	0.131780798357872708237437109346501529216766357421875	0.10394776099281466397172835058881901204586029052734375	0.310546309449429569493617009356967173516750335693359375	-1.3457495909446011	4.157706228363184	RAD51;E2F1
RNA polymerase_Homo sapiens_hsa03020	2/32	0.01178111487457951349344664748741706716828048229217529296875	0.040497582381367080994749585443059913814067840576171875	0.0304037918017339252318986808631962048821151256561279296875	0.11944346779252613954813710961389006115496158599853515625	-0.8729433059125347	3.876965972972944	POLR2D;POLR3K
