	BRD-K02113016|0.04	BRD-K02113016|0.12	BRD-K02113016|0.37	BRD-K02113016|1.11	BRD-K02113016|10.0	BRD-K02113016|3.33	BRD-K07667918|0.04	BRD-K07667918|0.12	BRD-K07667918|0.37	BRD-K07667918|1.11	BRD-K07667918|10.0	BRD-K07667918|3.33	BRD-K12184916|0.04	BRD-K12184916|0.12	BRD-K12184916|0.37	BRD-K12184916|1.11	BRD-K12184916|10.0	BRD-K12184916|3.33	BRD-K25311561|0.04	BRD-K25311561|0.12	BRD-K25311561|0.37	BRD-K25311561|1.11	BRD-K25311561|10.0	BRD-K25311561|3.33	BRD-K47983010|0.04	BRD-K47983010|0.12	BRD-K47983010|0.37	BRD-K47983010|1.11	BRD-K47983010|10.0	BRD-K47983010|3.33	BRD-K49865102|0.04	BRD-K49865102|0.12	BRD-K49865102|0.37	BRD-K49865102|1.11	BRD-K49865102|10.0	BRD-K49865102|3.33	BRD-K52911425|0.04	BRD-K52911425|0.12	BRD-K52911425|0.37	BRD-K52911425|1.11	BRD-K52911425|10.0	BRD-K52911425|3.33	BRD-K69932463|0.04	BRD-K69932463|0.12	BRD-K69932463|0.37	BRD-K69932463|1.11	BRD-K69932463|10.0	BRD-K69932463|3.33	BRD-K72703948|0.04	BRD-K72703948|0.12	BRD-K72703948|0.37	BRD-K72703948|1.11	BRD-K72703948|10.0	BRD-K72703948|3.33	BRD-K74514084|0.04	BRD-K74514084|0.12	BRD-K74514084|0.37	BRD-K74514084|1.11	BRD-K74514084|10.0	BRD-K74514084|3.33	BRD-K87142802|0.04	BRD-K87142802|0.12	BRD-K87142802|0.37	BRD-K87142802|1.11	BRD-K87142802|10.0	BRD-K87142802|3.33	BRD-K97764662|0.04	BRD-K97764662|0.12	BRD-K97764662|0.37	BRD-K97764662|1.11	BRD-K97764662|10.0	BRD-K97764662|3.33	BRD-K99616396|0.04	BRD-K99616396|0.12	BRD-K99616396|0.37	BRD-K99616396|1.11	BRD-K99616396|10.0	BRD-K99616396|3.33	BRD-K99964838|0.04	BRD-K99964838|0.12	BRD-K99964838|0.37	BRD-K99964838|1.11	BRD-K99964838|10.0	BRD-K99964838|3.33	BRD-U86686840|0.04	BRD-U86686840|0.12	BRD-U86686840|0.37	BRD-U86686840|1.11	BRD-U86686840|10.0	BRD-U86686840|3.33
AARS	0.11510444470556684	0.012751432773426904	-0.1422984966142513	-0.16343559322886314	0.2928366373638666	-0.015458991379130241	0.36038650207586276	0.04644980303038082	-0.26873753660447736	-0.36540710584848607	0.8058577774791994	-0.11819351806403826	-0.4881416649432489	0.12820332663721126	-0.06220711767754258	-0.05766769009837939	-0.06479804245199183	-0.0768230338080323	-0.12800317489913837	-0.259090506589479	-0.10770330535411372	-0.13233097064320098	-0.09084123717304966	-0.11666778351457492	0.24366337239227617	-0.07888181437764057	-0.27029079232081027	-0.2963623984762709	-0.1392915386452914	0.010568832280701676	-0.4566845119960007	-0.3551932341447991	-0.47839921082708586	-0.30307229378812167	-0.14079663789432725	-0.4518099739091473	0.22899558849823798	-0.3023964708279336	-0.5838451275458704	-0.8874544542263715	-0.753493107282198	-0.858621134880261	0.00922489630870397	0.10103021450531813	0.0333375786512331	0.1039922188489868	-0.16609843107370223	0.14152821687551706	-0.08227404565211908	-0.273261076076808	-0.26082335833675013	-0.2054657912617106	-0.5375088633423898	-0.2404298370399669	0.12410259808057529	0.24868502556152094	0.3266900657717476	0.19370930813675122	0.9064891186383163	0.2985111011660937	-0.19985227954486925	-0.1309538749555319	-0.11650926990796624	0.014624400602135879	-0.056259740766864574	-0.1907853446061575	-0.10539707355010168	0.019312233802600314	0.07659289506765532	0.2593921644259722	0.9554288529127076	0.3638421613742147	-0.05860506147647904	-0.02579458154603742	-0.01793841078731262	-0.09854390555219616	0.26178593544114764	-0.025171825153169774	0.04317226909715129	-0.026180005356256864	-0.03655148542323398	-0.11030097774907037	-0.11176130360137175	0.8534577849668329	-0.21166777803881706	-0.0998371846573735	0.08256398378278422	0.12187087864400976	0.32088615687272143	-0.15956500698056844
ABCB6	0.31340350322207877	0.11715407716278081	0.2054310274287056	0.33585940423850474	0.18657521737419472	0.119530193515122	0.344406121052228	0.18875177335873458	-0.17033671085224653	-0.328307607503237	-0.04720854032535371	0.0764493268085582	-0.8678199401869587	-0.9163348072847072	-0.9826443930004926	-0.8304081301272467	-0.8757761639974087	-0.8018457118770964	0.2985217164619482	0.03328916171408084	0.2185294700978521	-0.22621673681047247	0.3550957409280168	-0.042916402406515175	-0.4584505955096194	-0.5517688478288596	0.08341112130526233	-0.48971872772574354	0.3636865068759227	-0.13652545103905656	0.502337602894905	0.455339284747504	0.48069417939182557	0.5356937586255884	0.46251648302265574	0.45354406497002914	0.2828042806723185	-0.05698567573840722	-0.10970169250781699	-0.6295663661223188	-0.2873943442564739	-0.5011863663257691	0.003392961575435116	-0.07528238162016236	-0.16823566938057866	0.10694696878775585	-0.47208905403430607	-0.21109370097135857	0.42836751219997876	0.2917639573649063	-0.08657265608114055	-0.3270809225851166	0.24532486580805232	-0.3291809531903122	-0.08856856358765104	-0.24387065132232225	-0.33626751447034636	-0.5604953295977569	-0.31110902278284797	0.2673997262406882	0.34289215034020976	0.24646224253649893	0.10195065659861235	0.05940383393044213	0.15783318674368774	0.04699096172705586	0.0567196477987828	0.03125964935009377	0.20848431085928976	-0.29491637095426854	-0.5143843573790324	-0.3260383433562053	0.3854292701373006	0.2223650272690764	0.07667464649078652	0.1934511913350653	-0.12694577341843397	0.10146423192066815	0.16967106625304615	0.2514514199829856	0.26528229037379586	0.03026686889188805	-0.3607472715397358	-0.41926766340632443	0.04116396025543049	0.20176199243042228	-0.17618923615694904	0.24364207310101568	0.12760743678909847	0.010543576558363318
ABCC5	0.7656330025736556	0.07834887204312935	0.5912847422261316	0.22672422521132493	0.265766889867091	0.13556096657830943	2.2521027661078454	-0.7749087059488788	0.6184588668194152	0.6259084351874948	-1.7602389914389	-1.4573471489062886	-1.5018106601975207	-1.395026015514487	0.6072147163041605	-1.2306799792856322	-1.2828189057325323	-1.045523497991047	-0.12890373006321543	-0.06743338492856665	-0.06191448760204299	-0.3565091990898723	-0.1528817889319193	-0.3211116803359267	-0.5044898923518444	-0.5362393325432896	-0.4585817337297226	-0.5808237942671894	-0.8852077966950388	1.2826981057300009	-0.5898019310112014	-0.7139717882354124	-0.7357632293688925	-1.014134729674784	-0.8665124532052321	-1.1480577598533888	-0.47252287675172866	0.9800137920257374	0.9423844419992887	1.064164443321717	1.053208461113465	-0.7589888649109081	-0.8944715544504996	0.8188617788828335	0.678052471784445	0.5793277823008024	0.501310460078411	-1.03652620443931	-0.4597806125641573	0.04563847680739652	-0.38048038039113524	-0.5833637288099464	-0.10370429488352784	-0.15750032858508511	-0.325076714072984	-0.3313579634157013	-0.5304717208609336	-0.8106590223738191	0.6976996580410653	-0.42248629728604065	0.1812898784268023	0.02352363443721428	1.541558811453869	0.027965976849753254	0.7052040637841377	-0.021649596963100908	-0.6003828633748564	-0.5863868758005975	-0.45322755306195006	1.1409657942331757	1.0542131188588264	2.893583801893087	-0.02543726592859012	-0.1131292557719868	-0.47231765856524416	-0.3195690000271876	-0.4261877077178333	-0.34755251783522656	0.006585421504256376	0.156452559199729	-0.23731985633150968	-0.47527141973819137	-0.8973467941602493	-0.8250861949931828	-0.570451908970392	-0.13742757782736406	-0.4988030910560723	-0.17858845320472305	-0.24650771572903185	-0.2655542402284314
ABCF1	0.05324392326475961	-0.18131123294156914	-0.060953504556971495	-0.10232301074060797	0.20418894632257079	0.1340247110352113	0.2884973533503654	-0.06727504561559705	0.15129533127186967	0.008152806656131162	0.35822318540121206	0.037623168388575934	-0.16972329298345024	-0.1483904708786928	-0.5312362313625995	-0.10747626181662599	-0.1981357294815099	-0.45733474407531044	-0.18950137209205783	-0.12619026705147482	-0.22384355186274144	-0.1868967456095696	0.23671537167829015	0.12797857362343792	-0.04406265367939888	0.007800760606533785	-0.1754114369728216	0.37303447818857666	0.6607604768087801	0.10591452985008469	-0.1859272105035167	0.02919141354627269	-0.12234071233078189	-0.06412181600075281	0.007417774800403384	-0.204265260661939	0.13168830186892796	-0.059948349488086805	-0.00844567665686983	-0.15605633466671698	-0.48914569267859836	-0.39921834994585065	-0.127227027110564	0.09506964316734982	0.10705699871747913	0.11516304602989831	-0.4783170069181004	-0.12622701058020938	0.14616653865166462	0.045551321484726515	0.06870823632745864	-0.07844634094279061	-0.11430304713165935	0.22687404216103246	-0.13215186891540517	0.07178631320283735	-0.18606701557571093	0.1428637234293119	0.22167538383348648	0.3765856689109122	0.012440100242154806	0.018541682272526987	0.0362913151182959	-0.015724033119973353	0.09075493093335722	0.2034527166778816	-0.032694321167774966	0.3044956647432766	-0.03850701063107209	0.10176568300296059	0.0420783610221663	0.13739166846642092	-0.19161350876812833	-0.032628236300704216	0.11044931304243495	-0.12602891276999983	0.15322112607111235	-0.11354762582579347	0.16750679046827285	0.029302801539303758	0.026262195482728973	0.11598029712547901	0.29916955146236585	-0.11613740890306445	0.09799947841808887	0.11249893425871645	0.14335726748635538	-0.1311050705690923	-0.22146924077817332	-0.034036108174994105
ABCF3	0.3468852515637317	0.3541683766694792	0.4133509856401448	0.5467630390524235	0.4052373413663098	0.257022949875227	0.23331788078054672	-0.0345585678705144	-0.06840705214370324	-0.010140227949663702	-0.017704964672807577	0.042963016380195874	-0.3957075580204122	-0.4044338659444797	-0.07600451034666438	-0.3366602774124428	-0.41518308746463894	-0.242571683377698	0.5444468201482486	0.31658219797749965	0.17220253256822163	-0.4259917388627281	-0.023775654040577205	-0.2764242755234842	-0.9228317776352872	-0.12210903951622203	-0.1791223375155052	-0.24419823343111968	-0.8461074422673226	-0.7093694096418895	-0.032877448967633484	-0.37712779723072193	-0.47856525765625874	-0.17738073829370377	-0.07468124326782716	-0.11692625201748445	0.049845162416115286	-0.08286021134792332	-0.14336419643499956	-0.255274860675519	0.13014247674208335	-0.015496144906069098	-0.141545514082298	-0.10513286492763523	-0.16352150819240543	-0.10939554116664851	-0.0913041899754458	-0.169127545968081	-0.05848135958985227	0.3974339613129277	-0.2093231293696555	-0.02238408761233135	0.6738847054141308	-1.037258653571861	-0.06242965280948631	-0.34407217594387457	-1.13947037525258	-0.45097413051182517	-0.0014949236096232592	0.006631996439309636	0.5882374928052436	-0.04612682719634842	0.017987033412722415	0.04564458848727204	0.4688195107343646	-0.11448405429565023	0.2606971464401629	0.042551839535052295	0.013394496624285601	0.01190780737461091	0.04610913374485026	-0.2271474764897281	0.3013997086807114	0.16184168150232647	-0.12384323877639798	0.42405879129307333	-0.17065527553946472	-0.0681524097404654	0.45101796160538604	0.6471820622093598	0.6472232723040632	0.3670537326297862	-0.4370618588647635	-0.7901616956841769	0.0023697106895822864	0.326262412441082	-0.36286719104734527	-0.8799631209375978	0.30550075401160787	0.34207461290157565
ABHD4	0.03459615576392672	-0.048242319419294834	-0.12552089225893637	0.4092563470390133	0.3507451389324041	0.08370021215146768	-0.26755382256074434	-0.42778464487304974	-0.5375188072567708	-0.7497331517404563	0.1229624538917425	-0.11859408746846374	-0.8780906119049089	0.919812837131445	-0.6141491456426506	0.8423731728492413	-0.5415002353056823	-0.6792195766684402	0.041827125621757354	0.06139806829958072	1.0758873468339996	-0.5199814498305457	0.14407916529617756	-0.23656174774271368	-0.31849739059513205	-0.27833111315297376	-0.15936407976366626	-0.27219185666465595	0.03693166350473387	0.05789117752725629	1.400335214672695	1.2534423618736454	1.3362070901333785	1.3765797218756217	0.8728726061459757	1.2239640856391436	-0.45901261323537607	-0.6518046251321454	-0.46257663084910483	-0.3532052707060795	-0.30867862695302745	0.714427363138932	-0.29001929277028804	-0.32419793758636867	-0.7658699384713789	-0.6435912735645589	1.5356293964997312	0.15629338588470057	-0.11567802239578591	0.25596041434378236	-0.10098160045235686	0.0031754112474544627	1.4676767366859043	0.21350691497074661	-0.09069068136579646	-0.2303604936864995	-0.2556016263981344	-0.39118413495521914	1.4812527244950673	-0.13759946239900364	0.25837320179982415	0.7151363857596036	-0.033896842880010304	0.04589552575411234	0.2647122148205529	0.09358898825405874	-0.1082232538247722	-0.3700346087798098	-0.18459793720489928	-0.19260528558339876	-0.0881646060332278	2.9311407248790444	0.14439139434907666	0.054077188285617105	-0.028304063950987057	0.048235050987278726	-0.06815265112226232	-0.01056280819847307	0.1153428618999719	1.8394387124084202	0.08875150004481647	1.3442434705554984	1.0035761400086516	-0.26354216915362966	-0.0429335463482016	-0.1593871730478167	0.9214521048765766	-0.06596111601074324	0.2622492073110741	0.02615538185945443
ABHD6	-0.09124440921621597	-0.19497460408983391	0.3984660891355407	-0.18894765141043854	0.3021038979314195	0.049663606878194155	-0.13391296784361018	-0.29813847130098586	0.6090720789299532	-0.20530325356567403	-0.07553929029108482	0.03301528231098653	0.3108603802096675	-0.5617999225869417	-0.6969457227291826	-0.02659072089584284	-0.5600539599775773	-0.1412814312196525	-0.019711694749584712	-0.183667191496375	-0.08302093511474536	0.14274167121164597	0.3519389152253026	0.8842535675167212	0.5101077061600741	0.561504016381336	0.2941311593450262	-0.07134030329204617	0.39405707907222887	0.3346230297855281	-0.32819003237553973	-0.13158313414988207	-0.20824128610939005	-0.05507398307859397	0.2442822360762162	0.03955574133214907	-0.2268959963627338	-0.4009753350722474	-0.040110018681255966	0.04612934149228742	0.046284685501686816	0.14154400544288936	-0.21653267187949835	0.5469593242498553	0.5954799528611024	0.7341820084743022	-0.2950880046991191	0.2501046820175965	-0.45205997687994753	0.02057158730171989	0.5869551936426051	0.09761836781199928	0.37382891781522015	0.665730818569557	0.3092680833399382	0.2460784001260358	0.43285758735459634	-0.09235197758538434	0.22072794239860669	0.05692139000307043	-0.18063730888974025	-0.11637878394002588	0.21627128700648304	0.3081539426334623	-0.012993596838100085	-0.01604792529869048	-0.32369666062868446	0.6621286681982198	-0.444741328190533	-0.18614932341453225	-0.061221338541078474	1.4809479844264508	-0.39213706669425513	-0.353871860153031	-0.16461037216764454	-0.2258785469119108	-0.0035651095038078395	-0.0343432931107035	-0.2709368096248168	-0.27256057172895876	-0.2447811384882342	-0.39315998091423293	0.15045519080697498	0.017435195232761085	0.11959188518625148	-0.025927967331797735	-0.16650108472777259	0.2787928118921436	-0.14391361167519742	-0.0019677072167224217
ABL1	-0.08707424794015672	-0.008372851073425855	0.17258981537395415	0.017645634690280982	-0.08818347192853275	0.27681336259335776	0.23339646429448635	-0.12501069510306925	-0.032875286723086226	0.40373787613957174	0.00253341410834255	-0.26862567494850903	-0.45272023065074585	0.42038080485111173	0.3365300801825614	-0.42280233305062964	0.3563629967245993	0.010830746773891065	0.1850041422865374	0.3227028060719241	-0.22513922447965426	-0.11403943615335106	-0.192541576347154	-0.015423851763095206	-0.41806884661251004	0.08200618470954701	-0.014133545094699329	0.0883694467752889	-0.44928797594988296	0.021860103023959354	-0.23178633001415397	-0.03715702765693075	-0.012312634183521116	-0.04169890888914315	0.197741489523487	-0.03758579142841751	0.5658764041998458	-0.05149087612445413	0.7638803829290932	-0.009801581945173629	-0.28256423020974114	-0.22994359040871615	0.089289712661353	-0.1466236085158119	-0.22138426805153819	0.8847724180955167	0.7338851067958743	-0.33174763068174623	-0.147893172972512	-0.0423070618957091	0.4248188881485291	-0.007167538312427742	-0.11704638537731131	-0.3591812784308157	0.1862732384847412	-0.20624562632966045	0.16954344072831873	-0.4512308770576106	-0.07412545963709623	-0.15730866390097673	-0.013037027122951628	-0.2005420441457768	-0.0989097684810399	0.1417336570366944	0.05132389069978446	0.0051431992540861655	-0.35898496970152155	-0.19441692694639498	-0.3681796108148034	-0.1732935876112709	0.5318910882411872	-0.14357492789244	0.058732526327815414	-0.07725136969732145	0.3018653548421722	-0.16631106242413254	-0.04181977057942158	-0.09953528712284883	0.12115523064054419	0.526126858038392	-0.08617510314288701	-0.1262780521471291	-0.8140615541822243	-0.4462535187294474	-0.5717091156917936	0.1298643798519142	-0.2144947430303669	-0.32534205439257907	-0.38393488144007587	-0.3665299966970732
ACAA1	0.03913403110236654	0.07952584013723592	0.03171902474383866	0.22098093657832715	0.27638005181926406	-0.311037588770019	0.34690757356323587	-0.024896370367466503	0.3718489861949748	-0.02845199871187276	-0.38201426176312125	0.047096767147402	-0.1421676762622178	-0.5581234282075199	-0.0481433004985791	-0.04463812406259363	0.03905285452933042	-0.0037505752046286625	-0.17265335578936133	0.08100354134075438	0.10768212903706538	-0.9382767315103487	-0.044985447214340425	0.21134374735849568	-0.029240568480255174	0.07892473516946256	-0.07300442362380366	-0.12467378201363181	-0.24651024180176595	-0.2347726891385582	-0.037568784748728906	0.2297677326953376	0.2049114204600448	0.1794480432265871	-0.05645570178493712	0.22119678765268144	0.029005697323724416	-0.16806163335457983	0.49858304476126464	0.30440569058442585	0.4115010179617447	0.3056763694225196	-0.14968696141854476	-0.3822309734882472	-0.48320496106759264	0.574386365963861	0.3001736940481707	-0.5113409791848614	0.18737856501228478	0.12584521316486116	0.024558790725375406	-0.058638898734875745	0.0971931854677995	0.07560791676369287	-0.05783099208145378	0.02948029404624819	0.2101423045339749	0.06371571267616301	-0.07413545677487636	0.025210959194800136	0.22098951013394016	0.04616993700720092	0.038257900361842324	0.16432247212725404	0.06632007567205307	0.11588914840454834	0.13465369676932148	0.2305343546011489	0.10160099481924807	0.012201030804559032	0.0038323543010596595	0.8962963785269306	0.20735690688305178	0.11968542702671787	0.07288404346611976	0.13499066478911992	0.11596590860786016	0.17030781976406514	0.26392583830292854	-0.40412472500631313	0.2738980428276581	0.3383562100158753	0.0016184081830221686	-0.04559986665681196	-0.08217413314039934	-0.39786252287603546	0.1905602930183908	0.1068278528491516	0.24985152597036317	-0.13422542737256413
ACAT2	-0.018876150543093217	0.27259171479298744	0.19344856669046115	-0.23353017060229142	0.24469918641212166	0.08781027971605167	0.6466798003945327	0.635806233776471	0.1552510806481789	0.11034920878214471	-1.2217404667911866	-0.6176168870158826	-1.832364420333567	-1.9987901073956265	-1.776958619172756	-0.8126311688902778	-1.7406570814231246	-0.8204380910044504	0.12468371763077712	0.11894812934128336	0.18516142403267288	0.9279324074155605	0.46655646847452853	0.6152946953339266	0.5603252293081843	0.2659489071721139	0.3142932074600792	0.1927763128005188	0.21306060867589713	0.2625991963295509	-0.45610132307766016	-0.29507173480110993	-0.8785023938789396	-0.35213806963341804	-0.347720958657866	-0.5633731898221221	0.18627585667830093	-0.06937279444474598	-0.3708861261759064	-0.9525374545806509	-1.6103221200062696	-1.0868721332305533	0.47250185269575723	-0.12463080467322059	0.04106919863284997	-0.08849615476070483	-2.214099455491092	-0.00205078504024551	-0.3967431324499433	-0.37668249916385815	0.18671807891670453	0.07763991711514547	-0.02833345871645439	-0.7707103349928817	0.17646614320280682	0.14840733971817124	0.800168151301218	0.771316947659189	-0.22244712986371576	-0.19257447345768774	0.3287305905705142	0.2524692788621321	0.6750311847710266	0.2381085110070907	-0.6632046403343491	0.3421932891497142	0.37545992790124166	0.3776192118571335	0.20738653121850317	0.6100751838928599	0.3212778752889376	0.7577072232808808	-0.33310035122137077	-0.4514326704349436	0.13431477087375812	-0.25384432911052573	-0.08706449585591909	-0.02601419123422133	-0.047869510682743886	-0.09202435365307426	-0.18746257226195873	-0.25909496104799246	1.5892431221670058	0.30580675269339014	0.35504698087799663	0.33992334423572207	0.914831980293861	0.569500447789182	0.1374359107093035	-0.179966597598075
