	BRD-K00337317|0.04	BRD-K00337317|0.12	BRD-K00337317|0.37	BRD-K00337317|1.11	BRD-K00337317|10.0	BRD-K00337317|3.33	BRD-K05104363|0.04	BRD-K05104363|0.12	BRD-K05104363|0.37	BRD-K05104363|1.11	BRD-K05104363|10.0	BRD-K05104363|3.33	BRD-K07667918|0.04	BRD-K07667918|0.12	BRD-K07667918|0.37	BRD-K07667918|1.11	BRD-K07667918|10.0	BRD-K07667918|3.33	BRD-K12184916|0.04	BRD-K12184916|0.12	BRD-K12184916|0.37	BRD-K12184916|1.11	BRD-K12184916|10.0	BRD-K12184916|3.33	BRD-K16189898|0.04	BRD-K16189898|0.12	BRD-K16189898|0.37	BRD-K16189898|1.11	BRD-K16189898|10.0	BRD-K16189898|3.33	BRD-K16478699|0.04	BRD-K16478699|0.12	BRD-K16478699|0.37	BRD-K16478699|1.11	BRD-K16478699|10.0	BRD-K16478699|3.33	BRD-K49865102|0.04	BRD-K49865102|0.12	BRD-K49865102|0.37	BRD-K49865102|1.11	BRD-K49865102|10.0	BRD-K49865102|3.33	BRD-K51313569|0.04	BRD-K51313569|0.12	BRD-K51313569|0.37	BRD-K51313569|1.11	BRD-K51313569|10.0	BRD-K51313569|3.33	BRD-K52911425|0.04	BRD-K52911425|0.12	BRD-K52911425|0.37	BRD-K52911425|1.11	BRD-K52911425|10.0	BRD-K52911425|3.33	BRD-K57080016|0.04	BRD-K57080016|0.12	BRD-K57080016|0.37	BRD-K57080016|1.11	BRD-K57080016|10.0	BRD-K57080016|3.33	BRD-K58772419|0.04	BRD-K58772419|0.12	BRD-K58772419|0.37	BRD-K58772419|1.11	BRD-K58772419|10.0	BRD-K58772419|3.33	BRD-K64052750|0.04	BRD-K64052750|0.12	BRD-K64052750|0.37	BRD-K64052750|1.11	BRD-K64052750|10.0	BRD-K64052750|3.33	BRD-K69932463|0.04	BRD-K69932463|0.12	BRD-K69932463|0.37	BRD-K69932463|1.11	BRD-K69932463|10.0	BRD-K69932463|3.33	BRD-K81528515|0.04	BRD-K81528515|0.12	BRD-K81528515|0.37	BRD-K81528515|1.11	BRD-K81528515|10.0	BRD-K81528515|3.33	BRD-K97764662|0.04	BRD-K97764662|0.12	BRD-K97764662|0.37	BRD-K97764662|1.11	BRD-K97764662|10.0	BRD-K97764662|3.33	BRD-K99545815|0.04	BRD-K99545815|0.12	BRD-K99545815|0.37	BRD-K99545815|1.11	BRD-K99545815|10.0	BRD-K99545815|3.33
AARS	0.18728801328692946	-0.14021461009946812	-0.3304624861684222	-0.11690868666513365	0.31289146314868255	0.028684084466565007	-0.12157624017706976	0.0613928702619854	-0.08673239841192408	0.2151808455829413	1.897790136722503	0.3321996184338514	-0.3053177341475357	-0.04922058403950184	-1.665623526904187	-0.34923268384915573	0.638330402933442	-0.008358160930175274	-0.5266569587734757	-0.6301679157082551	-0.45574991753298316	-0.42243191536102803	-0.4209061037708306	-0.42781342949078294	0.23914198549384716	0.11342689481555841	0.3051394666362004	0.31355198387406763	0.6566035804585505	0.046900717631363165	0.23559917666289346	0.23771057821355868	0.13002537249365057	0.46010200405443635	1.3441433816507322	0.3613345335903559	0.1104741942234175	0.11266133738270082	0.03303737238062305	-0.014586582858317895	0.07133498117898261	-0.15590011022457922	0.17643543614281518	-0.08939647572672331	-0.08107416089783352	-0.08912066873322229	-0.43060497351181876	-0.13758665200991516	0.1433800238829388	0.07764914045985923	0.009272184942522207	0.07967841064828048	-0.03872199955149647	0.39020935042291605	-0.2217403580999786	-0.1345553115901789	-1.0497921831587445	0.02562361120158781	0.2464512385873713	-0.11625873349670712	0.10890632639769304	0.3022503610273817	-0.0012182898314962998	0.10445545516997345	-0.0904136981137107	0.1073049717065202	0.039478643327696496	0.14219778134272568	-0.07009612739595639	0.05130635275799911	0.7401488678068174	0.107586230172051	0.2875461221760152	0.029932573819771473	0.33833495296983607	0.12195051969625996	0.0439458130771276	0.21596553101498847	0.17277069880207385	-0.08225601042028474	-0.3221829959495099	-0.14013552555094103	0.385505515803628	0.173435018444185	0.19233279085566815	-0.1330169659394489	0.01468647962961415	0.12578179550986	0.7206660212614592	-0.04697116470744511	0.21657941952729765	0.1835212516988444	0.06412612770357622	0.14438555821394297	-1.621671435527312	0.527478169376014
ABCB6	0.2410836430122334	0.5121912807855993	-0.2536388347188612	0.012902216120599164	0.5498506738156328	0.295101602526036	-0.17154811134560846	0.009622114251435812	-0.12508485019176696	-0.04070501449203571	0.551352622391669	-0.24884921531297888	0.06418892541380083	-0.30947222905132293	0.7292530370429008	0.09583992136615382	0.23684542904925499	-0.06264423983425305	-1.2901914809497506	-2.0764292858811624	-2.047595008021982	-1.1738451169820552	-1.2194821190144547	-1.360273656660018	0.33978914515585085	0.12388900868913193	0.32608748413558847	0.18604111879299978	0.6171860181775882	0.5321603999993751	-0.06653586500371904	-0.3209592131186951	-0.10187190009155245	-0.08636797255175832	0.17022850631798558	0.005102382250573356	0.7198855291800539	0.9846016305925208	0.6022487533613704	0.9521417299760557	1.0862412550066463	0.9783265871153402	0.556666669825205	0.8471261728930694	0.7882102880111125	0.6175104864030837	0.5401526401593154	0.4398502986043962	0.07926567175449624	-0.18081278195747785	-0.2651746185009281	-0.4876160566215824	-0.31309321207877794	-0.4236436233153699	0.43919929035708566	0.29476180141807734	0.5013577168211997	0.31723480880770083	0.449183726555263	-0.16169923865896862	0.14694298708313847	0.10090172829550115	0.0916337495456383	-0.17755955780167376	-1.197526735847198	0.0437168686696765	0.20317274122156861	0.4192289410900886	0.3674880426561747	0.25672576258325347	0.3244934899582841	0.17554714979269725	-0.44393526240291575	-0.752119399298968	-0.8649704850229428	-0.4665381333359271	-0.35110794189648625	-0.6003373773790818	-0.15783864458091568	-1.0738526549255634	-0.541173321351612	-0.5207053604687237	-0.1101778243271887	-0.3974985154324644	0.14216907965831402	0.03975341762233183	-0.009372247039761325	0.030348249317235343	0.4408526317074782	0.08681946895061543	0.225065652162602	0.2394822605043411	0.23770177786166968	0.2784906317433761	-0.1119804423283286	0.2498405874692491
ABCC5	-0.33651003896128096	-0.42927066136285963	-0.2692930677268188	0.6502633279677268	-0.41533940610302633	0.3238194499918552	0.20348212061244494	0.8218463181816142	1.1025616161326763	-0.012315751298252131	0.5212910637737634	-0.13805152234811013	-0.5844440010061128	-0.08307619169524856	0.6020470805838363	-0.35778416560056725	0.28301070674886986	0.576927964044766	0.49596625289933893	-0.428684710103894	0.0553414313913585	0.015826759578676963	-0.18985715034871267	0.8429176648066576	-0.18412219014432699	0.449154540580562	0.26687196132973706	-0.3703989414934418	-0.45762264110593726	0.7890399376322064	0.5194975644881126	1.2352151051535982	0.7815662917331823	-0.24399434555909938	1.2022200571589874	0.5416221307506467	0.21386904928955403	0.2665094774361778	-0.38058762745748514	0.04509441719788828	0.375905651491139	0.31199026242810707	0.05081437853156986	0.8663432348640555	0.38829821589156105	0.8469170053952778	0.9408291944734053	0.6474022332063086	-0.19013840641221455	-0.22845395633807572	-0.6357120423082616	-0.19338303624564782	-0.7018326376085607	-0.17929309584646122	0.8581331478377695	0.07337323958547692	-1.5581762568410646	-0.2366404055886798	0.18119332506615896	0.564713854326142	0.1538792039875445	0.5510962851122871	-0.6360079859211145	0.8480125781496421	0.28736230172405697	0.6831676452795901	-0.12435636783766964	0.07569340086900282	0.10718866099149753	-0.6388673780667476	0.23089986918828398	0.12509271621194648	-0.05744891628750389	-0.9341419459255332	-0.8321097378394544	-0.8649103672433105	0.4115086914280539	0.01109401381423325	0.7480779633308892	0.17151434677531374	0.6016799488237625	-0.07976148985213172	-0.3587870688718693	0.22271815990525154	0.5269787737090361	0.6163370843269886	-0.4162677221165764	0.47645636375643213	0.3363030364523585	0.34980351060374143	0.2815883195960624	0.4711860306395422	0.6757079366588187	0.7621819972125893	-0.4836032411914606	0.7519839822889391
ABCF1	-0.2664593205092669	0.024343977281495732	0.21958685060832384	0.2506991807206074	0.28717755148436597	0.10658684325944368	-0.09462968947182719	-0.06564095536490851	0.18035955966470377	-0.10440594532764891	-0.04473458871133159	-0.6330086714687919	0.5598648250741718	0.4202650518390936	0.39987093549087344	0.21890171901131295	0.08472194291359036	0.07880306965902362	0.17053955201725657	-0.07045680356134199	0.188347234963785	0.23959444897676244	0.18864032621327512	0.11578935227209719	-0.39834557777795965	-0.19832842559895938	0.18296432489003975	0.07615247551192598	-0.03433722946378855	-0.43600890514178037	0.24286481981240668	-0.004561404934374735	0.25657690045872944	-0.04047238963705935	0.019424099753803326	0.10180181712152958	0.10297391987949364	-0.21042066392738487	-0.12496884953325248	0.005383304613052549	0.07945205699140954	-0.22323266839913053	-0.02635666178841885	-0.5051196056145884	-0.23537367150314795	0.1925766090450125	0.09237577165293942	-0.049044316813477096	-0.038847284602303724	-0.513038075133266	-0.186079279235285	-0.11193183768508715	0.14633971140934912	-0.049261207519432894	0.025380276044209893	-0.3841641522472739	0.34883772383388373	-0.1879717601262604	-0.22680405995784625	-0.4156973914814805	-0.4196329939942349	-0.17919815879941936	-0.002328069066344529	0.06338344198057433	0.2890389113161338	0.43544335795719347	0.07310232936826526	-0.1499563886161539	-0.15940174206709182	-0.16727195586913682	0.1049581494494382	-0.358429806925292	-0.34373089132145945	0.024735836636307813	-0.11376729170481366	-0.28534547534763277	-0.15566258049418735	-1.3535246034565127	-0.15558854928081622	-0.10654094162378858	0.3054637456201714	0.2298567952178511	0.760928942074337	-0.024440245997759884	-0.14610247485658037	-0.25575771776019945	-0.02516987920826293	-0.6754533905860699	0.16292625221431814	-0.11374079046086354	0.24688915680616397	0.0690119293408517	-0.22442689243544814	-0.03665338628312398	0.32592891751191555	0.08339197639726177
ABCF3	0.2278689856251117	-0.1775067930481531	-0.5480722414315521	-0.19540673869499448	0.03885322485135667	0.10945576015649539	-0.15391003503623799	0.412508837902978	-0.07589840022796442	-0.1637134694004446	0.2105619865171343	0.6485353311989261	-0.3031737098776004	-0.3516318637357128	-0.09814469743567944	-0.6733531950781657	0.12481977409219125	-0.07291925697770818	-0.4466519606914112	-0.3532134623544363	-0.5205388656300111	-1.1880795602920733	-0.4249514849875533	-0.3475926793199913	0.495143980251419	0.29508555791826413	0.3260555018777526	0.7694424886020842	0.38812809418918803	0.389987004880723	0.19551517745759264	0.2251132247784149	0.28870320363759916	0.38593186793601686	0.34883580029441186	0.47869294571633664	-0.032971392830313154	-0.04640785062221818	0.0001869519561338454	0.03896203105047288	0.06958823625837773	0.538179329029339	0.7926500626150362	1.014118748449872	0.8821574893823042	0.36708405660258475	0.7377035575086239	0.7133866954104521	0.22009532238173732	0.09768347373885018	-0.026278094241761234	0.02809688800930014	-0.3182429804710238	-0.12258524690428334	-0.12212346272081358	-0.18185726724628667	-1.5617337554896988	0.15343860046985883	0.38729314814775445	-0.3503022345671276	-0.09694286964822907	0.3860651113741509	0.04475850847734919	-0.031951607768988755	0.24376448677350404	-0.13357793829054176	-0.5553751403399	-0.2645485687918132	0.33949107125783645	-0.16353752220288223	-0.07757333689775159	0.032939773446474994	0.06259781642347366	0.3259389518723535	0.3045654126772514	0.06757680239331047	1.1023602671144364	0.267571979919051	0.20037362709595585	0.3016949694321256	-0.5881919168195866	0.09357279591810948	-0.24820342700254194	-0.053612597685798846	0.26064057340479313	0.08833767441093403	0.008809223648830114	0.23933760610910562	-0.30116730703757266	0.045912370829501135	0.02034603133670328	0.13518506849423506	0.1792521045809122	0.2493197286281834	-2.4556128431971254	-0.044253419500130654
ABHD4	0.5635770234578197	0.4077824785574311	0.3475367380893324	-0.3742093107572326	0.1067766867325477	-1.6608178059315286	1.2012204096335257	0.6963350552116481	1.537139675329792	1.4849275064509335	2.295351883230912	1.6070045507370714	-0.636914849854757	-0.18093321031100906	1.0820403168201584	0.8480682721383963	0.3455510511716864	-0.13725822413719602	2.097553645519281	2.312290703646044	0.9860848219867471	2.178658164982606	1.8955414537744613	2.376075288236214	0.032291580718805925	0.3497358324639812	0.45029425768261194	0.5026001574086317	-0.1475811787701069	-0.40224514064880523	0.6005288070998359	0.2177018876748118	0.06267348985921888	0.1628250337898205	-0.4207709468173908	-0.8069446907602487	1.323099009768077	0.7798586282115102	1.490203653663799	1.4743710013129958	1.6671297114008148	0.09523086260943739	0.49300367643181	0.4153223950078336	0.404248194658857	-0.2454341858931087	0.8171344785048404	0.8351337812344225	0.6288290483778347	1.059605634564008	1.6438044328414467	2.0145358325528275	1.3803530636455246	1.9053318488750695	1.0692409056323193	0.14634401583773382	0.6857203776459398	1.2971143633330982	1.5317406224847847	1.4986373488159253	0.10957121100228973	1.0028779089087148	1.3581790101418498	1.9965863483299695	2.1351832658913508	1.889125921343298	0.8119348558044829	1.275391037183948	1.405781607592207	1.632395630764145	2.0336246591806404	1.3506888772126953	1.2573319462069072	0.39107529209719694	1.4310261026865383	1.1696137817955414	-1.7610856992108197	0.2664023456359512	0.366064121490846	-0.5293895065721748	-0.3321608226334541	-0.10279656605526337	0.6336522107290459	-0.4928176988793475	0.3465751718710622	0.28340759974768953	0.253390579697412	0.6119426548430033	1.1597730534148003	0.26173360444032134	-0.42892391595575613	0.14319019087868767	0.22977173536761045	0.6025083101152345	-0.23441498349110468	0.8176818351918804
ABHD6	0.252142956005206	0.5877209280919846	0.3436892906911877	-0.8406735347589183	0.6430681932005202	-0.24840839569825923	0.09870056812812471	-0.0711492208451352	-0.07167892124485054	0.7285513439631801	0.29108258048642216	-0.17244258015431235	-0.5988458332055562	-0.07046387363595781	1.1011603074114966	-0.1500228802575332	-1.0907206004643875	-0.2438635790660102	-0.4281802142141762	-0.9931834049261108	-0.19426051785161183	-0.6280612689464394	-0.21776900471547833	0.1887519264282608	0.08742588543484302	-0.03750683228174889	0.07898254668610664	0.34168028290455094	0.14362317821918325	0.0462828595821656	-0.03964923996289412	0.005831487370017818	-0.03709778013224874	0.422772349635945	0.37388178180305953	0.08206185738859813	0.3400292455996663	0.600696682085231	-0.4750495792139545	0.46880970058426313	0.6547285299581269	0.9211688636253526	0.28086206784615114	1.0267982334560812	0.4887860445283412	0.27435842827853946	0.4292660933682037	0.4328634306304471	0.06348979171524653	-0.04324733101404673	0.9481231454498739	-0.16563069918216863	0.06724182717820455	-0.23709155928375422	-0.14458684214160003	0.3143032041777906	-0.43740151005932465	-0.18144167163433225	0.12279059356094398	-0.19194848023928182	0.43231872750163625	-0.09975877656457244	0.20517374183544113	-0.055154123802885424	0.04375485922793443	0.13003344137066586	0.0396752302870785	-0.2305448568376726	0.0516825763486386	-0.0388213562761622	0.09359742335784087	-0.03674226842374928	-0.6128024215983533	-0.4941879637322876	-0.2006719874622481	-0.3845751806813433	-0.13213512440013128	0.6209764197748946	-0.03659462850786621	0.26120528402720766	0.5667325818569839	-0.18205596075382502	-1.4325463417071693	-0.028902888574947088	-0.05024936837008909	-0.08654907311129811	-0.12916456604615276	-0.18886512788951956	-0.07818601163024604	0.22014173044098703	-0.24922923049356202	-0.2867850411753376	0.10350891243698228	-0.04340786124906041	0.36761562194579644	1.1733270101465723
ABL1	0.21031313145531128	-0.34845059189088534	-0.014018657227554021	-0.09859810328566798	0.29960425014898906	-0.6887193858043945	0.23045041641139422	0.4232879519298833	0.44329019402255554	0.3479999778858147	0.0702876596163667	-0.41749585229159947	-0.1530875093607751	-0.07580020351320076	1.5592377437798675	0.2898129333624948	1.3481450135939044	0.3741280806698599	0.5087534247231114	0.23205447325412853	-0.03074388619976176	-0.6934885239353618	-0.4988491816771538	-0.2173073760251576	-0.7336474742746765	-0.41526416367954805	0.21087540967851423	0.22479266956321098	-0.11635910039274222	-0.5708080323995697	0.0893654737074107	0.12975165926395546	-0.9929912360999591	-0.4278302218544945	0.10542755512512869	-0.25463957066651827	-0.1237129740474016	0.4239466398572245	0.31840443980678323	0.31995475394684725	0.25164420515634184	-0.3186392695428806	0.0284222574213621	-0.607668584136882	-0.579663462526779	-0.4013852222454866	0.41185178388897015	-0.20727842486821815	-0.17953178053228372	0.1373148649064889	0.3231939487885196	0.0543797003815308	-0.5467239102848586	-0.042438030456886246	0.27113413055737706	0.2658020749968326	0.21381016815829312	-0.07184301921445228	0.10471385777505897	0.22593924335944257	-0.02313854529715864	-1.1577955867475904	0.5848936177877562	-1.3797268762328279	0.12722436240626855	0.6562615363019817	0.02461861951738224	0.14575946737558296	0.2876541193631965	0.1871623627039097	0.342515634665121	0.18184291530878008	-0.2813160981989326	-0.1343591137930892	-0.25293521627401816	-0.25925214138805447	-0.955207760680436	-0.8021618254775689	-1.476819685318442	-0.09096032552170863	-0.1263299195534658	-0.2891613239912232	-0.7322047945155008	0.29708336951763137	0.2229303000217815	-0.21934054469451011	-0.31176723538301054	-0.332941661594262	0.34130437342529457	-0.2106814110482874	-0.3136679895005692	-0.4912188370105562	-0.6433547846883799	-0.2880578661678195	-2.7846421934855305	-0.11349572382421691
ACAA1	-0.3610160135877134	0.48613721227092976	-1.0657607164737608	0.4802019436492819	0.5479511293801593	-0.021609915247150724	0.6261013460897186	0.32842387581403926	0.6584786210357697	0.2050546865049568	0.5590486569540086	0.05587217769222308	0.2330316307964806	-0.4694256235971353	-0.3233214894844574	0.15951599774486347	-0.7366552382570553	0.09225036038574563	-0.3384887094266287	-0.6606928345464809	-1.0522137144457435	-1.1084815949198552	-0.9261884684081242	0.491412531245729	0.11188384089714394	0.12889017614543885	-0.2707597630757557	-0.036622945477820266	0.1469159529148	0.31406882795003765	-0.046104673158692634	0.37498222192007624	0.4536142773025844	0.41673337267877253	0.4553359421031711	1.0464441530224284	0.5767143907532309	0.2212860592730861	0.4000397324253167	-0.2652451428368295	-0.15318731764377613	0.47047220716523847	1.2710119071577344	0.6133815919639712	0.8368915305076495	1.4454985177822595	1.2170908043425301	0.9554579202334086	-0.18106445981906027	-0.2625082209171395	-0.7707840291964709	-0.765092226592904	-0.8538200831413274	-0.2412454077932574	-0.2595487903427876	-0.4763891021003073	-0.05598718907079192	0.24208705607642442	0.017517417608162944	-0.1470835991496718	0.687759293291581	-0.4322134077284927	0.038638731106145574	-0.4395865643885346	-0.8888258826359714	-0.36002249741109216	-0.2954278514018431	0.270457631950704	-0.07300269681164373	-0.38634484630364696	0.4078855813466579	0.06634736233287342	-0.5919359504768996	-0.730425111921425	-0.8709603280185639	-0.7005349627009826	0.3836892978146542	0.35238560085622633	-0.336160985931681	-0.17664513715316366	-0.06133511433076322	0.0046864398526160755	0.9446374391185874	0.31222864083866436	0.35870828219967965	0.28334461750128287	0.07443827353990932	0.24963536210549128	-0.015179071018839233	-0.0942782762824983	0.09195990530853522	0.055536985387149684	0.34081504379582156	0.6483588683707078	1.0595881189138456	0.9719130720236361
ACAT2	-0.7716899050236632	-0.47430572654941305	0.19642067571914934	-0.8266268228706324	-0.5412983734769345	-0.2973248178975383	1.0704737355547345	0.3233328654894662	0.5244909606576625	-0.6200526636113374	-0.692919040106409	-0.6156660731526614	-0.4406031560645778	0.35508775396643344	1.5366971143259522	-0.030513576557844813	0.1234361963300965	-0.8174304043922049	-1.0617982875195975	-1.949760576181958	0.06680857222039076	-0.1430637683428951	-2.5762752426381526	-0.8913127551028843	-0.038580472224796956	-0.24468243935169257	-1.4966463059747313	-0.7591502841517451	-0.7420648564436488	-0.8834037072994758	0.5655659679719722	0.671718171501365	0.374151998883186	0.04007211170401748	0.6055972743449711	0.5843095223601603	0.4984830042144622	-0.25259070628472713	-0.06613285016799088	0.4622975504848322	0.308742567501669	0.9771248876169452	-0.7995985707462335	-0.8071334713850256	-0.9014854022376548	-1.4252063956831247	-2.208533970239834	-1.496121895089108	-0.004848961728250186	-0.4301567600629257	-1.66668780927984	-1.2517162719139678	-0.7895486455493493	-1.39755540849816	0.07310802052163723	-0.024281312033660758	0.29308783103258246	0.22278968943490027	-0.059244526278257936	0.010918913356260163	0.9313929579571703	0.06574688155155961	0.6390062777634826	-1.0116596385734247	-0.5972057328578164	-2.154400942479564	-0.0510302437472537	0.23975592160836356	-1.0348301107863067	-1.0371692704135524	-0.5434750743707015	-0.5583478085301868	-1.251747277129409	-1.8029223837709827	-1.687542689131874	-1.8360321413044227	-1.8727967840789719	-1.0077748765089565	1.0879449474664415	-0.43553349666963603	0.36854798735818645	-1.2334044039361558	-0.394575972223407	0.11940751802822074	0.2004679033083807	0.3763540527963241	0.402744625185291	0.1712370975608509	1.2682831175510707	0.330518621583271	0.26836260762989106	0.4168882626957373	0.4892024872853214	0.22626346310998713	0.2531464389654312	0.41287500544491057
