	BRD-K19540840|0.04	BRD-K19540840|0.12	BRD-K19540840|0.37	BRD-K19540840|1.11	BRD-K19540840|10.0	BRD-K19540840|3.33	BRD-K19687926|0.04	BRD-K19687926|0.12	BRD-K19687926|0.37	BRD-K19687926|1.11	BRD-K19687926|10.0	BRD-K19687926|3.33	BRD-K23984367|0.04	BRD-K23984367|0.12	BRD-K23984367|0.37	BRD-K23984367|1.11	BRD-K23984367|10.0	BRD-K23984367|3.33	BRD-K40175214|0.04	BRD-K40175214|0.12	BRD-K40175214|0.37	BRD-K40175214|1.11	BRD-K40175214|10.0	BRD-K40175214|3.33	BRD-K49328571|0.04	BRD-K49328571|0.12	BRD-K49328571|0.37	BRD-K49328571|1.11	BRD-K49328571|10.0	BRD-K49328571|3.33	BRD-K49865102|0.04	BRD-K49865102|0.12	BRD-K49865102|0.37	BRD-K49865102|1.11	BRD-K49865102|10.0	BRD-K49865102|3.33	BRD-K50140147|0.04	BRD-K50140147|0.12	BRD-K50140147|0.37	BRD-K50140147|1.11	BRD-K50140147|10.0	BRD-K50140147|3.33	BRD-K51313569|0.04	BRD-K51313569|0.12	BRD-K51313569|0.37	BRD-K51313569|1.11	BRD-K51313569|10.0	BRD-K51313569|3.33	BRD-K52911425|0.04	BRD-K52911425|0.12	BRD-K52911425|0.37	BRD-K52911425|1.11	BRD-K52911425|10.0	BRD-K52911425|3.33	BRD-K57080016|0.04	BRD-K57080016|0.12	BRD-K57080016|0.37	BRD-K57080016|1.11	BRD-K57080016|10.0	BRD-K57080016|3.33	BRD-K64052750|0.04	BRD-K64052750|0.12	BRD-K64052750|0.37	BRD-K64052750|1.11	BRD-K64052750|10.0	BRD-K64052750|3.33	BRD-K64890080|0.04	BRD-K64890080|0.12	BRD-K64890080|0.37	BRD-K64890080|1.11	BRD-K64890080|10.0	BRD-K64890080|3.33	BRD-K69932463|0.04	BRD-K69932463|0.12	BRD-K69932463|0.37	BRD-K69932463|1.11	BRD-K69932463|10.0	BRD-K69932463|3.33	BRD-K79090631|0.04	BRD-K79090631|0.12	BRD-K79090631|0.37	BRD-K79090631|1.11	BRD-K79090631|10.0	BRD-K79090631|3.33	BRD-K88573743|0.04	BRD-K88573743|0.12	BRD-K88573743|0.37	BRD-K88573743|1.11	BRD-K88573743|3.33	BRD-K92723993|0.04	BRD-K92723993|0.12	BRD-K92723993|0.37	BRD-K92723993|1.11	BRD-K92723993|10.0	BRD-K92723993|3.33	BRD-K97764662|0.04	BRD-K97764662|0.12	BRD-K97764662|0.37	BRD-K97764662|1.11	BRD-K97764662|10.0	BRD-K97764662|3.33
AARS	0.09808859202626803	-0.03526232515266218	-0.09757216003223945	0.04844275787786737	-0.08776402272949528	-0.16034247660658352	-0.2764490219101579	-0.10605100906513076	-0.15154236964743628	0.10173180017084131	-0.009574712798089044	-0.019307977963838024	0.16736136633508902	0.19374962709974408	0.15919766798129054	0.1621564155202139	1.2704218283307656	0.3005027518461958	-0.48316912261419515	-0.5766730562642289	-0.24524466527455266	-0.2137858852341301	0.1405002166505606	-0.14873690327782127	0.0479381826401859	-0.08292936057815108	0.02722219319712475	0.3024934932345751	0.13724233142671474	-0.03543816718571513	0.0468793653826746	0.07190724693439184	0.0019924804340263336	0.11726182955547237	-0.22068226674437655	-0.08391970684967731	0.09460435562279379	-0.12764586631153207	0.19086517381060286	0.02741213934322199	0.051563478792615136	0.07815509802013428	0.0260681008037551	-0.15899558434218264	-0.056524525680693216	-0.08060001495840712	-0.2377617339148843	-0.048823740433018514	-2.7070862161771827	-0.27855619976226187	-0.1786422399317639	-0.16890472300234252	0.18328900195939882	0.05293680220407341	-0.12550901806263445	-0.4237858213201455	0.02524967097674195	-0.1121732522492902	-0.10891901543546052	-0.056418346215352834	-0.2004763996462516	0.002528095437789979	-0.15073854396779218	-0.3175676133281673	0.007338785507196614	-0.04680612263627578	0.2129206877483766	0.025066548968165847	-0.22553143886138205	-0.2147086238115108	-0.19726521796057797	-0.36142143497466134	-0.47078515997636483	-0.43643182292669636	-0.39509316872162614	-0.22563773596976885	-0.22159212909100923	-0.27452242157546713	-1.81866686841981	-1.4774618571777498	-1.5752053701714477	-1.4889861007098741	-1.8753667374855876	-1.8269407993281586	0.04413517051028807	0.09598058080172844	-0.39689393147429364	-2.1736931711841683	-3.2637512353164957	-0.12027817582962956	-0.09063776021320595	-0.07257384781283349	-0.016498363155233047	-0.12405563453914563	0.0555953349348588	0.11431148212778434	-0.062155835967047324	0.1124229139952515	0.08512169699246996	-0.17023323702623885	-0.15315789725599652
ABCB6	-0.11436984974785425	-0.2133893608931506	-0.15379849812029653	0.008162843146401736	-0.4494221365664579	-0.5720885762778037	0.039158577989886346	0.03880249719286333	-0.1275732306877062	0.019486129404153136	-0.06465745166276864	0.03928513604833839	0.16375206275238963	0.0811285743951986	-0.06466532760625299	-0.07809031267020632	0.3676810288025161	-0.028226323184656604	-0.2501192312166829	-0.7892315903978057	-0.45271331520531294	-0.6387172891351396	-1.5145261317716934	-0.9914815175720525	-0.3308914871331954	-0.0673626986041788	-0.44664456174937506	0.27939812580960205	-0.9032914078478775	-0.8310275976887604	0.11251251917123106	0.008069434323574024	0.1917376040989319	0.13264103923297496	-0.013470844831778924	-0.40243366216035703	-0.2839435065859739	-0.1484793740164907	-0.13618684997820374	0.057183103900713426	0.7177253758897697	-0.5069424085418165	0.3873888671904921	0.32524909802139934	0.2425786557969687	0.17294701482580876	0.22151655201120324	0.158099484584224	-1.1992241512414703	-0.20048060440764992	-0.2993093876805091	-0.4475423259125198	-0.732490548536834	-0.44040464678651564	-0.2799474992205049	-0.37009275328879215	-0.2635930706623005	-0.09321410151913827	-0.2544985417288969	-0.061193455459372714	-0.064047426546324	-0.14479856382431056	0.019802770500570926	-0.592436015207164	-0.021312525789903464	-0.14763516859888584	0.07111840669965434	-0.22165461142698342	-0.3469848041711465	-0.9415488851281939	-1.107103815701204	-0.9155581233066634	-0.22993100025786184	-0.4325386250412115	-0.4684391790916962	-0.36342538396406887	-0.453669684676034	-1.0848643007289118	-0.17644537468140817	-0.16582022037548208	-0.32408782684484133	0.001256143841703879	-0.272633876998088	-0.3122253716259434	0.2590783304088138	-0.3041093342696142	-0.8414364606076292	-1.702476654412123	-1.1813231129547168	-0.2311546722132931	-0.12976228652352853	-0.017664589888483444	0.008495177924187303	-0.41560301481907186	-0.04179530501090826	0.05504796393738213	0.0026328297077018448	0.039108196970407384	0.03797397113325355	-0.0516728784498787	-0.1128238462740138
ABCC5	-0.23218583341485685	0.3619093514546696	1.5266346245163607	-0.4325093738565009	-0.04236682116752455	0.08958751923745467	1.4727558132920662	0.31946203381543015	-0.18496849037404006	-0.022902202279667588	0.7231061138807616	-0.3024441384081828	0.023688666733932884	-0.30717021666966327	0.7437196460956708	0.2205233578695832	0.15100180622580117	0.39083061728632246	0.7555554977413056	0.06195441633456215	-0.13336991886705274	0.46594931734283307	0.30396059863886676	-0.03845023757230089	-0.32021789268578854	0.03031017081268672	0.07347069868087086	0.006627312543472819	1.4103505160743437	0.3727916066563699	0.14385178712122274	-0.0707945334969559	-0.20403736973828845	0.7072762198691134	0.3231895029750165	0.6834252015671541	-0.21559080446436743	0.27361282186602826	-1.0133896724766673	-0.024632521844529204	-0.2639442573775197	-0.5289934568312429	-0.4769221530700438	0.05993006417595437	-0.18371823340306856	1.2466092507173572	0.42560328003280645	0.24822407321908666	0.4944619470357816	-0.14087042705409392	0.03454084871330535	0.4919797841925971	-0.10718444608720319	0.016766521396804162	-0.05942873349381136	0.1907824414484658	-0.4425266056034909	-0.9792108561075169	0.1654242877380486	0.3113722876716567	-0.024113205770442587	-0.39521755557436133	-0.16505829843067202	-0.35552259719323914	-0.15751040108836575	-0.07307482905015365	-0.07728575289867834	0.2692942849359546	-0.3304644726129	1.0289255933568764	1.1443751805751161	0.14247489833234006	-0.006453925131677529	0.01821384897090213	-0.2610210582609828	0.6861769518414776	0.2334116963689148	0.30723160666464366	-0.9937238600534478	-0.7659170373994156	-1.467692889708096	-0.5048632046995829	0.7942137708770259	-0.7813285890503678	0.565003873117275	0.40017056344175694	1.5832670315857178	-0.7242021626642594	-1.5751319447490122	-0.24406889881142982	-0.341888178187624	0.604907992652793	0.6622687370766721	-0.043405573042067935	0.6258615097524981	-0.2025793810966278	-0.2186491322031913	0.02075734380044943	0.3915238383560178	0.6746481003914084	0.2625376931309778
ABCF1	-0.02731987095216522	-0.11285673816674564	0.09452569261343828	-0.05696938164957525	-0.33358243158638307	0.008958919427422293	0.1300619507136691	-0.10688606166288928	0.05324496078324792	-0.18901691473434035	-0.1295364843495689	-0.08762728573766469	0.514769770873948	-0.06806296317270188	0.07515463397367306	0.16367390260633682	-0.5305196489119108	0.09659126158548936	-0.16775164894611194	-0.222490627393924	-0.6454644631990784	-0.3621669347950194	-0.543071663545747	-0.3055689607064558	-0.2958912310283252	0.21439627414069543	-0.06626325627428702	0.5344041436965524	0.342741135079768	-0.4000443912815932	0.06138390985813835	0.086598816630433	0.01645224395666685	0.006957976621758159	0.1224087924571234	0.3170037001144396	0.04145063076395653	-0.30072329733182634	-0.3369093111113797	0.012853816326046541	0.03605646723792599	-0.24148499896791206	0.3148138028635146	0.07728732988595066	0.09334880997456747	0.0608689640081194	-0.09937906329658208	-0.05610275565348092	0.696742704539839	0.12749761661404602	0.294748408988965	-0.23661264472174595	-0.47274663572515685	-0.12010753619950876	-0.019242877132329046	0.34907143463185797	-0.2751528148085611	-0.36938076651108176	0.04053047707866438	0.0029255478224712306	-0.18087665091252525	0.1840861045682427	-0.17440140555785355	-0.2987891827984714	-0.34275374708812417	-0.07432480736617701	-0.08094231112026111	-0.16264679831685905	0.014929397917575749	0.0901361882257774	0.611526985275414	0.4828072639141201	-0.5140891121472233	0.01779364199368712	0.3195421932784927	-0.35949132897362723	-0.34893761479429486	-0.44410652238965476	-0.34145040048032865	-0.46262128451553625	0.11272525997175246	-0.1166788422178211	-0.056569955665995764	0.22328766267105435	0.019595339026683572	0.2490547365907494	0.7368434486358364	1.6747315789893653	1.2580900714141485	-0.08187644015682534	-0.3895209696694894	0.1828930680664064	-0.19756140772844866	-0.28068596819661984	-0.046408972892060994	-0.44172369348549684	-0.20496707160824043	-0.31826668238991235	-0.11665070572187848	0.04091411354936684	0.1656714761287006
ABCF3	-0.08945521744166503	-0.3127409236301073	-0.374638986501805	0.04742938222458548	0.0978467899683378	-0.2898586401897756	-0.2674278787314215	0.16783843956123246	-0.25338720702262396	0.04400293579789268	-0.11429331659358215	-0.050595279810557635	-0.3132795995622999	-0.09515675973083937	0.06363468955765346	0.10753076529521266	0.18399750426920747	0.09120375471493543	-0.16207813379947744	-0.451034855503113	0.004594434382234169	-0.33174315097013185	-0.36090519909337954	-0.07549014907863001	0.046066513076978545	-0.24570390157240318	-0.16737195184432943	0.2215355338107615	0.04610644323141896	-0.019619649559770913	0.042752938987835165	0.04975026417101051	0.10832604714926575	-0.16841473185618247	-0.2043841623850741	-0.4650460204946801	-0.38900478038491276	-0.06324343253742626	-0.37979049555713473	0.1371174716939715	0.41981448170828894	0.07122144533718	0.07002593349613366	0.07991720696178106	0.3499408003146698	-0.00283297647145749	-0.22121808475020277	-0.11122272108573128	-1.3618329491745742	-0.17335876650254356	-0.19242399638854243	-0.05677187206635933	0.05301289523095439	-0.04340501676693206	-0.21326375341287176	-0.585506351288443	-0.11574017457415071	-0.13802047067028886	-0.03181252623078379	-0.11354365870580689	0.0960059829055228	0.11543486655832869	0.08806218050538561	-0.2686406624196547	-0.18931111681583523	0.04380719198722893	0.19883128531926472	0.2527098839486233	-0.08703441499926079	0.13344499054081047	0.31104186255614624	0.18273447311712232	0.08885152652076567	-0.22945515232593175	-0.28078337546721066	0.15924330931927363	0.11317219507843863	-0.20308595831711843	-2.747670683890449	-4.506964741188068	-5.434692898044183	-2.8753427790091433	-3.045473218896522	-4.8211161315311175	0.045244419805791004	0.43296440821486737	0.509203578959494	-0.06303501293049596	-0.9548472002604603	0.13403332135017543	-0.10813527314096423	-0.06927282926379992	-0.09868890637161461	-0.2860013644080901	-0.21336732417256185	0.11860370617753328	-0.1764825573710258	0.16322356910096403	0.07703188776888759	0.14657749311437898	-0.03872992226978589
ABHD4	-0.24736824480309139	-0.35481199883227177	-0.029691918854711414	-0.09889019352295314	0.8220085975025935	-0.16616163676482731	0.14953038760670326	-0.3415581291560459	0.07108919354807508	-0.4996849604757436	1.023689842536416	0.3203735015107008	0.2389787930226106	0.33683761337671214	0.0503656472761822	0.32353158073530847	1.4053957675097921	0.6066604539756794	0.2637116809505902	-0.5551762134481762	-1.1025231265716104	-0.5850949415766218	-0.024629392808273625	-0.38933307767838904	0.23245335219309324	-0.0018327839554865832	0.12791086528906614	-0.7900217382233002	-0.22606169318890115	0.5779199739765284	0.043491451315560425	-0.28809897612176033	-0.31768276582166877	0.44471850038447275	0.7358968714489192	0.3436133314911866	-0.2780761785412104	0.3097793796218209	-0.9000400231974086	0.2838118322453885	1.23423272842677	-0.5761683463454794	0.19196076326049769	0.74144173269731	0.4733813955143873	0.8853174523821234	1.0929682361742854	0.24028777589938186	0.17414283979992717	-0.6721619530807681	0.6570938665178634	0.12234908113570953	0.01368099527346415	-0.10754482751028534	-0.6254016744375646	0.002153521746821596	-0.3302255810219794	-0.6096947411972451	0.5197150777488139	0.10390865289805085	-0.09737499960388292	0.4539815163233909	-0.08728987877725647	-0.6440508442105921	0.0606206654766576	-0.14580331737046257	-0.26894027364328466	-0.24949834174686517	-0.45855561707845416	0.08120147930725441	1.6493835474618361	0.1781797678998629	-0.7517554212114481	-0.6903313080341267	-0.7031239753724222	-0.3591927047462473	-0.34025647381629653	-0.4845362295475463	-0.057414698823109823	0.10664886477724107	0.3888700728097767	-0.21183713002479157	0.20763113555090454	0.8549933079072248	0.010176582586468955	0.07517460714144564	0.9728321518370739	0.8315771251613118	1.0187624799682116	0.2990926854237692	-0.5162930261418497	-0.25579702246193686	0.2901661893010428	-0.5683373144388444	0.07401669441855911	-0.25274065773189314	0.22976739062400084	-0.01626742853386916	0.003936802488791358	1.3438453137307935	0.5134668747039589
ABHD6	-0.04810645944373526	-0.3251628777462221	-0.05050700400997924	0.07698045279943304	0.7165296650418466	-0.01132733018237649	-0.045821843493004444	-0.09216673936175779	-0.03893500199307098	0.022046800099830104	0.06514133663022825	-0.03550826678664828	-0.10662076409734755	-0.06527766826045678	-0.10079705896780755	-0.08403703400096418	1.3930100800755656	-0.148795929742174	-0.4148994586281125	-0.648148298662233	-1.2543983119283029	-0.7322496664385962	-0.8008897763552625	-0.7342986793558751	0.9913671727357727	-0.17914594281014207	0.09813274049223135	-0.4725908733728354	0.13649663234017387	-0.03233189019456839	-0.014682063709268611	-0.16476561835617018	-0.129845435117935	-0.07504959353010825	-0.10128826788169161	0.17614831715615895	0.49785287307074694	-0.2530488134673246	0.6464775886719574	-0.17755851608732431	0.1503023414994109	0.5716965131973959	-0.16951157340408093	0.20904033865247484	-0.1461132075920822	-0.034508515666319184	0.0754489681301882	-0.338769863441543	-1.2208939567810397	0.10408725130714247	0.09711105246796237	0.14035397419788845	-0.009905377262833248	0.19117978542805533	1.1418658897092977	-0.057534283233387384	-0.07046390497609185	-0.2796313815591418	-0.1617227270559273	-0.2025251904170672	-0.10632446920700556	-0.167015505048707	-0.07122600182087464	0.7016124741441768	0.10619302040547307	0.03942681609975492	-0.2608096744173342	-0.35609904093793343	-0.19279647190339277	0.6654509467551076	0.1468362054592077	0.07298679384498404	-0.9563795366613204	-0.4173426000642448	-0.8388455503061678	-0.8889240284235411	-0.5710122716871261	-0.7918765140874076	-0.16269822846051993	0.086983861534167	0.181903573968533	0.8061715690483758	0.07833403882091054	0.22222323243410566	1.1142862212916953	0.2824100107860592	-0.21643426865379345	-1.2217394135083284	-0.6458632870801827	-0.10526504281848965	-0.31761334008265124	0.0018475755274875993	-0.05944389819138666	0.7786380116632893	-0.191213263249599	-0.18316223168924287	-0.04656877361269244	-0.23603307645020996	-0.22555514715011574	0.2836910941468392	0.03240530388968477
ABL1	0.25154536033516955	-0.23832764026014322	0.09536640477417742	0.12597817202973793	0.12956345436232888	0.087395051575621	0.27411125947624565	-0.3402477243407258	0.19061047336546055	-0.7550178919092353	0.33746427533184625	0.19615071864709174	0.1775770032165318	-0.6374489536572754	0.15007401832046932	-0.5737777603597353	-0.2862522408678094	-0.2794469057463716	0.176400907586831	0.19979842744043572	0.13354325657106556	0.0973221522209613	0.7312787330461082	0.07607618399671583	0.10796036016272748	-0.3301188638669152	-0.6737523971174122	-0.414478830906899	-0.7546552656249886	0.4230074123116738	0.11506952330518623	0.31653919717912604	0.34558442286048346	0.19580764047959556	0.6553861819305332	0.26826644658958543	-0.7493475715780971	0.24545713085779988	-2.068198481848617	0.11523499743142522	-0.12194547833952463	-0.04998349247310537	-0.5995198023135021	-0.009464661246959327	-0.8370038976106097	-0.5878077185450925	0.2557704222288897	-0.7716438285101305	0.4328920153790537	-0.03689422329730219	0.4719273328297531	-0.41316236292744374	-0.24718252163947252	0.2610935159258935	-0.07309628638090555	-0.09989422872116076	0.133874518802276	-0.15209202023248736	0.06635727885302718	0.17032778186776318	-0.07473562197410526	0.06457175043150754	-0.017865647168462395	-0.670511713827414	-0.3530326932263428	0.04905576507779408	-0.013894210846869074	-0.03178650470301244	-0.26669558613987254	-0.04967336214314688	-0.9731566381599119	0.026594288755113975	-0.30308853429825033	0.6816240993651043	0.043912102296501075	0.011426717651379667	0.16378648792059133	0.07705082857465732	-2.1307850260682484	-2.4152682010432724	-1.4368881898738992	-2.5686475113014757	-0.7715770604363499	-1.5317152915111967	-0.3002773001334497	-1.8200843216803944	0.25658140087692205	0.9116972947263551	0.8093799483888965	-0.00386772141703684	-0.856807651515538	-0.7801463920666084	0.005841375813848397	-0.6152290059143753	0.20535752993196077	0.009362756924720253	0.21051221976468484	0.010315148648446145	0.022584525602360017	0.49193016754233937	0.37496958319499346
ACAA1	-0.21021426998545087	-0.013582471824452233	0.0444505699009472	-0.007349403514341546	0.02646916108691973	0.12854466839467746	-0.3081831266180585	-0.08662270530509986	0.3712969921098619	-0.3947448063793744	0.43606347141117513	-0.2010239784335853	0.30388867550650644	-0.1650338788015846	-0.14967753608604895	0.17583051035977823	0.06166191238596319	0.3118777967440061	0.16228378356071893	0.2355053149748437	-0.3039591393604078	-0.06417535248542627	0.28471192319049327	-0.43189883929966416	0.2849940007960588	-0.4667287906444108	-0.09762499092994699	-0.6532516466184172	-0.08656457832059061	0.4512241091157865	0.13884621371039607	-0.25833909671820915	0.15963553647676795	-0.1196469371246008	0.4783693508840224	-0.08329612758724163	-0.32471515063026857	-0.1684772935471326	-0.41918267967594325	-0.26439997139037646	-0.12192294447916474	0.21001035648815977	0.5739002015297506	0.3001225192244741	0.39091724903736313	0.2809662935126423	0.2827248339207875	0.4525641031317876	-1.4117226264487153	-0.19167755666817765	-0.07593357542075907	0.13522679290015027	0.21935169094125703	0.01124263216284227	-0.2328739618009147	-0.1463742608143838	-0.27779837640119887	-0.1733208217110954	0.009411709359575582	0.11133299990886177	0.16457789842277393	-0.18455128692573552	-0.23211958753994288	-0.2315601333122513	0.1837737859589351	0.22520894191618446	-0.1320359243536154	-0.024423835986596625	0.5989447041573888	0.811910179743915	1.0305377762064853	0.940956860790824	0.5601610730376869	0.37099876947019733	0.22559065136331155	0.006697944286531292	0.25133728432609637	0.07327636046237807	0.9635803932372161	0.9992746864729511	-0.10988283403273306	0.8613969746392905	0.7101593927545432	0.6511634809906605	-0.24430504571714984	-0.70987822177303	-0.5285386519602673	-1.1172977412741583	-0.243169362869691	-0.3367727875690889	-0.007357322480727883	0.317290282589866	-0.011234565693785706	-0.03707549832308388	0.36814607603468436	0.2268320264140685	0.40623219616145495	0.08775269908239736	0.6316874251466054	0.7633366832634477	0.15676685907233553
ACAT2	0.3343472642997032	0.5025793684380169	0.4933747245420908	0.2528885087044686	1.824577106368001	0.5177620527402892	0.4620218416874475	0.7033427454974861	0.2241467995553732	0.5698503473235608	-0.8374723814519406	0.10480077445521137	-1.6013860832166373	0.505227542793941	0.2385301450830557	0.021955692436346652	-0.3250294433494454	0.06053643024972525	-1.1957689750341993	-1.3616815816673185	-1.8389295070293503	-1.8577622589310367	-0.9324672631291158	-1.048578606433719	0.5841983466096217	0.6620164588562858	-0.5753248195044008	-0.7790027869538946	0.6629842973984642	0.19791360429272764	0.3919481040784074	0.3467460817755743	0.07914358295488189	0.3021915178646613	-0.019903466178291158	-0.7019770170152372	0.1543766889773872	0.17888907934422763	-0.7808190986325627	-1.0273819961420168	1.4418630537673742	-1.326134245701101	0.01655483071858832	-1.5796888487249854	-1.2809810064768312	-0.1483920952400375	0.011638986116332184	-0.25145342807249005	-0.7275057023339523	-0.23259379310000972	-0.5804759518331313	-0.5379780387549801	-0.46216682821990024	-1.4176850400067915	0.5964366929413613	0.24700612238256112	0.22729598445451593	-0.8489393478026388	0.5019469650300312	0.46727218166489354	-1.0578513554521711	-1.0464666164354322	0.4752544482359333	-0.9093406277258212	0.43223245171926666	0.3150197417348893	0.44825123925182336	0.2810092451619391	0.47075092647355987	0.07926962976978243	0.8444523169776085	0.24169308068984208	-1.5142858087964979	-1.2202121133803707	-2.1320085318333404	-1.4378300819295033	-1.8350519415687738	-2.1485789095288896	0.05029739303722073	1.1138882766860572	1.1373700573142262	1.149740591859646	1.0802944770076148	1.123450924588188	-0.2534768819823106	-1.9961732810134363	-0.21763889091900657	-0.6734934959393954	-1.6645628372198635	0.43612077775193175	0.4763589359035709	0.2067553835161998	0.442763670315862	-1.0989655067226465	-1.0887401513779775	-1.008473043519731	-0.9131696055856592	-1.2739522705863386	-1.2122826856048963	1.4018095272994688	0.7353600071486289
