	BRD-K00337317|0.04	BRD-K00337317|0.12	BRD-K00337317|0.37	BRD-K00337317|1.11	BRD-K00337317|10.0	BRD-K00337317|3.33	BRD-K05104363|0.04	BRD-K05104363|0.12	BRD-K05104363|0.37	BRD-K05104363|1.11	BRD-K05104363|10.0	BRD-K05104363|3.33	BRD-K07667918|0.04	BRD-K07667918|0.12	BRD-K07667918|0.37	BRD-K07667918|1.11	BRD-K07667918|10.0	BRD-K07667918|3.33	BRD-K12184916|0.04	BRD-K12184916|0.12	BRD-K12184916|0.37	BRD-K12184916|1.11	BRD-K12184916|10.0	BRD-K12184916|3.33	BRD-K16189898|0.04	BRD-K16189898|0.12	BRD-K16189898|0.37	BRD-K16189898|1.11	BRD-K16189898|10.0	BRD-K16189898|3.33	BRD-K16478699|0.04	BRD-K16478699|0.12	BRD-K16478699|0.37	BRD-K16478699|1.11	BRD-K16478699|10.0	BRD-K16478699|3.33	BRD-K49865102|0.04	BRD-K49865102|0.12	BRD-K49865102|0.37	BRD-K49865102|1.11	BRD-K49865102|10.0	BRD-K49865102|3.33	BRD-K51313569|0.04	BRD-K51313569|0.12	BRD-K51313569|0.37	BRD-K51313569|1.11	BRD-K51313569|10.0	BRD-K51313569|3.33	BRD-K52911425|0.04	BRD-K52911425|0.12	BRD-K52911425|0.37	BRD-K52911425|1.11	BRD-K52911425|10.0	BRD-K52911425|3.33	BRD-K57080016|0.04	BRD-K57080016|0.12	BRD-K57080016|0.37	BRD-K57080016|1.11	BRD-K57080016|10.0	BRD-K57080016|3.33	BRD-K58772419|0.04	BRD-K58772419|0.12	BRD-K58772419|0.37	BRD-K58772419|1.11	BRD-K58772419|10.0	BRD-K58772419|3.33	BRD-K64052750|0.04	BRD-K64052750|0.12	BRD-K64052750|0.37	BRD-K64052750|1.11	BRD-K64052750|10.0	BRD-K64052750|3.33	BRD-K69932463|0.04	BRD-K69932463|0.12	BRD-K69932463|0.37	BRD-K69932463|1.11	BRD-K69932463|10.0	BRD-K69932463|3.33	BRD-K81528515|0.04	BRD-K81528515|0.12	BRD-K81528515|0.37	BRD-K81528515|1.11	BRD-K81528515|10.0	BRD-K81528515|3.33	BRD-K97764662|0.04	BRD-K97764662|0.12	BRD-K97764662|0.37	BRD-K97764662|1.11	BRD-K97764662|10.0	BRD-K97764662|3.33	BRD-K99545815|0.04	BRD-K99545815|0.12	BRD-K99545815|0.37	BRD-K99545815|1.11	BRD-K99545815|10.0	BRD-K99545815|3.33
AARS	-0.08861175602745286	0.6078512033416013	-0.06095472068540486	-0.6725840973946642	-1.2113212066040178	-1.335388676128063	0.19271551255281433	0.6675653429227847	0.8666846547193398	-0.2746532773406756	-0.8249476331455682	0.12852907593797802	0.12194843764118594	-0.19400802655544247	-0.3543109671251582	0.2624787044124265	-0.21502647389140273	-0.030761301921987894	-0.6279215029281277	-0.8182905922863142	0.22840589175120005	0.13001704518777507	-0.9625136100702283	0.16249573009994922	0.3362441323135341	0.019313151121413075	0.36115683856602265	0.25850218940589986	0.13082646297366218	0.4928232186921844	0.8752264374695592	0.48334284546996537	0.42890626324074743	0.3160408742087242	0.10129397048432871	0.21468894027646668	-0.7768779274109299	-0.4553038263971566	-0.0005852988448776797	0.10093336868380447	0.06620065298324507	0.04742915831745709	-0.7029932121607978	-0.44615886647326164	-0.8055064977041488	-0.6994727994790537	-0.19798084513621061	-0.3079287928787755	-0.770315454443133	-0.16367488854909595	-0.08861640317261177	-0.173696465816656	-0.7024633465397296	-1.0896564253115102	0.0993583575018464	-0.028313615633239902	-0.038035585717838494	0.20388711377321256	-0.09344391369963152	0.02033345348518445	-0.2674091554113784	-0.654382104087697	-0.17324836147564637	0.44439100761674	-1.0007132081753836	0.33094619798281943	0.0958109034401855	-0.0891030430854165	0.05797730383172128	0.3745591560178645	0.6812449277090309	0.2572029372872384	-0.07412336857697592	-0.4033598834824135	-0.5433271906053401	-0.38608100884429764	-1.3255326595131809	-0.4983354512339626	-0.02259509352688873	-0.2755715126598073	0.4475029423223223	-0.6435392654545259	1.0035117302392207	0.4451432383607006	-0.22078369100324702	0.18386065988890662	-0.1557257466331814	0.038462704963222016	1.176663807757358	0.4282573226603339	0.05733572276424326	0.17844126457476817	-0.08670197887110564	-1.022728975799423	-0.9784768129077255	0.09058906879015227
ABCB6	0.1012161654080197	-0.4139161121206582	0.3153204739507707	1.3231231203108464	-0.085930789746687	-0.05743118883948739	0.47003465436452424	0.597648810389582	0.5383899363660921	0.8048665701451571	0.8849923952377363	1.14209540911684	0.17638398253916457	0.47045323310610937	-0.25095441715804656	0.07849864222823388	0.10955078114001604	-0.5529576599171329	-0.07556117718091766	-1.766364045956203	0.15891662305269277	-0.7357569454916975	0.7171436840644099	0.09943660202603226	0.22486834179491244	-0.10657350701761836	0.23361406754833225	0.08597223099546358	-0.3523755648731872	0.1661388279484901	0.4144932960800876	-0.974953863318408	-0.7005987208040927	-0.27244131670939487	-0.2985455031678258	0.2706824804523167	0.7108755137046183	0.20237942271877893	0.24962808408105686	0.8372388604622941	1.21618406517684	0.7529090120918721	0.46816878490446245	0.35169512594881414	0.04630323682302051	0.40525893483824826	0.32145932080994544	0.46039608689785516	-0.029709455823681008	-0.7629959469136658	-0.5820718085187936	0.2106210440924552	0.212905657166498	0.2672764201688671	0.3134730299719444	-0.12227096510757611	0.5364748940762356	0.5272270787259126	0.7648035486038823	0.4975583015524021	0.36258836428797486	-0.42361733380510974	-0.2288612934982488	-1.1740429737910252	1.2483051332407111	-0.2913369304485731	0.03954568138084524	0.15280654896933066	0.052482487823317436	0.0941973543410568	0.07102422896570326	-0.28544178681660415	0.15435336132685862	-0.38921107425399093	0.007900941552250185	-0.2590253203698043	0.2048118447275371	0.12084269409171267	-0.7330048087492876	-1.052787437898393	0.5379080278323276	0.12867628434078976	1.191818603433747	-0.08409176619481329	-0.47558776273382497	0.3450520071896858	0.014629271644004996	0.31619420435507384	0.033378700350342294	0.09451076164503402	0.26120120241898803	0.38716108717688646	0.3736604605897689	0.28046625190905594	0.43353266802127055	0.18724174270088123
ABCC5	-0.3935490811994624	-1.0783527996007838	-0.05944492818225933	1.3644130720847671	-0.5063574348133708	1.1771598129193312	-0.05877132737175241	-1.2538484703937123	-1.124282438479575	-0.1101573218910632	-0.7118119467877794	-1.0094315076360953	-0.06140523358279406	-0.7675291460022224	-0.9771239296008538	1.2521041396559887	0.5809653451683974	2.2392755114039895	-0.9854010117481886	0.28745306760458966	-0.7886318319405176	-0.28030347318278037	-0.9289873191753957	-0.8445628895992391	0.12315230517609632	-0.48301315716353455	1.132769918246988	0.05422545845641924	0.956637898825329	-0.28969768653046324	-0.8368308374772324	-0.14592372739799817	0.0028130948649986998	0.08023323654891956	-0.550353826882791	-0.20527920726036286	0.2600363715966605	1.0964869415480107	-0.004983729471010778	-0.12023193290042992	-0.7226423598673943	0.2629109470955863	-0.4233853160105008	-0.28251293121125065	-0.8689968349230899	-0.5141218595778909	-0.624509261435785	0.9262516272618562	-0.7095914235880478	-0.3860234942530636	-0.6507768322444282	-1.0653366367213986	-1.075378861780691	-0.08808511654069884	-0.44246245471156254	-0.30617689817023663	0.5973897120769676	0.32218200623630877	-0.32916998984996404	-0.28889193974926886	0.0575638808664826	-0.6417990474466228	-0.3991479972596206	-0.5985733287226976	0.4135927376975419	0.8390157463046768	0.5654838096041448	-0.5202552423598636	-0.4375466156429977	-0.7395323428195344	0.2072189348580573	-0.9348888365495547	-0.614777090732734	-0.879624124876734	-0.45214235292855354	0.40944415769811604	-1.2463091131751538	-0.8510738525608614	-0.9113574330562246	-0.545645395083824	-0.7054012756908989	-0.6741616759133716	-0.11355083740022587	-0.8426608968963127	-0.431701083906729	-0.5276729912638943	-0.11538262231650591	1.300566992993519	-0.47978709821372356	0.2676604309724415	-0.6728725902045374	-0.6646591085231575	0.8411612717308294	-0.25848769624202617	-1.1128903675941175	0.13931701073499192
ABCF1	0.0648443627050006	-1.7026693821943972	-0.3131867260615966	-1.2535964259443744	-1.2488842709854775	-0.03658026058608641	0.6145665434583133	0.2398985800358652	0.07158385513071508	-0.724065229299503	-0.0605306767091637	0.087483149719408	0.9024177710072874	0.3341258197077913	0.6011427640299487	0.1690233109519852	-0.30607274222468517	0.1968884326219424	0.026866812718181875	-0.27185249340998785	-0.1306808685103597	-0.40711587731429794	-0.49524007687318095	-0.24080576877440016	0.09437945912337486	0.1756349967489066	0.12169145921240299	0.18572389727045557	0.18129750608685313	0.08837957641998351	-0.4182740780825821	0.10739854509619029	0.21109954373704154	-0.03170208575470035	0.29153519574656245	-0.07891488960337956	-0.334775925576755	-1.0039525221980576	-0.08030948994869935	0.09093879230888291	0.2405425028425301	-0.07685724870676729	-0.09995229196019562	-0.21138036696912632	-0.1365255396508238	-0.09464575024858135	-0.014229648399611161	-0.38344945421963894	0.45409611937684513	0.13566885561510578	0.8113404443970585	-0.2247629750757123	0.06250212329961213	-0.052100149933856255	-0.3968380706699772	-0.2457313277824055	-0.25216094244361686	-0.5342702573502427	-0.267749701199925	-0.3249718665730681	0.01999387457257266	-0.8441220375354395	-0.09220063809837553	-0.18100347802838712	0.08449607092104605	0.4909193929296647	-0.1695410380273299	0.00051872415514298	-0.26223865398317026	-0.25521655658752485	0.01644476589559485	-0.14876665187729943	-0.1866813324660003	-0.19578396544671417	-0.36809474495225025	-0.07619477761197802	-0.09231956108756556	-0.2235734548903774	0.08246634881333322	0.3349318899712145	0.09503655705883887	0.4914848174071924	0.10710044809446684	0.4871300804193188	-0.4166296492015391	-0.6106346269730322	-0.4020191069794545	-0.1611656412389353	-0.5909035914587379	-0.15900469266789896	-0.05356613725209236	0.0029068524752613456	0.02217943350219098	-0.13478022645825583	-0.30994065306992713	0.20188025821857059
ABCF3	-0.19716163695449818	-0.3174863224008657	-0.011807410416621922	-0.343334257572416	-0.8156621941663751	0.19758947394223067	-0.29756746616210794	-0.05604335516191998	-0.5175205626172579	-0.6687322611140951	0.04562196755164596	-0.40890130296641497	0.02522864713401951	0.31425253566925077	0.09507856299505928	0.40082006930678576	0.1259771272800274	-0.6686751043590025	0.3871906080714135	-0.7772593327641288	0.24751141624931616	-0.036230330776404605	-1.2660237059415398	0.4135130461408719	-0.14870767700685716	-0.1277017677768142	-0.025679744215044042	0.07446335558744854	0.14407910872168883	0.371677698252038	0.3249540783182875	-0.17312577883017505	-0.06774827280096551	0.2523255203711614	-0.4739304278332412	-0.013897215696790477	0.0009110429932763152	-0.2805788885115575	0.0559643545655909	0.13633163462205408	-0.09800027183771365	0.12168440797680269	0.18857579019119086	0.5166826233452362	0.08201063993131852	0.21724322725659428	0.32741465095132183	0.323650543409431	-0.48712663055788363	-0.4688201405482397	0.02962655770818934	-0.16142271148695686	-0.32406231145455333	-0.7037727378065568	-0.17683653502245233	-0.2239958536828984	0.17174423132831151	0.2718614183950323	-0.2716195928304028	-0.16681273005003572	0.19103125236810245	0.6913812963793566	-0.07867827639929792	-0.5968061210146415	-0.9027615972630763	0.09825372107800079	-0.021648420426196857	0.2606937527845048	0.09860399162443567	-0.13590557443845963	0.2683578523546126	-0.12862580549027713	-0.007302980975784005	0.06146965755859224	-0.2614735267735879	0.3914581313854839	-1.5306819849210704	0.08828594831880254	-0.054694657379802614	-0.9428404315262785	0.44731061727226146	-0.19367466632897018	0.22379843229975416	-0.013001792649623312	0.19739956217956456	-0.16846735267098842	-0.28291471396008205	-0.3252903318108853	-0.2145225015707708	-0.25617208883982046	-0.043938831054297633	0.4946694758476755	0.30718178464170975	0.42614652202080316	-1.4881164696906555	0.08667826914550769
ABHD4	0.06831731715372591	1.4778530182565501	0.3769091970106908	0.09755472222413904	1.718255073076346	0.6599719273346327	1.1931305112516868	-0.6406294497984124	-0.38288665287628465	1.618367147316532	0.8842206263891705	0.29895051135809964	0.4202678963273286	0.6601918387539081	0.5819222636988657	-0.3364317540878604	0.6569267807451502	0.9793816332590461	0.6456504586910373	1.2197834189053105	1.1737753371802646	0.7628871241114469	1.4058454343709643	0.9115828925453184	-0.18073880902256834	-0.24477116981312408	-0.4610949963754276	-0.38482842948686025	-0.7847243248165876	-0.35605053031806966	0.6753990079090249	0.021341943085793423	0.2704345445914398	0.3401829457129275	1.0620900004407714	0.32225553342037716	0.3927313508748975	1.1361942803581728	0.35703189908935373	1.8643925633186986	1.6958636104510239	1.5838758673107538	1.3078602543548536	0.3427789863535988	0.19873576706534601	0.9531959804752743	0.1133625623547625	0.6145339312737526	0.1097079442986093	0.24545200636232956	0.05780982538995261	0.08842769771392045	-0.02770420258219819	1.15069239683627	0.5832397359224577	0.5983206368650666	1.0694560578416443	1.237283293539939	2.134609348615793	0.8757282442606447	-0.04344708209946043	1.3135954970293116	-0.10043923096642615	1.259697450065534	1.0396897931706643	0.5070565502156337	-0.42311024748474535	-0.4496663444363762	-0.45548486292460133	-0.024769195927114795	-0.24061281563672532	-0.16645175203580664	1.3294770339430453	0.3713996545831869	0.7834635702396988	0.6303877436922216	-0.4184896679982977	0.7613112542734342	0.605171624447892	-0.5996309604310575	-0.11792847997934146	-0.36428211151488765	0.6838592827695844	0.44751092105310253	-0.5381390817250128	-0.20928071576329219	0.43657211138964946	0.506159050679633	0.8618058047484753	0.31461843141538126	-0.31475449313365145	-0.2864698518905576	0.08180820724575288	0.8199826960596008	-0.6181657597513719	-0.6116919031278569
ABHD6	-0.13103214412572872	1.0201120655669347	-0.11538563910694366	-0.16452541582305996	-0.9842913581147006	-0.6532124765187867	-0.9454413422331196	-0.747905103233852	-0.6020411992586002	-0.7486515652385405	0.2513794775336615	0.5501384631606004	-0.19433376034222433	-0.05972749826167743	-0.08309635049105565	-0.05791225626802952	0.28199282724824193	-1.0503740468958025	-0.3679856702598011	-0.6080010210024857	-0.8356973036101646	0.6343098303772783	-0.6624911012195819	-1.1938219824390024	-0.04207415536435821	0.2208904175984634	0.2280151065938354	0.13078586338753007	0.45155550907017017	0.606171580653045	-0.4406883858615629	0.18624132651520392	0.018815014610687797	-0.06981868472600783	-0.1632970836576657	0.36696362171262975	0.37958472868875504	-0.21078754985053194	-0.11522248337061747	-0.19615642549557336	0.5086259611739404	-0.16867151549755333	-0.1294391362127707	0.0030549055924227186	1.2736886273514603	-0.35979172281939165	1.0571446250591137	0.07655520866441101	-0.3288023710554886	-0.20172721140532301	0.9853057062658698	-0.25660183244010826	0.30066023541824816	0.22304155305370998	-0.281399142875876	-0.07374133823287939	-0.1153244546008354	0.9240758485110994	0.11409666279648552	1.3677583311254953	-0.5629768387902351	-0.5872227087669859	0.04499340134717156	0.2538576699468802	-0.5272829753325747	0.11515149966000537	-0.11235477632785251	0.6972659339581029	0.1407369056136054	-0.017536688387906674	0.06913826230489839	0.01761330392187843	-0.2876353399832716	0.29015957423424155	-0.4629438614001029	-0.029754804420678127	-0.6165392437024861	-0.606626425453392	0.6131103070679013	-0.9478177055917894	0.5972331647534197	-0.20596052524091063	-0.9248817541028294	-0.4781332888635781	-0.1708285390327895	-0.030014455583755446	-0.032069615534691565	-0.03648022511482707	-0.07750126790657696	0.8302663317143586	-0.20622809862747027	0.04169819661970786	-0.2043898430573612	-0.08947498603961224	0.20517133927874331	0.29688505101266616
ABL1	0.1396686710973114	-0.16811278939743718	0.15455400284675447	1.2282327409581328	-1.2984238466239462	-1.1665094893442332	-0.888718340122909	-1.0892061515956553	0.520731169620164	-0.8529532041081269	0.5308857552609417	0.603055531838903	0.5761408015071915	0.8701154555194478	0.6502019172606012	0.9229853520480085	-0.028481097026239688	0.7621295174781061	0.7653441426018575	0.16504838956116147	0.742491844865025	1.0394810044154679	1.159240047609923	0.38449307682683803	-0.22867781823982813	-0.3292438359124641	-0.3550893813813578	-0.5340297751251586	-1.1800666358512126	0.31386121345625906	0.20091581116324858	-0.7157000875353038	0.12200461615054392	0.42479592629959706	-0.029761643140324347	0.265105592810682	-0.9200173122554152	0.08280536774081752	-0.6379955222968033	0.03527698498726147	-0.5391261858734511	-0.4533748693238106	0.25304976119014233	-0.28564252535992374	0.726009123394908	0.3005013032056092	0.23234308119653058	-0.2983459321878166	0.34030469407755115	-0.2939684283584043	-0.6104718635525801	-0.13449938957444374	0.0034304352733069976	0.2907885144736069	-0.12708546136660726	-0.955303982898088	0.21566228832975654	0.1428717595575506	-0.11918979274316162	-0.19864920260276353	0.6991605968465885	-0.1802287338068794	0.2082218227488184	0.7283923678401976	-0.2771218935918658	-0.6420106682015789	-0.09851633474908317	0.09361895950127863	-0.30474940117250515	0.09896383419796306	-0.5482507434754726	-0.1415508950517892	-0.06785603792038053	-0.31565995891804643	-0.5458254266592664	-0.3960105046781148	1.9590264924330896	0.6236070768851447	0.9287240334550141	0.7492916154067952	0.6874185257894911	-0.9020333269694305	-0.326120930683258	0.7181962237750068	-0.12013513735729475	0.618878835916909	0.18830191703833896	-0.617267497835889	0.46785958116289716	-0.16614532809885896	0.03337171310899234	0.5031039578237109	0.03225156316817346	-0.20338724600312608	-1.3471910857623333	0.6249035917738657
ACAA1	0.08843058829565309	-0.5604334687285558	-0.10473571354730304	0.9173719519544614	-0.3661823266678709	-0.674745706960322	0.8727627304208431	0.8227665475954369	-0.6524413979462276	0.5567931790184837	-0.19446174827924328	-0.3804072224813432	-0.8142685590105492	-0.031110081925930545	0.05733803887418176	-0.3034186401810876	-0.1455995640146832	0.7712979231187409	-0.497053141200092	-0.6443913889220976	0.41792032462922907	0.1899599313132251	0.6832572672750435	0.7663445732812125	0.4244929781146942	0.4045180935472652	0.09614090603004621	0.08061217011415334	1.324648603838771	0.8119369111126109	1.1714764754151026	0.9425907010145709	0.019374212557006	0.006855217260381963	-0.665827848590849	0.41351914216542496	-0.21025457722845595	0.5567178288676373	0.20352937377567837	0.2907117204536016	-0.08802860053943151	-0.09710020594293549	0.7278903821753921	1.2137675006904123	0.9585724674075802	0.6588713106036244	0.7857287849232573	0.6608784656042022	0.31972565336476544	0.2154215950873537	1.331709278251977	-0.15421685606746816	0.2562120221583828	0.09689198134310906	0.2348505978518678	0.15135763184963066	0.32999594328096093	0.5678667409935771	0.6482839764555646	0.4493348870770302	0.10733075445843128	-0.24366872130480335	0.009278221959986954	1.1406249211780612	-0.22705701613718166	0.1611434507872609	-0.0029893431268979143	0.16548409361623362	0.07362469169122643	-0.14816230048577128	-0.043852004544259415	-0.28048171992727133	-0.5768590054010394	-0.21162319982384736	-0.22491113039709254	0.05451453076755697	-0.6704411602129401	0.4893581074047779	-0.16392921577738964	-0.56957816808822	-0.5336185232652424	0.9541652900389007	-0.48824341141676353	-0.3903553789698877	0.4183373848034928	0.04022334792945396	0.584239010298667	0.11425967458054154	0.19769088830938908	-0.19450809080829767	0.48080093228024845	0.5375293393199332	0.6669329508434969	0.6354995553318199	1.118156900269761	0.1696984083564863
ACAT2	-0.021552043709725632	0.47859583244372744	-0.15042881425765686	1.1187127305677442	-0.41885183388359426	-0.2400221945207493	-1.1252681624385255	1.0726419391572453	-0.334859283100592	0.43778054780137377	-0.72246566458239	-0.37566704421957464	0.389224366107214	0.5514448344813591	-0.05726564298725201	-0.7903665995716846	-0.28932159329572316	-0.9602923150568488	-1.551551178987383	-2.039990286352233	-1.4738504227260125	-0.20702233001727688	-1.239925539361262	-0.6343169322097626	-0.26640024336417234	0.5654024010796461	0.36382626976387633	-0.4869425926162867	-0.23770189818261667	0.5126456238387009	-0.13832085810482725	1.2553703935608365	-0.17741475773472604	0.28033300196485933	-0.9798551537115188	0.28216817185637555	-0.18168928446583316	-0.3244276486069636	-0.33026268881162946	0.030227020517131404	-0.44954602852047054	-0.9017016671964345	-0.4215081137324037	-1.1432908593528388	0.5821671428656896	0.05889196264454455	-0.6767207773086543	-0.22139652986833736	-0.7769117735909064	0.493305786355005	1.3824509973669714	0.1715487678027512	-1.1108356238641302	-0.819105059460794	0.7440501381626854	0.34599710429918556	0.41974932914084295	0.6083877753978848	0.4661885982878579	0.4971690925155998	0.36055801271919297	0.9190526729509039	0.14907910699054416	-0.27345011208215875	-0.9114692600903667	0.16164207152785814	0.3806674818911133	0.23489993579020774	0.7152199198887199	0.7195838765258955	0.5337709370180637	-0.845049717798346	-1.507796939653345	-0.4019311333139761	-0.8239272644651807	-1.0091418296573753	0.27015204915193003	-1.082881308675646	0.08336657661409105	-0.17197564515638747	-0.7021972256070145	-1.8310257847501847	-0.5853812226314936	0.31904401299373863	-0.035618785130216546	0.7717445842800629	0.704211710970835	1.1045007122096109	1.1022504256901366	0.9810338887434824	-0.7254593319130704	0.4819719036918235	-0.5120953306282563	0.23144819349424628	0.7122733708845903	1.6675497267275328
