	#_of_exp	#_of_exp(fc<0)	EG_score	empirical_pVal
A1CF	90	48	8.203182810051933	0.97494
A2M	90	45	-0.6794345348865122	0.43807
A4GALT	90	34	-5.793574472327735	0.11985
A4GNT	90	37	3.6885710120717974	0.78472
AAAS	90	43	-15.376257203597547	0.00042
AACS	90	53	-16.571126469616516	3e-05
AADAC	90	51	-5.705546070606354	0.07819
AAGAB	90	56	-17.646294796756646	2e-05
AAK1	90	46	-4.136229715337826	0.16636
AAMP	90	34	-2.7898041464511283	0.28607
AANAT	90	37	14.713200305994482	0.99834
AARS	90	57	-7.913952111583497	0.02032
AARSD1	90	43	-14.291613571168957	0.00087
AASDHPPT	90	42	-21.926283609561406	1e-05
AASS	90	53	-18.193539218705155	1e-05
AATF	90	43	-13.69616109943311	0.0013
AATK	90	44	-4.1710527843536465	0.16941
ABAT	90	46	-6.516139835358577	0.06395
ABCA1	90	37	0.5793038747494492	0.5495
ABCA11P	90	40	-3.991196002975243	0.18979
ABCA12	90	35	-5.623874706155128	0.12359
ABCA2	90	41	4.169709136066802	0.82464
ABCA3	90	41	-1.0184139225718736	0.40921
ABCA4	90	41	3.715775749730007	0.79736
ABCA5	90	39	-3.081711848348132	0.25055
ABCA6	90	58	-1.2672265327153185	0.36871
ABCA7	90	29	-9.501617985595466	0.04108
ABCA8	90	49	-2.794900720455316	0.24833
ABCB1	90	65	-9.549658878014046	0.00363
ABCB11	90	50	5.551687934710186	0.91361
ABCB4	90	57	-14.267283400649408	0.00011
ABCB6	90	41	-12.490971334714372	0.00383
ABCB7	90	30	-0.8248951688341287	0.43512
ABCB8	90	57	-18.443333686249222	3e-05
ABCB9	90	45	2.651889664795963	0.73482
ABCC1	90	33	1.8188543511295792	0.64178
ABCC10	90	38	-0.23032380906955235	0.47922
ABCC2	90	50	-12.08328349046515	0.00202
ABCC3	90	39	-2.591581214178381	0.28504
ABCC4	90	42	-11.670265955001417	0.0052
ABCC5	90	59	-15.396326055984659	3e-05
ABCC6	90	49	1.2583329886575136	0.6231
ABCC8	90	49	-4.769604945395501	0.12341
ABCC9	90	33	4.2204795518597225	0.80113
ABCD1	90	33	1.8912615818403777	0.64711
ABCD2	90	54	-2.1742024805664677	0.28777
ABCD3	90	45	-6.238979559001501	0.07222
ABCD4	90	31	-0.7005300083442413	0.44617
ABCE1	90	59	-19.86900940329792	1e-05
ABCF1	90	43	-10.908212054490042	0.00772
ABCF2	90	55	-23.165921803651795	1e-05
ABCF3	90	54	-9.385230032248792	0.00879
ABCG1	90	35	0.03230265526644663	0.50275
ABCG2	90	51	-0.434064072862262	0.45497
ABCG4	90	47	-3.4367984957927895	0.20507
ABCG5	90	49	-1.2861723393322348	0.37898
ABHD10	90	49	-19.5378554273311	1e-05
ABHD11	90	42	-0.9299169687283038	0.41733
ABHD14A	90	31	1.5138994448238585	0.61721
ABHD2	90	50	-11.066982117045114	0.00415
ABHD3	90	55	-14.048479570240096	0.00021
ABHD4	90	46	-4.311217863388137	0.15616
ABHD5	90	50	-22.727953009447873	1e-05
ABHD6	90	52	-2.1666732323320192	0.29407
ABHD8	90	52	-8.939256587320244	0.01313
ABI1	90	40	8.522831958595962	0.96942
ABI2	90	54	-15.601203315835892	7e-05
ABI3BP	90	53	-2.998294864117621	0.22427
ABL1	90	57	-5.132599668403265	0.08973
ABL2	90	49	-10.24804115207026	0.00722
ABLIM1	90	39	-6.332907103134597	0.08506
ABLIM3	90	48	2.1941087544359275	0.70383
ABO	90	34	-4.841416522401287	0.16217
ABP1	90	55	-3.073792003853977	0.21267
ABR	90	53	-10.51239126923718	0.00425
ABT1	90	45	-19.65385663625024	1e-05
ABTB2	90	35	-2.240870292461413	0.32126
ACAA1	90	33	-7.008354125057822	0.08261
ACAA2	90	44	3.4838232612665396	0.79104
ACACA	90	50	-17.423962786741843	5e-05
ACACB	90	44	-2.0872604724337305	0.31585
ACAD10	90	38	-4.036493541019965	0.19139
ACAD8	90	44	-12.420836843674763	0.00278
ACADL	90	40	0.10326632682224696	0.51064
ACADM	90	60	-0.901436778082989	0.40334
ACADS	90	42	-3.449196209630742	0.21928
ACADSB	90	31	-2.4734020911039756	0.31391
ACADVL	90	39	-3.2133466012615877	0.24146
ACAN	90	38	2.1418870185081684	0.67816
ACAP1	90	52	-14.33396413070857	0.00031
ACAP2	90	26	4.011336142762436	0.76465
ACAT1	90	43	-2.706404643775491	0.26879
ACAT2	90	42	-15.675811394442519	0.0003
ACBD3	90	37	2.8215013273554295	0.72728
ACBD4	90	28	2.5872259317389634	0.68804
ACCN1	90	43	3.1111092198286494	0.76268
ACCN2	90	56	-8.361165589855439	0.01511
ACCN3	90	48	-8.388599887831981	0.02252
ACCN4	90	30	0.8847695079656499	0.56769
ACD	90	52	0.11575358738050327	0.51242
ACE	90	53	5.609958114396048	0.92308
ACE2	90	47	-11.564500711055382	0.00343
ACHE	90	41	-4.810653706558144	0.14053
ACIN1	90	45	-9.96564686470409	0.01066
ACLY	90	57	-19.200804329972453	2e-05
ACN9	90	52	-19.32477666187627	1e-05
ACO1	90	51	-13.568040912601102	0.00047
ACO2	90	40	4.995786162870323	0.86683
ACOT11	90	41	-1.3649185023677533	0.37898
ACOT13	90	37	1.8326477666544232	0.65358
ACOT7	90	59	-20.797778487350016	1e-05
ACOT8	90	35	9.343940553519294	0.96968
ACOT9	90	37	-10.189273182431995	0.01746
ACOX1	90	37	-2.7968804811825727	0.2753
ACOX2	90	40	1.5305952169483321	0.63489
ACOX3	90	46	-14.546532437875378	0.00047
ACOXL	90	41	1.6239156804054338	0.64256
ACP1	90	54	-11.06601358598309	0.00284
ACP2	90	44	-3.481658822524064	0.21189
ACP5	90	37	6.238892480641436	0.90643
ACP6	90	41	-0.06092823456010764	0.49402
ACPP	90	30	-4.709051301874065	0.18422
ACR	90	36	11.40043258796944	0.98952
ACRV1	90	38	3.1505188909055883	0.75083
ACSBG1	90	47	5.868384044876208	0.91883
ACSBG2	90	53	2.214753854475602	0.71555
ACSF2	90	41	-8.857523367148909	0.02704
ACSL1	90	50	-25.100796250920872	1e-05
ACSL3	90	51	-16.40292913106258	5e-05
ACSL4	90	59	-11.09063760217227	0.00166
ACSL5	90	37	-2.611741073287098	0.28845
ACSL6	90	42	-3.3460462858420623	0.226
ACSM1	90	58	-15.890692863044888	3e-05
ACSM3	90	49	0.790928410262088	0.57898
ACSM5	90	48	-3.6116677476885255	0.19021
ACSS3	90	46	1.7927817389762999	0.66546
ACTA1	90	33	-4.997554286316702	0.15909
ACTA2	90	39	-0.34552253719759407	0.47125
ACTB	90	49	-15.704157279303868	0.00013
ACTC1	90	31	5.7104361360912606	0.86498
ACTG1	90	51	-4.626815082378035	0.12408
ACTG2	90	40	2.1787619412409702	0.68691
ACTL6A	90	55	-19.635420791453637	1e-05
ACTL6B	90	58	-9.409536147244909	0.00645
ACTL7A	90	48	2.453695286281848	0.72584
ACTL7B	90	39	2.6016957892835135	0.71908
ACTL8	90	50	11.577654067655073	0.99747
ACTN1	90	49	-19.766035857013023	1e-05
ACTN2	90	39	-1.9950325439803849	0.33128
ACTN3	90	40	-3.1063470672733233	0.24753
ACTN4	90	50	-9.138605786724726	0.01358
ACTR10	90	28	0.5104375711538878	0.54028
ACTR1A	90	49	-17.492418123671694	5e-05
ACTR1B	90	36	-0.11311633946589358	0.49044
ACTR2	90	57	-6.314628623134178	0.04926
ACTR3	90	51	-5.328803490808701	0.09195
ACTR3B	90	51	-12.036340757128896	0.0018
ACTR5	90	56	-9.742620459619378	0.00563
ACTR6	90	48	-7.034254140082085	0.0454
ACTR8	90	30	-0.3940940036507444	0.46981
ACVR1	90	30	-0.5205701853847199	0.45925
ACVR1B	90	59	-9.171925900467546	0.00761
ACVR2A	90	38	-3.6706605918574966	0.21354
ACVR2B	90	37	5.242295626242789	0.86688
ACVRL1	90	36	4.7643242661631025	0.84261
ACYP1	90	54	-13.745206304197442	0.00036
ACYP2	90	26	-0.6519544203506256	0.45435
ADA	90	41	-2.5246950697856745	0.28484
ADAM10	90	50	-13.291228583742722	0.00081
ADAM11	90	45	8.577472548369046	0.97575
ADAM12	90	52	1.7695034842174098	0.67114
ADAM15	90	39	5.479969569595035	0.88413
ADAM17	90	40	-2.4961396516805623	0.29131
ADAM18	90	54	-1.642144569818445	0.33567
ADAM19	90	50	-21.767819206603892	1e-05
ADAM2	90	49	0.10161473340727786	0.51242
ADAM20	90	51	-0.26142519808240344	0.47227
ADAM22	90	46	8.191310291201242	0.97237
ADAM23	90	46	-11.2933535170205	0.00459
ADAM28	90	33	-0.11166699447504691	0.4918
ADAM29	90	43	13.624638110515676	0.99872
ADAM30	90	47	6.2747813634470235	0.93216
ADAM3A	90	48	5.9938803177728515	0.92642
ADAM5P	90	43	5.491433996311235	0.89578
ADAM7	90	48	1.5681653385501637	0.64971
ADAM8	90	46	-19.956547020765864	1e-05
ADAM9	90	56	-5.3174110168646225	0.08229
ADAMDEC1	90	39	2.2024707528641962	0.68849
ADAMTS1	90	58	-9.432318601649486	0.00637
ADAMTS12	90	37	4.506024837767584	0.8306
ADAMTS13	90	24	3.2722270185089815	0.71419
ADAMTS2	90	32	2.4465433013270337	0.68812
ADAMTS20	90	57	-2.2989924334752323	0.27427
ADAMTS3	90	50	-15.477179112658508	0.00013
ADAMTS5	90	47	6.386216813669526	0.93547
ADAMTS6	90	40	-2.6903614001379186	0.2772
ADAMTS7	90	37	6.579796902663085	0.91678
ADAMTS8	90	36	-4.593532816186818	0.16949
ADAMTS9	90	44	-3.201245272769277	0.23063
ADAMTSL2	90	46	-4.602093486695299	0.14063
ADAMTSL3	90	52	1.5693706881623524	0.65274
ADAMTSL4	90	34	-3.211708597569255	0.25669
ADAP1	90	33	1.4257678696379084	0.61285
ADAP2	90	34	3.115315941144367	0.73977
ADAR	90	52	0.025927169510096482	0.50395
ADARB1	90	47	-4.800398176928976	0.12669
ADARB2	90	40	1.6497246518478454	0.64486
ADAT1	90	51	-2.9815672056761766	0.22812
ADCK2	90	35	-2.967708912559819	0.26911
ADCK3	90	51	-11.646713993185513	0.00255
ADCK4	90	36	0.9818114692109744	0.58234
ADCY1	90	43	-0.8647593421814065	0.42218
ADCY10	90	45	5.908950184121364	0.91545
ADCY2	90	41	2.3723958547323747	0.70261
ADCY3	90	57	-15.073995492983544	8e-05
ADCY6	90	38	-5.073763802682074	0.13696
ADCY7	90	48	-10.916079372621308	0.00516
ADCY8	90	45	-3.7065048877517723	0.19059
ADCY9	90	42	-3.3347226144820152	0.22667
ADCYAP1	90	50	3.6961709630404975	0.8195
ADCYAP1R1	90	52	-3.256895838024496	0.20763
ADD1	90	46	0.40873583130995655	0.53998
ADD2	90	44	-2.3510288418962273	0.29399
ADD3	90	42	-5.252213472107265	0.11918
ADH1A	90	41	-1.3906578877430613	0.37701
ADH1B	90	44	0.15452119589877508	0.51377
ADH1C	90	44	2.2683863042924917	0.70154
ADH5	90	36	-2.9584530570974468	0.26772
ADH6	90	52	9.595652894207818	0.99141
ADH7	90	46	-11.697044623918547	0.00367
ADI1	90	50	-10.386050110561122	0.00655
ADIPOQ	90	44	5.982193024390792	0.91624
ADIPOR1	90	40	-14.965053318665346	0.00076
ADIPOR2	90	51	5.270742801194502	0.90493
ADK	90	47	-12.052679187530215	0.00243
ADM	90	42	3.48670503030354	0.78643
ADM2	90	51	-4.095194465989959	0.15363
ADNP	90	45	-10.081029424571176	0.00994
ADNP2	90	46	-3.2436260411522926	0.22289
ADO	90	53	-6.110567501138966	0.06276
ADORA1	90	38	2.8165524273013505	0.72865
ADORA2B	90	41	-8.449297540271223	0.03289
ADORA3	90	41	8.675130006093859	0.97199
ADPGK	90	51	0.9330388095978878	0.59103
ADPRH	90	47	-11.072961243083196	0.00456
ADRA1A	90	39	2.690868344635628	0.72525
ADRA1B	90	41	1.6406279609776453	0.64399
ADRA1D	90	50	0.902538567235463	0.58842
ADRA2A	90	55	-8.363557975074066	0.01609
ADRA2B	90	32	-0.6629780190831077	0.45027
ADRA2C	90	47	-0.5571205983553679	0.44578
ADRB1	90	52	8.499050773347262	0.98293
ADRB2	90	56	-8.052172813410959	0.01844
ADRB3	90	40	-10.458983567090671	0.01202
ADRBK1	90	53	-9.278929935461623	0.01008
