	#_of_exp	#_of_exp(fc<0)	EG_score	empirical_pVal
A1CF	96	39	-2.8174867717248846	0.19306
A2M	96	36	1.7532766035157956	0.70133
A4GALT	96	37	1.9851888253125276	0.72549
A4GNT	96	62	-4.190551681468059	0.05395
AAAS	96	48	-2.1876197727619866	0.22793
AACS	96	55	-15.880224986291177	1e-05
AADAC	96	32	-0.3285668892538847	0.46254
AAGAB	96	56	-9.868128770358734	0.00021
AAK1	96	22	0.6686686915294	0.56413
AAMP	96	52	-1.5658680755113608	0.28694
AANAT	96	54	3.783285495483838	0.913
AARS	96	37	-3.221512337605887	0.16544
AARSD1	96	67	-17.299451734159877	1e-05
AASDHPPT	96	59	-10.060423729475923	0.00016
AASS	96	44	-1.0736065092080882	0.36522
AATF	96	75	-11.73849300929998	1e-05
AATK	96	52	-7.552670328192945	0.00435
ABAT	96	48	0.5968874243390935	0.5821
ABCA1	96	36	-2.5104018630020937	0.22965
ABCA11P	96	57	-7.843718917219675	0.00235
ABCA12	96	64	-4.357406198022366	0.04319
ABCA2	96	36	-6.826106558346151	0.0259
ABCA3	96	51	-8.804669103799826	0.00143
ABCA4	96	43	2.728336071910556	0.81128
ABCA5	96	36	-1.725446490079824	0.30607
ABCA6	96	47	-0.6111464578480553	0.41886
ABCA7	96	25	-1.6943296974748783	0.33464
ABCA8	96	47	1.0140789698150812	0.63464
ABCB1	96	29	9.082626725127309	0.98855
ABCB11	96	34	0.6032463802367684	0.56964
ABCB4	96	34	4.839750873742272	0.91394
ABCB6	96	38	-8.318252746401551	0.00771
ABCB7	96	45	1.2774456729808945	0.6659
ABCB8	96	55	-10.31410768398169	0.00013
ABCB9	96	40	-1.943773369071799	0.27438
ABCC1	96	50	-6.6243682445741365	0.01209
ABCC10	96	37	1.5672479186578088	0.68129
ABCC2	96	51	-4.027888588466576	0.07968
ABCC3	96	40	0.22489670276370435	0.53036
ABCC4	96	60	-11.801907701967373	1e-05
ABCC5	96	35	-4.129034653382457	0.11491
ABCC6	96	36	-0.8481791699940906	0.40309
ABCC8	96	44	-1.309369407538807	0.33665
ABCC9	96	41	-0.5766683482167821	0.42613
ABCD1	96	38	-9.16666745788609	0.00404
ABCD2	96	47	-1.068623245408983	0.35928
ABCD3	96	50	-8.493986741823736	0.00221
ABCD4	96	46	-3.035442681702289	0.15868
ABCE1	96	62	-17.638852261575952	1e-05
ABCF1	96	51	-0.6622346252324883	0.40784
ABCF2	96	70	-17.27194651325634	1e-05
ABCF3	96	39	0.5272558403315177	0.56471
ABCG1	96	33	1.399715126999079	0.65475
ABCG2	96	41	-11.057720041698172	0.00068
ABCG4	96	43	-1.9394467284254153	0.2672
ABCG5	96	33	0.7940407456647104	0.58827
ABHD10	96	64	-10.904179631607898	1e-05
ABHD11	96	61	-8.713231489538495	0.00053
ABHD14A	96	58	-3.102777497351387	0.12333
ABHD2	96	66	-7.028794052776246	0.00278
ABHD3	96	53	-2.4155688866994898	0.19541
ABHD4	96	17	-0.8733165542336941	0.42509
ABHD5	96	61	-8.799542868716923	0.00048
ABHD6	96	44	-3.6926921602761724	0.11792
ABHD8	96	23	1.0646281410632432	0.60029
ABI1	96	28	0.39157292736015964	0.54594
ABI2	96	56	-6.027475319624619	0.01472
ABI3BP	96	49	-0.5283821520651325	0.4303
ABL1	96	52	-1.186494079244868	0.33477
ABL2	96	55	-5.8739550026992555	0.01678
ABLIM1	96	48	2.490751835826528	0.80364
