	#_of_exp	#_of_exp(fc<0)	EG_score	empirical_pVal
A1CF	101	42	-1.0244907670214085	0.31757
A2M	101	44	-1.188890205655216	0.28417
A4GALT	101	30	0.6553551516224295	0.60425
A4GNT	101	44	3.6200047067114753	0.95377
AAAS	101	67	-2.2025885673510657	0.10219
AACS	101	53	-7.6795143815862	0.00021
AADAC	101	39	-1.6685472361119484	0.22673
AAGAB	101	76	-6.347807124954071	9e-05
AAK1	101	41	0.5000126336114887	0.58859
AAMP	101	44	-2.580597438874065	0.11317
AANAT	101	40	-0.03775369864980868	0.49374
AARS	101	64	-5.362549612459258	0.00168
AARSD1	101	76	-5.032997242816205	0.0011
AASDHPPT	101	61	-7.944408374402716	5e-05
AASS	101	28	-0.022129864060879162	0.49569
AATF	101	52	-0.9074454297699202	0.32047
AATK	101	24	-1.1531887245446988	0.3367
ABAT	101	52	-1.8463867393767883	0.17189
ABCA1	101	39	0.0807633882365532	0.51351
ABCA11P	101	46	-1.2441507150257953	0.27224
ABCA12	101	49	-4.035295029903461	0.02352
ABCA2	101	26	-1.384943048653956	0.30428
ABCA3	101	50	0.13076891673982055	0.52832
ABCA4	101	25	0.8970691608898159	0.63136
ABCA5	101	45	2.672722531639009	0.89788
ABCA6	101	47	0.21384884536147308	0.54264
ABCA7	101	22	-2.6638867252163294	0.18258
ABCA8	101	45	0.7120686611567342	0.63664
ABCB1	101	49	-6.5973614746464815	0.00081
ABCB11	101	33	-0.0733572664119607	0.4858
ABCB4	101	53	-1.9027715842266981	0.16128
ABCB6	101	63	0.22117066352934067	0.54985
ABCB7	101	36	-0.10276830881695424	0.48526
ABCB8	101	45	-2.474440341580386	0.11999
ABCB9	101	52	-1.745163621543461	0.18451
ABCC1	101	42	-0.4713603744062658	0.41414
ABCC10	101	33	-0.2465367475151914	0.45722
ABCC2	101	70	-4.423935330209447	0.00486
ABCC3	101	48	-2.0506323561199666	0.15544
ABCC4	101	32	-2.653015961204036	0.14228
ABCC5	101	46	-1.2952049995057129	0.26454
ABCC6	101	41	-6.125674247676711	0.00428
ABCC8	101	20	-0.4122602416845665	0.44395
ABCC9	101	34	1.9190222538612802	0.7909
ABCD1	101	41	-0.8436885251209982	0.34517
ABCD2	101	52	-1.2126527501108448	0.26647
ABCD3	101	75	-4.570459889857503	0.0025
ABCD4	101	49	2.050284482641159	0.84859
ABCE1	101	71	-7.953239098016536	1e-05
ABCF1	101	54	-5.184827676472094	0.00462
ABCF2	101	78	-6.209777777356368	5e-05
ABCF3	101	59	-0.9169257229174991	0.30925
ABCG1	101	32	-2.194398295371647	0.18617
ABCG2	101	43	-1.4580162482897743	0.24634
ABCG4	101	61	-2.778319951616773	0.06315
ABCG5	101	55	2.2331408239290984	0.88075
ABHD10	101	64	-7.027637832446415	6e-05
ABHD11	101	52	-2.3321382504043457	0.11672
ABHD14A	101	52	-3.981093113009102	0.02244
ABHD2	101	60	-3.4263890502611942	0.03128
ABHD3	101	53	-7.266588646692785	0.00036
ABHD4	101	45	-4.266923179066218	0.02374
ABHD5	101	66	-9.34033021263999	1e-05
ABHD6	101	63	-5.685089565492784	0.00088
ABHD8	101	39	1.5172871071603329	0.75159
ABI1	101	51	-7.168980492333674	0.00035
ABI2	101	66	-2.5879707924862387	0.06962
ABI3BP	101	64	0.38555257570135293	0.58394
ABL1	101	48	-3.9485587185926883	0.02903
ABL2	101	39	0.31466890963410354	0.55547
ABLIM1	101	60	-2.3624642189072786	0.09762
ABLIM3	101	33	0.07906267273465602	0.51102
ABO	101	36	1.0822572135188082	0.68484
ABP1	101	38	-3.00027987901713	0.09722
ABR	101	48	0.3374833898503693	0.56841
ABT1	101	65	-10.323529221156878	1e-05
ABTB2	101	62	-4.504541724149741	0.00704
ACAA1	101	39	-1.5336108273519122	0.24494
ACAA2	101	41	-2.4904901740521455	0.12875
ACACA	101	68	-9.153195544633585	1e-05
ACACB	101	51	-0.33576176830167154	0.4331
ACAD10	101	45	-1.6871885394884276	0.20831
ACAD8	101	42	1.3555233486738048	0.73916
ACADL	101	35	0.4990717751301945	0.58455
ACADM	101	54	-1.0696830620411073	0.28488
ACADS	101	49	0.05530503496230729	0.51226
ACADSB	101	47	-1.0026714601614712	0.31156
ACADVL	101	42	0.2567146024034748	0.54898
ACAN	101	43	0.1389294326451541	0.5256
ACAP1	101	42	-1.1424831484719964	0.29761
ACAP2	101	46	-2.335913512806975	0.13002
ACAT1	101	48	-1.9602095523321468	0.16631
ACAT2	101	47	-1.6009391976742913	0.21585
ACBD3	101	40	-3.751418733525616	0.05003
ACBD4	101	27	0.22467238396731223	0.53244
ACCN1	101	37	-4.450969997098339	0.03121
ACCN2	101	60	-3.6669315236329156	0.02318
ACCN3	101	39	2.0358202822606724	0.81806
ACCN4	101	41	0.5085720794420672	0.59002
ACD	101	44	-0.41056507429319994	0.42276
ACE	101	20	2.4803506951709204	0.79171
ACE2	101	46	-8.515851071313614	9e-05
ACHE	101	46	-0.5662413598032128	0.38922
ACIN1	101	58	-2.3440027686565426	0.10266
ACLY	101	47	-9.007676034730077	5e-05
ACN9	101	59	-9.887638353425405	1e-05
ACO1	101	53	-10.230567721515989	1e-05
ACO2	101	53	-0.2940556620213345	0.43987
ACOT11	101	50	-0.05873255640447074	0.49063
ACOT13	101	43	-5.057510799399145	0.01185
ACOT7	101	60	-9.953198782504296	1e-05
ACOT8	101	35	-1.6692369073033477	0.2382
ACOT9	101	38	-2.4209568085759265	0.14454
ACOX1	101	49	-4.690469874153354	0.01149
ACOX2	101	38	2.6655025246320267	0.87824
ACOX3	101	62	-0.6825599084956046	0.35
ACOXL	101	47	0.7653193737726872	0.64773
ACP1	101	54	-3.323579447029839	0.04305
ACP2	101	41	0.41634494620879875	0.57406
ACP5	101	44	1.374214809842413	0.74485
ACP6	101	53	0.39496370850133616	0.58086
ACPP	101	39	-1.4509431974086107	0.25719
ACR	101	51	0.6267326178522411	0.62601
ACRV1	101	62	-1.6632005029587444	0.17505
ACSBG1	101	43	-4.26764865400673	0.02648
ACSBG2	101	44	0.6000691623371994	0.61336
ACSF2	101	42	-6.014188211095511	0.00478
ACSL1	101	61	-0.7165694558868294	0.34489
ACSL3	101	46	-3.7968537833994707	0.03643
ACSL4	101	45	-7.751340023728708	0.00032
ACSL5	101	46	-0.466732471565525	0.40773
ACSL6	101	43	-0.7458945717109013	0.36168
ACSM1	101	52	-1.5128276246546934	0.2173
ACSM3	101	32	-0.6641573984675618	0.39102
ACSM5	101	28	1.595732807364701	0.72832
ACSS3	101	51	1.5436988975762023	0.78412
ACTA1	101	51	-2.4847112425931988	0.10561
ACTA2	101	66	0.8984859862500446	0.69846
ACTB	101	68	-7.191496760482172	4e-05
ACTC1	101	57	-1.5776181140224899	0.19972
ACTG1	101	51	-2.6535282562551896	0.09125
ACTG2	101	30	1.567713413666983	0.73479
ACTL6A	101	69	-8.337297735672804	1e-05
ACTL6B	101	44	-1.7073649233458785	0.20848
ACTL7A	101	44	1.9450119834715056	0.82246
ACTL7B	101	37	1.4314450763947717	0.73467
ACTL8	101	48	-1.4415225994537657	0.23679
ACTN1	101	54	-1.6805371752926839	0.18753
ACTN2	101	66	-2.6228193203311334	0.06708
ACTN3	101	34	1.0493772301231705	0.67117
ACTN4	101	51	-0.8732932107185954	0.32844
ACTR10	101	48	-1.374561669344673	0.2469
ACTR1A	101	68	-5.7838055028924344	0.00058
