	#_of_exp	#_of_exp(fc<0)	EG_score	empirical_pVal
A1CF	174	106	0.8910386922094543	0.73854
A2M	174	94	-0.3067024928251597	0.41767
A4GALT	174	70	-1.4333469489821098	0.20081
A4GNT	174	98	-0.08593623862800712	0.47595
AAAS	174	87	-2.60592195991719	0.04632
AACS	174	91	-8.077280953455562	1e-05
AADAC	174	68	2.2162067911932	0.89446
AAGAB	174	78	-6.591135273146238	6e-05
AAK1	174	96	-0.7429795406656852	0.30715
AAMP	174	83	-2.1126968522296683	0.09207
AANAT	174	100	0.15161374100151362	0.54424
AARS	174	105	-6.7267401223800185	2e-05
AARSD1	174	118	-8.479106749300477	1e-05
AASDHPPT	174	94	-3.510001037044105	0.00977
AASS	174	106	1.1529862774362067	0.79562
AATF	174	110	-6.335534224575723	2e-05
AATK	174	85	-2.2434473238338235	0.07636
ABAT	174	81	-2.0820878567607544	0.09905
ABCA1	174	100	-1.5829601586328967	0.13456
ABCA11P	174	87	-2.08292319251115	0.08936
ABCA12	174	72	-2.2617236388669695	0.09412
ABCA2	174	55	-0.6716081318489127	0.36526
ABCA3	174	88	-7.489427399578438	2e-05
ABCA4	174	84	0.36993905566276236	0.59366
ABCA5	174	58	-0.9357495818931643	0.30795
ABCA6	174	97	1.4500164714188561	0.83905
ABCA7	174	57	-2.594095028019065	0.08845
ABCA8	174	108	-2.6295633495625825	0.03022
ABCB1	174	78	1.3444610539593653	0.79641
ABCB11	174	93	2.16534860933894	0.9263
ABCB4	174	83	-1.5124306232236624	0.16849
ABCB6	174	89	-10.701146673728532	1e-05
ABCB7	174	58	-1.0041050413388384	0.29526
ABCB8	174	93	-5.95399222707147	4e-05
ABCB9	174	71	-5.4474790260408135	0.00141
ABCC1	174	76	0.9227443305207857	0.71284
ABCC10	174	71	-0.043927773975873156	0.48901
ABCC2	174	83	-0.5231308854673727	0.36912
ABCC3	174	55	-2.91619887910495	0.06927
ABCC4	174	82	-2.3009122208473967	0.07651
ABCC5	174	70	-2.5179731624177273	0.073
ABCC6	174	96	-0.6070159165712894	0.34061
ABCC8	174	58	-0.6470220931745907	0.36292
ABCC9	174	81	1.1012313399089624	0.75704
ABCD1	174	90	-1.0871043454707616	0.23534
ABCD2	174	86	-0.20288071678007424	0.4467
ABCD3	174	117	-6.1704105941288505	1e-05
ABCD4	174	68	1.8533248427386089	0.85418
ABCE1	174	112	-8.627012483140813	1e-05
ABCF1	174	87	-4.227758734511651	0.00352
ABCF2	174	95	-10.274000232988465	1e-05
ABCF3	174	75	-7.028066044585065	8e-05
ABCG1	174	67	0.5296584700117845	0.62118
ABCG2	174	80	-1.3114947184724204	0.20532
ABCG4	174	89	-1.900021774859884	0.10774
ABCG5	174	110	-0.35268257734857833	0.398
ABHD10	174	108	-6.549571576626079	1e-05
ABHD11	174	63	0.19654473253729648	0.54343
ABHD14A	174	89	-5.8989463484643965	0.00013
ABHD2	174	81	-4.68579226217193	0.0027
ABHD3	174	112	-5.497981310558474	9e-05
ABHD4	174	77	-0.5722989184512267	0.36268
ABHD5	174	103	-9.026828553846757	1e-05
ABHD6	174	99	1.252862683781563	0.80585
ABHD8	174	74	-1.3678860325899722	0.20745
ABI1	174	75	3.2837390890845257	0.97436
ABI2	174	96	-10.374441668875798	1e-05
ABI3BP	174	119	-0.8400861904356787	0.26166
ABL1	174	65	-2.818470930500331	0.05987
ABL2	174	107	-1.023676563834391	0.23038
ABLIM1	174	62	-0.5261212986816428	0.38756
ABLIM3	174	68	0.6549226894944075	0.64455
ABO	174	70	-2.9362310887540715	0.04622
ABP1	174	94	-2.244488233875561	0.06512
ABR	174	93	-1.5158280661789005	0.15359
ABT1	174	117	-9.870070346239004	1e-05
ABTB2	174	92	-0.5919796187525153	0.34741
ACAA1	174	89	-4.804778385165166	0.00127
ACAA2	174	74	0.5822231396041332	0.63759
ACACA	174	99	-10.032703100935768	1e-05
ACACB	174	82	-1.5061378112128103	0.17183
ACAD10	174	57	0.6576260621718352	0.63789
ACAD8	174	94	0.368472147593063	0.5988
ACADL	174	88	-5.030333164840259	0.00087
ACADM	174	107	-2.8259986614795594	0.02219
ACADS	174	63	-0.6894026560135038	0.35037
ACADSB	174	79	-0.10269265318732353	0.47243
ACADVL	174	75	-1.4489863185708092	0.19126
ACAN	174	89	2.3510956420542186	0.93589
