	#_of_exp	#_of_exp(fc<0)	EG_score	empirical_pVal
A1CF	78	32	-2.7556346250340606	0.25755
A2M	78	42	-0.03628158276236828	0.49317
A4GALT	78	23	4.107438151793185	0.799
A4GNT	78	61	-2.605754729538899	0.19587
AAAS	78	44	-10.887388671008237	0.00149
AACS	78	36	-19.068727307389338	1e-05
AADAC	78	37	-0.4805134022349954	0.44808
AAGAB	78	31	-6.882448363997187	0.0557
AAK1	78	34	-4.6128746961200555	0.13169
AAMP	78	36	2.2148153218757174	0.71151
AANAT	78	57	2.3080803162926236	0.76393
AARS	78	45	-16.70815108955381	1e-05
AARSD1	78	38	-8.304587831110458	0.01716
AASDHPPT	78	28	-24.74061566392259	1e-05
AASS	78	43	-8.719278009102247	0.00911
AATF	78	39	-3.9912581495446657	0.14716
AATK	78	16	-2.0202055403901262	0.36196
ABAT	78	39	-0.7472043400357192	0.42035
ABCA1	78	41	0.3543190006435709	0.53916
ABCA11P	78	53	-1.7784152959984714	0.29145
ABCA12	78	48	-1.2372669374135554	0.35931
ABCA2	78	24	2.0994361134568664	0.66894
ABCA3	78	34	5.267714022814261	0.90018
ABCA4	78	43	4.102724387419686	0.871
ABCA5	78	32	3.299868865144083	0.78336
ABCA6	78	54	-2.4979526204018123	0.21749
ABCA7	78	21	-0.10677539177224342	0.49097
ABCA8	78	36	0.6752336436775503	0.5678
ABCB1	78	39	-3.2212443426704276	0.19822
ABCB11	78	38	6.4500219540831125	0.95106
ABCB4	78	44	0.694112392256411	0.57442
ABCB6	78	46	-7.4583892182323055	0.01776
ABCB7	78	31	4.55273480377015	0.85531
ABCB8	78	40	-16.079577653285273	5e-05
ABCB9	78	24	-4.333282558599927	0.18607
ABCC1	78	36	-0.3102773968218169	0.4674
ABCC10	78	38	4.991644292777156	0.90119
ABCC2	78	43	-4.605235922617061	0.10273
ABCC3	78	27	1.8678008152550083	0.66173
ABCC4	78	37	-0.052263248237230296	0.49251
ABCC5	78	50	-6.826659116187072	0.02146
ABCC6	78	41	5.543407959094673	0.93159
ABCC8	78	42	0.4086183430850426	0.54193
ABCC9	78	39	6.71025161654827	0.95903
ABCD1	78	38	0.974583552338016	0.6016
ABCD2	78	52	-2.184735840003625	0.2523
ABCD3	78	38	-21.255022946231225	1e-05
ABCD4	78	26	-2.239218501161832	0.3122
ABCE1	78	41	-19.873218100084216	1e-05
ABCF1	78	53	-8.52901999039027	0.00485
ABCF2	78	38	-21.284570825171492	1e-05
ABCF3	78	22	0.9768992990391211	0.57814
ABCG1	78	20	1.7057121074847417	0.6301
ABCG2	78	33	-0.8657168622318636	0.41618
ABCG4	78	24	-10.319569642389853	0.02258
ABCG5	78	44	-0.11960265348606917	0.48548
ABHD10	78	37	-7.509265722547024	0.02887
ABHD11	78	31	-1.9798931368139787	0.31951
ABHD14A	78	30	-7.357587739059641	0.04784
ABHD2	78	26	-19.899558961661896	9e-05
ABHD3	78	50	-15.718745920566143	1e-05
ABHD4	78	27	-3.8208529014704187	0.20196
ABHD5	78	37	-19.344030801693833	1e-05
ABHD6	78	53	-1.0463669653490104	0.37141
ABHD8	78	46	4.566421085176615	0.90126
ABI1	78	36	1.236655889198295	0.62212
ABI2	78	48	-15.231655588361683	3e-05
ABI3BP	78	53	2.9972528195864836	0.818
ABL1	78	48	-7.4454419842419455	0.01595
ABL2	78	55	2.217553430610191	0.75318
ABLIM1	78	29	-2.8658467714262645	0.25563
ABLIM3	78	40	3.03467539756235	0.79027
ABO	78	32	0.766025721067071	0.57184
ABP1	78	50	-4.818123037646414	0.07466
ABR	78	43	-0.7976619372176856	0.41186
ABT1	78	37	-17.79986527819539	1e-05
ABTB2	78	30	2.1919683461907065	0.69451
ACAA1	78	23	-6.555622768863087	0.0981
ACAA2	78	49	-2.579898943624211	0.22399
ACACA	78	41	-17.65791614125428	1e-05
ACACB	78	32	3.1871877023725017	0.77539
ACAD10	78	19	-2.2284251531887915	0.3392
ACAD8	78	35	-16.07621790015696	9e-05
ACADL	78	39	2.429461579185384	0.7385
ACADM	78	49	-8.965225960470933	0.00485
ACADS	78	24	-2.78805983393053	0.27936
ACADSB	78	32	5.005291239300091	0.88072
ACADVL	78	29	-0.8278428613737676	0.4211
ACAN	78	40	3.7296377930589593	0.83956
ACAP1	78	20	-1.8967233202292273	0.35983
ACAP2	78	41	-3.010817252780415	0.20833
ACAT1	78	28	-7.876015973316556	0.0431
ACAT2	78	33	-11.870427160999341	0.00328
ACBD3	78	27	1.2033250972456593	0.60631
ACBD4	78	19	-1.088172000466031	0.41887
ACCN1	78	42	-0.8034920297959738	0.41251
ACCN2	78	34	-2.5784508056026048	0.26342
ACCN3	78	31	-1.2637778122159196	0.38148
ACCN4	78	32	3.300637510903868	0.78345
ACD	78	51	-5.464371420620509	0.05075
ACE	78	56	-4.065556260513327	0.09984
ACE2	78	37	-2.656144004260269	0.24567
ACHE	78	29	1.5090062543862701	0.63565
ACIN1	78	39	1.958868744499477	0.69676
ACLY	78	31	-21.395094884830126	1e-05
ACN9	78	35	-24.374163957111257	1e-05
ACO1	78	32	-16.501262838044234	0.0002
ACO2	78	41	4.657052654104191	0.89477
ACOT11	78	40	-1.1706862355431966	0.37645
ACOT13	78	34	1.9879918809213357	0.68707
ACOT7	78	36	-23.437042468211434	1e-05
ACOT8	78	29	-4.284895893045032	0.16417
ACOT9	78	25	1.5390789631333943	0.62806
ACOX1	78	37	-8.89474639845728	0.01252
ACOX2	78	33	0.9983492568849995	0.5964
ACOX3	78	38	-4.228228293087325	0.13643
ACOXL	78	47	0.5404776165663808	0.5618
ACP1	78	45	-3.1923906614054594	0.18368
ACP2	78	42	-0.43013469401807825	0.45181
ACP5	78	31	-2.826888443727578	0.25259
ACP6	78	32	-3.0401297762954784	0.23653
ACPP	78	35	3.723782944452677	0.82352
ACR	78	55	3.12749315302689	0.8329
ACRV1	78	41	4.330499226703058	0.87784
ACSBG1	78	39	-4.8953950180548675	0.1001
ACSBG2	78	50	-3.155092704114672	0.1727
ACSF2	78	24	2.0735515129014535	0.66684
ACSL1	78	26	-15.029138013943687	0.00169
ACSL3	78	37	-5.185111066298191	0.0933
ACSL4	78	53	-7.935237486807746	0.00784
ACSL5	78	38	-2.308922299398676	0.27296
ACSL6	78	47	-0.08372402013531774	0.49059
ACSM1	78	39	4.01122985553391	0.85247
ACSM3	78	37	2.232347057099359	0.71456
ACSM5	78	34	1.6169065686451354	0.65496
ACSS3	78	39	8.439861454823179	0.98482
ACTA1	78	44	1.5298287121827865	0.66351
ACTA2	78	30	3.938553834960518	0.81788
ACTB	78	33	5.537434195109309	0.90775
ACTC1	78	41	0.3180418903365707	0.53503
