	#_of_exp (A375)	#_of_exp(fc<0) (A375)	Essentiality Score (ES) (A375)	empirical_pVal (A375)	#_of_exp (A549)	#_of_exp(fc<0) (A549)	Essentiality Score (ES) (A549)	empirical_pVal (A549)	#_of_exp (BT20)	#_of_exp(fc<0) (BT20)	Essentiality Score (ES) (BT20)	empirical_pVal (BT20)	#_of_exp (LNCAP)	#_of_exp(fc<0) (LNCAP)	Essentiality Score (ES) (LNCAP)	empirical_pVal (LNCAP)	#_of_exp (MCF7)	#_of_exp(fc<0) (MCF7)	Essentiality Score (ES) (MCF7)	empirical_pVal (MCF7)	#_of_exp (MDAMB231)	#_of_exp(fc<0) (MDAMB231)	Essentiality Score (ES) (MDAMB231)	empirical_pVal (MDAMB231)	#_of_exp (PC3)	#_of_exp(fc<0) (PC3)	Essentiality Score (ES) (PC3)	empirical_pVal (PC3)
A1CF	90	48	8.203	0.97494	138	65	3.265	0.82443	96	39	-2.817	0.19306	101	42	-1.024	0.31757	174	106	0.891	0.73854	96	54	-0.379	0.4485	78	32	-2.756	0.25755
A2M	90	45	-0.679	0.43807	138	64	1.273	0.6429	96	36	1.753	0.70133	101	44	-1.189	0.28417	174	94	-0.307	0.41767	96	36	-0.066	0.49059	78	42	-0.036	0.49317
A4GALT	90	34	-5.794	0.11985	138	52	0.238	0.52416	96	37	1.985	0.72549	101	30	0.655	0.60425	174	70	-1.433	0.20081	96	53	-0.204	0.47345	78	23	4.107	0.799
A4GNT	90	37	3.689	0.78472	138	67	-0.46	0.44748	96	62	-4.191	0.05395	101	44	3.62	0.95377	174	98	-0.086	0.47595	96	55	-0.171	0.47603	78	61	-2.606	0.19587
AAAS	90	43	-15.376	0.00042	138	81	-9.372	0.00162	96	48	-2.188	0.22793	101	67	-2.203	0.10219	174	87	-2.606	0.04632	96	49	-2.766	0.18204	78	44	-10.887	0.00149
AACS	90	53	-16.571	3e-05	138	59	-3.263	0.18808	96	55	-15.88	1e-05	101	53	-7.68	0.00021	174	91	-8.077	1e-05	96	51	-0.745	0.40206	78	36	-19.069	1e-05
AADAC	90	51	-5.706	0.07819	138	65	-3.062	0.19148	96	32	-0.329	0.46254	101	39	-1.669	0.22673	174	68	2.216	0.89446	96	48	-0.73	0.40692	78	37	-0.481	0.44808
AAGAB	90	56	-17.646	2e-05	138	70	-8.897	0.0048	96	56	-9.868	0.00021	101	76	-6.348	9e-05	174	78	-6.591	6e-05	96	59	-8.467	0.00138	78	31	-6.882	0.0557
AAK1	90	46	-4.136	0.16636	138	57	3.439	0.82385	96	22	0.669	0.56413	101	41	0.5	0.58859	174	96	-0.743	0.30715	96	33	-1.071	0.38655	78	34	-4.613	0.13169
AAMP	90	34	-2.79	0.28607	138	63	-5.806	0.05139	96	52	-1.566	0.28694	101	44	-2.581	0.11317	174	83	-2.113	0.09207	96	42	0.446	0.55283	78	36	2.215	0.71151
