	empirical_pVal (A375)	empirical_pVal (A549)	empirical_pVal (BT20)	empirical_pVal (LNCAP)	empirical_pVal (MCF7)	empirical_pVal (MDAMB231)	empirical_pVal (PC3)	Ave_pVal
POP1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
FTSJ2	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
SYNCRIP	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
E2F1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
SFPQ	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
BRCA1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
DTYMK	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
DTL	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
RFC2	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
DSN1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
UNG	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
DSCC1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
UMPS	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
RFC3	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
RFC4	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
GEMIN2	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
SNRPD1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
NCBP1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
DONSON	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
RFWD3	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
UCHL5	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
PAICS	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
TBCCD1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
UBE2N	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
FEN1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
TIMELESS	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
MIS18A	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
NXT1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
SEPHS1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
ERCC6L	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
CHEK2	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
CHAF1B	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
CHAF1A	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
EXO1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
PTGES3	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
POLR3K	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
EXOSC2	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
EXOSC9	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
EIF4E	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
RAD51	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
TMEM48	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
FANCA	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
MLF1IP	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
MYBL2	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
FANCC	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
SETD8	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
EEF1E1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
EED	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
PSMC3IP	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
RBL1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
TAF1A	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
MYO19	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
RNASEH2A	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
POLE3	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
GINS2	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
TRA2B	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
ANAPC10	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
SKP2	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
TRIP13	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
MAK16	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
HSPA14	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
LSM6	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
TMEM109	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
CTPS	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
CD3EAP	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
HEATR3	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
LMNB2	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
PKMYT1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
BLM	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
RPP30	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
CSE1L	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
POLR2D	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
RQCD1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
COX4NB	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
PPAT	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
HNRNPAB	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
