	#_of_exp	#_of_exp(fc<0)	EG_score	empirical_pVal
AARS	90	57	-7.913952111583497	0.01929
ABCB6	90	39	-14.669265992259495	0.00117
ABCC5	90	59	-15.396326055984659	4e-05
ABCF1	90	43	-10.908212054490042	0.0075
ABCF3	90	54	-9.385230032248792	0.00891
ABHD4	90	46	-4.311217863388137	0.15377
ABHD6	90	49	0.7503978456483393	0.57462
ABL1	90	57	-5.132599668403265	0.0872
ACAA1	90	32	1.0003703637263641	0.57996
ACAT2	90	42	-15.675811394442519	0.00031
ACBD3	90	40	1.5385788444255968	0.63374
ACD	90	52	0.11575358738050327	0.51145
ACLY	90	63	-11.432782703656635	0.00087
ACOT9	90	37	-10.189273182431995	0.01781
ADAM10	90	56	-14.451814799893237	0.0001
ADAT1	90	51	-2.9815672056761766	0.22809
ADCK3	90	51	-11.646713993185513	0.00239
ADH5	90	36	-1.334125129758015	0.39076
ADI1	90	50	-10.386050110561122	0.00589
ADO	90	59	-10.975340391302272	0.0018
ADRB2	90	56	-8.052172813410959	0.01727
AGL	90	52	-4.0262818400525795	0.15538
AKAP8	90	54	-15.828700324396193	5e-05
AKAP8L	90	45	2.57620523756115	0.72522
AKR7A2	90	34	13.31945232201509	0.99515
AKT1	90	57	-7.85672304461886	0.02004
ALAS1	90	37	4.602175708168251	0.83731
ALDH7A1	90	40	-5.472874302117711	0.11304
ALDOA	90	33	-6.717362982886046	0.09122
ALDOC	90	54	-18.521952867379603	2e-05
AMDHD2	90	42	-2.795695969862373	0.2645
ANKRD10	90	41	-3.371172331599054	0.2235
ANO10	90	62	-2.478667064654953	0.24737
ANXA7	90	51	-13.839064165914614	0.00055
APBB2	90	56	-1.3692383752340707	0.36109
APOE	90	50	-5.322897166472766	0.09446
APP	90	41	-2.6410758958304323	0.27557
APPBP2	90	42	-6.475684995977353	0.07328
ARFIP2	90	26	-3.3815150523691924	0.27438
ARHGAP1	90	43	-4.177429308407124	0.16977
ARHGEF12	90	48	5.757367353007687	0.91974
ARHGEF2	90	37	-18.270847863755723	0.00019
ARID4B	90	45	0.2982804292191264	0.52609
ARID5B	90	52	1.9518319492753595	0.68944
ARL4C	90	35	-0.27692298443810526	0.4771
ARNT2	90	30	5.421391887524576	0.85031
ARPP19	90	51	-17.5285802446705	2e-05
ASAH1	90	31	-5.75259352487957	0.13278
ASCC3	90	54	-19.894657566481875	2e-05
ATF1	90	56	-16.7550845268584	1e-05
ATF5	90	56	-5.681977106115306	0.06812
ATF6	90	40	-8.799813760653334	0.02708
ATG3	90	49	-4.230726968155876	0.15333
ATMIN	90	52	-10.836392911338395	0.00382
ATP11B	90	41	-1.498557109653987	0.36463
ATP1B1	90	50	-12.510206527363128	0.00123
ATP2C1	90	41	-0.7479456649075538	0.43056
ATP5S	90	42	-3.750004381333704	0.19922
ATP6V0B	90	48	-32.78355768103129	1e-05
ATP6V1D	90	38	-5.772536768044046	0.10795
AURKA	90	60	-18.538565908056917	1e-05
AURKB	90	63	-19.464348861518573	1e-05
AXIN1	90	59	-8.17513117530451	0.01474
B3GNT1	90	49	-9.268096374367465	0.01275
BACE2	90	36	-7.033971666226327	0.07305
BAD	90	39	6.885503233074556	0.93139
BAG3	90	43	-27.83310823273047	1e-05
BAMBI	90	31	-13.376789069145646	0.00673
BAX	90	42	-2.887467013677617	0.25745
BCL2	90	56	-10.4000451762756	0.00394
BCL7B	90	54	-15.37253308321698	7e-05
BDH1	90	54	-8.094793337637329	0.02022
BECN1	90	37	0.05725258790032802	0.50771
BHLHE40	90	54	-7.824452294860006	0.02373
BID	90	48	4.308089668767974	0.85324
BIRC2	90	48	-18.766377904888326	3e-05
BIRC5	90	60	-27.435637411524212	1e-05
BLCAP	90	33	-5.451699224623257	0.13821
BLMH	90	54	-10.19379876931777	0.00514
BLVRA	90	47	-1.9859131463263437	0.31556
BMP4	90	50	-0.7776476050078461	0.42332
BNIP3	90	61	-22.897454530781765	1e-05
BNIP3L	90	56	-3.0398453212567054	0.21409
BPHL	90	43	0.9585990079817274	0.5878
BRCA1	90	60	-24.64765450010224	1e-05
BRP44	90	45	-9.463676397112554	0.01453
BTK	90	60	-10.927282188738106	0.00178
BUB1B	90	57	-10.366031330215382	0.00336
BZW2	90	41	3.2545567993129656	0.76506
C2CD2	90	41	-9.157765725769632	0.02169
C2CD2L	90	47	-12.014283268541508	0.00303
C5	90	53	-0.3731971894898477	0.46353
CAB39	90	59	-21.383721942294322	1e-05
CALM3	90	61	1.387869257893162	0.64659
CALU	90	34	1.6589732970278204	0.63303
CAMSAP2	90	38	3.1886365473598555	0.75332
CANT1	90	55	-6.920116303260125	0.03714
CAPN1	90	43	-8.049986734859829	0.03438
CASC3	90	43	0.44312557958402393	0.54121
CASK	90	55	-15.78607427789637	6e-05
CASP10	90	44	5.392497208458838	0.89433
CASP2	90	62	-19.017155093328505	1e-05
CASP3	90	56	-15.095635496788692	5e-05
CASP7	90	54	-12.514370807138455	0.00077
CAST	90	33	-0.4818222172795315	0.46255
CAT	90	45	-3.6576575930015887	0.19402
CBLB	90	37	-4.083343235723234	0.19492
CBR1	90	52	-18.261795969370088	1e-05
CBR3	90	51	-11.829206446479517	0.00217
CCDC85B	90	39	0.6829674401026958	0.55941
CCDC86	90	44	-14.467044368767827	0.00079
CCDC90A	90	61	-9.24209292813764	0.00609
CCDC92	90	38	-1.4783745382043583	0.37215
CCL2	90	52	-7.202286205174986	0.0367
CCNA1	90	62	-6.363946439253106	0.0401
CCNA2	90	60	-26.24166024196024	1e-05
CCNB1	90	46	-20.351872515315854	1e-05
CCNB2	90	43	-14.559054353150437	0.00065
CCND1	90	51	-9.109907142149721	0.01279
CCND3	90	60	-25.92780392702486	1e-05
CCNE2	90	62	-19.3594334795906	1e-05
CCNF	90	63	-24.231284233253398	1e-05
CCNH	90	38	2.9805007632852734	0.73915
CCP110	90	45	-12.881547517240442	0.00184
CD320	90	60	-10.034222666875552	0.00346
CD40	90	39	1.6262718717208196	0.63895
CD44	90	32	-1.5550291781575503	0.37908
CD58	90	39	-9.198792521272473	0.02465
CD97	90	36	-3.8014775889053807	0.21362
CDC20	90	52	-17.779903022549615	1e-05
CDC25A	90	54	-30.310883033498133	1e-05
CDC25B	90	47	-11.055488575362158	0.00546
CDC42	90	53	-8.55834990063427	0.01575
CDC45	90	62	-12.89844954790835	0.00023
CDCA4	90	63	-10.838594156320335	0.00143
CDH3	90	59	-6.129960007666566	0.0513
CDK1	90	63	-23.608584184627247	1e-05
CDK19	90	37	-3.575616570935375	0.22533
CDK2	90	48	-17.63847812189854	3e-05
CDK4	90	41	-16.854077460307018	0.00012
