	#_of_exp	#_of_exp(fc<0)	EG_score	empirical_pVal
AARS	96	37	-3.221512337605887	0.16593
ABCB6	96	39	-16.737338899818123	1e-05
ABCC5	96	35	-4.129034653382457	0.11724
ABCF1	96	51	-0.6622346252324883	0.40629
ABCF3	96	39	0.5272558403315177	0.56507
ABHD4	96	17	-0.8733165542336941	0.42489
ABHD6	96	48	-4.820994597818129	0.05289
ABL1	96	52	-1.186494079244868	0.33645
ACAA1	96	42	-12.484678314026793	0.00012
ACAT2	96	55	-7.960671308926469	0.00254
ACBD3	96	49	-3.5803229317315672	0.11021
ACD	96	75	-10.885145787698082	1e-05
ACLY	96	66	-13.272974075936064	1e-05
ACOT9	96	67	-12.894311845893856	1e-05
ADAM10	96	41	0.029868587840390405	0.50315
ADAT1	96	62	0.16304918000223562	0.52509
ADCK3	96	70	0.006982094635563608	0.5004
ADH5	96	44	2.3111565534707377	0.7744
ADI1	96	43	-2.0937028690594537	0.2485
ADO	96	70	-8.804288176225562	0.00018
ADRB2	96	68	-4.377291222002673	0.03906
AGL	96	54	-1.9372705195676179	0.24163
AKAP8	96	58	-5.436601206776254	0.02181
AKAP8L	96	52	2.6826361323693932	0.82901
AKR7A2	96	35	5.386280738251592	0.93708
AKT1	96	59	-8.540766969973657	0.00087
ALAS1	96	31	2.0415623168127084	0.71561
ALDH7A1	96	59	1.7322926998178367	0.74372
ALDOA	96	60	-12.926753761424846	1e-05
ALDOC	96	56	-14.906975179299547	1e-05
AMDHD2	96	43	0.29355579824244027	0.53808
ANKRD10	96	21	3.5697180099926453	0.79178
ANO10	96	53	-6.759701354876272	0.00903
ANXA7	96	34	-10.018127737810604	0.00371
APBB2	96	54	3.7938126658081237	0.91445
APOE	96	48	-0.7435092611664044	0.39971
APP	96	38	2.338610734053343	0.75972
APPBP2	96	31	-4.624791794937742	0.10482
ARFIP2	96	50	-10.584255769779089	0.00024
ARHGAP1	96	47	2.569220665081091	0.80524
ARHGEF12	96	27	-4.275665062319885	0.13924
ARHGEF2	96	44	1.5579454743031491	0.69385
ARID4B	96	30	-2.8711841483124148	0.21936
ARID5B	96	41	-1.9760952168462211	0.26771
ARL4C	96	52	-2.3827768028043277	0.20042
ARNT2	96	37	1.9233930122455747	0.72103
ARPP19	96	37	-2.9557573534066828	0.18605
ASAH1	96	28	1.8151087845772818	0.68143
ASCC3	96	54	-12.315039614298568	2e-05
ATF1	96	64	-5.2633958078539695	0.01989
ATF5	96	50	-11.664373467588625	9e-05
ATF6	96	37	-0.5031471518924694	0.44075
ATG3	96	64	-12.35740292218274	1e-05
ATMIN	96	38	-2.080967460411141	0.26453
ATP11B	96	30	2.1022236729060597	0.71592
ATP1B1	96	40	-15.291253701848001	2e-05
ATP2C1	96	63	-12.51119068179203	1e-05
ATP5S	96	48	-4.318879903181873	0.07255
ATP6V0B	96	63	-3.6689862035253262	0.07565
ATP6V1D	96	29	-9.421164263127974	0.00989
AURKA	96	73	-7.195200903895672	0.00138
AURKB	96	69	-2.7007722786737673	0.13416
AXIN1	96	63	-2.1077365528066494	0.20489
B3GNT1	96	48	-7.993726662745345	0.00441
BACE2	96	43	0.9319971833594394	0.61974
BAD	96	48	0.48448697475162067	0.56391
BAG3	96	38	-0.34506453462498166	0.4576
BAMBI	96	53	-16.25909311181954	1e-05
BAX	96	44	1.9394907242015287	0.7367
BCL2	96	72	-0.019811530160539735	0.49593
BCL7B	96	75	-5.845701783369764	0.00637
BDH1	96	58	-7.1339653637738625	0.00439
BECN1	96	31	0.6366599484246218	0.57308
BHLHE40	96	58	-3.696312288243086	0.08281
BID	96	37	-9.290372852640994	0.00409
BIRC2	96	44	-0.2400308160183736	0.46694
BIRC5	96	63	-4.581475498432379	0.03676
BLCAP	96	39	-7.329998710644851	0.0146
BLMH	96	60	2.3805274884914938	0.81865
BLVRA	96	51	-6.070902362302658	0.01825
BMP4	96	37	-0.8743400156082947	0.39685
BNIP3	96	56	-16.121790294981484	1e-05
BNIP3L	96	47	-9.336147133238342	0.00119
BPHL	96	39	2.5533531882654112	0.78365
BRCA1	96	69	-12.192158942507856	1e-05
BRP44	96	52	-3.736642758415778	0.09399
BTK	96	52	0.10424236519550359	0.51479
BUB1B	96	43	1.897627189335308	0.72996
BZW2	96	69	-12.356254286656515	1e-05
C2CD2	96	50	-6.381822694532712	0.01528
C2CD2L	96	50	-0.2627206293829504	0.46279
C5	96	38	0.7118263955610983	0.58636
CAB39	96	55	0.4388496280106633	0.56087
CALM3	96	57	-1.7665827733372776	0.25822
CALU	96	67	-15.803377843753683	1e-05
CAMSAP2	96	40	1.773310225142188	0.70942
CANT1	96	35	-7.353371398623237	0.0199
CAPN1	96	39	-5.167662590576097	0.05854
CASC3	96	39	-6.369969817892947	0.02843
CASK	96	51	-17.537222509608696	1e-05
CASP10	96	43	1.5613977626896371	0.69347
CASP2	96	70	-6.968427243146348	0.00204
CASP3	96	33	0.7465236386739468	0.58286
CASP7	96	51	-12.14174441963155	3e-05
CAST	96	22	-0.56072840191925	0.44898
CAT	96	25	-2.6281340186731215	0.25903
CBLB	96	30	-0.8004761411340762	0.41232
CBR1	96	46	-12.951202730105178	2e-05
CBR3	96	59	-6.620596884728274	0.00682
CCDC85B	96	62	-5.535711439635419	0.01674
CCDC86	96	49	-4.998178769281973	0.04485
CCDC90A	96	59	-9.275889642887353	0.00038
CCDC92	96	51	-2.720983704952221	0.16895
CCL2	96	47	1.5851640600497579	0.70258
CCNA1	96	59	-0.8701852933853402	0.37166
CCNA2	96	53	-1.460530368211531	0.30126
CCNB1	96	36	1.1678585067547638	0.6346
CCNB2	96	29	-2.1912786487741465	0.28009
CCND1	96	74	-10.093433585489798	1e-05
CCND3	96	51	-12.989204543342026	2e-05
CCNE2	96	66	-3.7420022697476694	0.06659
CCNF	96	70	-5.666080662864194	0.0101
CCNH	96	50	-0.41836383393623666	0.44147
CCP110	96	68	-4.41125566972453	0.03781
CD320	96	71	-6.388148236098716	0.00424
CD40	96	46	2.2321925443650676	0.77211
CD44	96	44	1.3621380508185266	0.67098
CD58	96	53	-6.002898464937167	0.01779
CD97	96	63	-2.2533472571082784	0.18924
CDC20	96	55	-2.234135889688962	0.20559
CDC25A	96	68	-14.239537407032296	1e-05
CDC25B	96	49	4.170465351706	0.92321
CDC42	96	61	-6.897431934811054	0.00471
CDC45	96	64	-11.743337058569965	2e-05
CDCA4	96	71	-11.198607015864846	1e-05
CDH3	96	37	5.908549819330139	0.95806
CDK1	96	64	-4.582763051690775	0.03556
CDK19	96	25	0.7384713906914151	0.57599
CDK2	96	56	-7.804420831304546	0.00254
CDK4	96	72	-15.01519869625983	1e-05
CDK5R1	96	69	-10.575385661333312	2e-05
CDK6	96	54	-1.4167080267754577	0.30334
CDK7	96	38	0.05550275469501264	0.50623
CDKN1A	96	48	-0.09725990776566133	0.48563
CDKN1B	96	27	-1.2846312258825123	0.37144
CDKN2A	96	41	0.6501473299358659	0.58207
CEBPA	96	46	-6.072240307450274	0.02361
CEBPD	96	29	-0.7060331285961944	0.4258
CEBPZ	96	68	-12.203436675803378	1e-05
CENPE	96	61	-0.07891002971739419	0.48758
CEP57	96	42	2.7402610633255153	0.8088
CERK	96	36	0.11823991027294624	0.51257
CETN3	96	52	-5.5248416426405464	0.02656
CFLAR	96	35	-0.9058859913138492	0.39693
CGRRF1	96	59	-4.6255169967315055	0.04083
CHAC1	96	45	0.44636318413412407	0.56155
CHEK1	96	63	-6.070188334528122	0.00918
CHEK2	96	62	-17.62491154159082	1e-05
CHERP	96	56	-2.4759757776222546	0.18099
CHIC2	96	42	-3.707991932527724	0.12051
CHMP4A	96	43	-0.7136941147560886	0.40936
CHMP6	96	73	-8.453283832402581	0.00025
CHN1	96	37	-0.4284436725334753	0.44975
CHP	96	45	2.4216601478085304	0.78983
CIAPIN1	96	63	-4.774112366001375	0.0317
CIRBP	96	40	-0.27686612174140707	0.46733
CISD1	96	48	2.6078803871969782	0.81304
CLIC4	96	34	-2.264162604709674	0.25644
CLPX	96	33	1.0436117828078033	0.61599
CLSTN1	96	25	-0.8280451677438616	0.41928
CLTB	96	46	-0.24981245014073983	0.46543
CLTC	96	47	-7.954479803732057	0.0046
CNDP2	96	43	2.9015966255118153	0.8249
CNOT4	96	55	-4.132133345453802	0.06697
CNPY3	96	59	2.9374114968244376	0.86855
COASY	96	46	-12.307556852417411	5e-05
COG2	96	41	-0.6919901426250706	0.41327
COG4	96	26	-3.3771524849407446	0.19688
COG7	96	27	-0.06954509256680597	0.4944
COL1A1	96	38	-2.4091372270620037	0.23338
COL4A1	96	48	-2.4316731256455286	0.20591
COPB2	96	30	-12.593584774748269	0.00101
COPS7A	96	43	-1.2418004664260782	0.34492
CORO1A	96	49	1.03449642484286	0.63975
CPNE3	96	37	1.0112024534139943	0.62158
CPSF4	96	50	-0.1986861402040147	0.4713
CREB1	96	39	-3.9104298731044356	0.11542
CREG1	96	25	-0.8110384176055146	0.4209
CRELD2	96	51	0.6785968558920245	0.59322
CRK	96	32	-2.321255737743664	0.25422
CRKL	96	44	0.008571840593520048	0.49967
CRTAP	96	48	-0.9224536827380528	0.37639
CRYZ	96	47	0.15659615472597305	0.52234
CSK	96	43	-1.88600925260558	0.27053
CSNK1A1	96	37	-8.053109145035084	0.01045
CSNK1E	96	51	-2.957827762816451	0.14844
CSNK2A2	96	37	-0.9481054289181091	0.38835
CSRP1	96	61	-9.297440811765407	0.00027
CTNNAL1	96	62	-5.843819441992988	0.01233
CTNND1	96	35	-0.16350139021177568	0.48336
CTSD	96	30	0.7518442261790517	0.58185
CTSL1	96	32	2.898686229876628	0.78968
CTTN	96	40	-5.421837052296982	0.04837
CXCL2	96	63	-8.924977212838991	0.00027
CXCR4	96	48	3.776184695022641	0.90023
CYB561	96	50	-11.012583718236327	0.00014
CYCS	96	63	-17.81100741526753	1e-05
CYTH1	96	49	1.0794200740237752	0.6452
DAG1	96	41	-14.74644765878289	1e-05
DAXX	96	43	2.0665925189951544	0.74794
DCK	96	55	-9.085670403857865	0.00072
DCTD	96	58	-10.90379336056696	9e-05
DCUN1D4	96	41	-1.4755818688211169	0.32269
DDB2	96	69	-4.960307825348826	0.02122
DDIT4	96	35	-13.644353347501543	0.00013
DDR1	96	25	-0.17997219866302416	0.48427
DDX10	96	49	-7.581943992812629	0.00553
DDX42	96	50	0.3387955175734653	0.54494
DECR1	96	28	-1.1247551975958874	0.37993
DENND2D	96	44	-1.8348287006376318	0.27371
DERA	96	29	-0.16611855899471492	0.48335
DFFA	96	59	-3.6734170035876508	0.08293
DFFB	96	41	-6.846547654215312	0.01857
DHDDS	96	61	0.2561530554189847	0.53872
DHRS7	96	48	-0.40194672807376036	0.44479
DHX29	96	60	-5.818077058497119	0.01322
DLD	96	45	-9.607438057984046	0.00148
DMTF1	96	50	3.208765417914509	0.86671
DNAJA3	96	31	-0.3852143069923521	0.45836
DNAJB1	96	48	-0.4667740661140782	0.43601
DNAJB2	96	28	-1.9101197493162299	0.30381
DNAJB6	96	47	0.5652151581503629	0.57575
DNAJC15	96	52	-0.43400751820690836	0.43742
DNM1	96	30	-7.154423862573954	0.03205
DNM1L	96	44	-20.528135979553557	1e-05
DNMT1	96	67	-9.41438408482004	0.00013
DNMT3A	96	40	0.4408185884907295	0.55599
DNTTIP2	96	37	-2.7377829400249243	0.20391
DPH2	96	61	-16.504696094871843	1e-05
DRAP1	96	69	-12.163171181140633	1e-05
DSG2	96	48	-5.082750662185418	0.04419
DUSP11	96	45	2.605836178141335	0.8066
DUSP14	96	66	-3.214332771854481	0.09893
DUSP22	96	33	-2.8868551007261907	0.20569
DUSP3	96	59	-3.7623109694569465	0.07791
DUSP4	96	52	-11.060701580033289	0.00012
DUSP6	96	40	-2.272876915561202	0.24004
DYNLT3	96	45	0.9247606652694671	0.62354
DYRK3	96	48	2.6182345453008593	0.81399
E2F2	96	65	1.544261277545813	0.72871
EAPP	96	60	0.4285578873727474	0.56644
EBNA1BP2	96	74	-16.900196909469	1e-05
EBP	96	71	-12.663230068358802	1e-05
ECD	96	58	-7.5857004457635835	0.00269
ECH1	96	29	0.2531695309931086	0.52718
EDEM1	96	30	-2.3722948094481553	0.25912
EDN1	96	41	0.7833332729973974	0.59814
EED	96	54	-16.337471133364573	1e-05
EGF	96	53	-3.2786287687198303	0.12112
EGFR	96	33	2.505293117566919	0.76094
EGR1	96	66	-8.752809217778502	0.00031
EIF4EBP1	96	51	-5.921628399981934	0.02048
EIF4G1	96	60	-9.482698944527792	0.00024
EIF5	96	59	-1.3686926244817623	0.30336
ELAC2	96	51	-8.37466017374581	0.00216
ELAVL1	96	69	-9.945982636932339	5e-05
ELOVL6	96	72	-12.4771754040606	1e-05
EML3	96	35	2.017711561006503	0.72251
ENOPH1	96	69	-7.018727502967039	0.00228
ENOSF1	96	52	-0.8146086097996289	0.38581
EPB41L2	96	47	1.8304165028813018	0.73065
EPHA3	96	56	0.5957392921511069	0.58787
EPHB2	96	62	-7.326401613909035	0.00271
EPN2	96	39	-0.8094176722646929	0.40169
EPRS	96	31	2.303918964397312	0.73946
ERBB2	96	29	-0.6957635437139172	0.42681
ERBB3	96	24	-1.893190184176415	0.32093
ERO1L	96	52	-3.8392761430370648	0.08824
ETFB	96	39	1.699406109796281	0.69974
ETS1	96	58	1.9237605498857056	0.76303
ETV1	96	57	-0.3049764756297615	0.45654
EVL	96	60	-8.11669276550075	0.00128
EXOSC4	96	52	-9.58720383257038	0.00053
EXT1	96	44	-1.0489841746547341	0.36551
EZH2	96	59	-9.093845772265313	0.00048
FAH	96	63	-15.736114646587854	1e-05
FAIM	96	68	0.3603497755492696	0.55598
FAM20B	96	60	-10.842629981180744	1e-05
FAM57A	96	72	-14.809070798570342	1e-05
FAM63A	96	29	1.5303779122438121	0.66047
FAM69A	96	30	3.4457012333994026	0.8205
FAS	96	64	-4.001653387646959	0.05648
FASTKD5	96	41	-2.924545534049414	0.1805
FAT1	96	67	-12.336961041876279	1e-05
FBXL12	96	57	-1.281300907953738	0.31797
FBXO11	96	73	-10.390236330340075	3e-05
FBXO21	96	47	0.0968652903627291	0.51442
FBXO7	96	42	-1.0828393665183083	0.36403
FCHO1	96	64	-5.909121228903066	0.01058
FDFT1	96	44	-9.36152270542299	0.00166
FEZ2	96	53	-5.692226985299984	0.02282
FGFR2	96	35	-0.5139842017636835	0.44232
FGFR4	96	61	-8.109992705906242	0.00112
FHL2	96	50	-2.1879118227778163	0.22257
FIS1	96	43	-2.736809481751644	0.18791
FKBP14	96	56	-12.038249303320184	1e-05
FKBP4	96	30	0.7843665786734564	0.58501
FOS	96	54	-0.7828180601266572	0.38827
FOSL1	96	72	-12.525021612909486	1e-05
FOXJ3	96	43	-5.796933866250108	0.03308
FOXO3	96	36	-1.0397300347267309	0.37717
FOXO4	96	24	-5.4492919307223575	0.09891
FPGS	96	42	-13.346152091260507	3e-05
FRS2	96	47	1.5627054816939077	0.69991
FSD1	96	57	-2.527109526417881	0.17528
FUT1	96	43	-0.38780421203529275	0.45045
FYN	96	73	-7.132589290343969	0.00156
FZD1	96	39	2.426850921386557	0.77184
FZD7	96	48	-1.7082136625623352	0.28122
G3BP1	96	67	-10.764629697360371	2e-05
GAA	96	23	0.9223758405623773	0.588
GABPB1	96	70	-10.330472263333068	5e-05
GADD45A	96	63	-4.4408908585993085	0.04117
GADD45B	96	40	-1.5118852725273189	0.31998
GALE	96	67	-13.343848900532306	1e-05
GAPDH	96	44	-2.995665873269191	0.16509
GATA2	96	44	6.483873519970069	0.98038
GATA3	96	48	-3.86825319115864	0.09595
GDPD5	96	34	-1.1224140059610188	0.37478
GFOD1	96	64	-9.36995901415282	0.00011
GFPT1	96	46	-12.856967394407652	3e-05
GHR	96	57	-2.105705832793084	0.21883
GLI2	96	64	1.870307730463095	0.76837
GLOD4	96	41	-0.09248997953166331	0.4883
GLRX	96	28	7.022373419866704	0.95936
GMNN	96	59	-3.502341035926057	0.09343
GNA11	96	61	-9.334696133617713	0.00025
GNA15	96	49	1.4656543922076049	0.69264
GNAI1	96	71	-0.32313708855589907	0.44724
GNAI2	96	54	-3.7721169697285206	0.08735
GNAS	96	19	5.218470947043048	0.86433
GNB5	96	53	-11.188061288152253	6e-05
GNPDA1	96	30	-0.30568378214132763	0.46742
GOLT1B	96	40	3.501932263070748	0.86169
GPATCH8	96	53	-2.5752822622675087	0.17865
GPC1	96	36	-3.174151587793011	0.17341
GPER	96	55	-1.6878443318712388	0.26793
GPR56	96	59	-3.0330606606761963	0.12569
GRB10	96	67	-6.206579549242281	0.00712
GRB7	96	37	0.857525019932028	0.60386
GRN	96	27	-1.4752863441779447	0.35273
GRWD1	96	47	-12.597533280073133	4e-05
GSTM2	96	59	2.238908653240743	0.80181
GSTZ1	96	34	2.2671160156344534	0.74473
GTF2A2	96	72	-9.679770382285719	2e-05
GTF2E2	96	56	-4.926313025457776	0.03721
GTPBP8	96	45	-5.0455560212762665	0.05006
H2AFV	96	42	-2.0666066977688775	0.2544
HADH	96	62	-8.797397071592378	0.00044
HAT1	96	57	-4.960009062899071	0.0348
HDAC2	96	67	-11.230547455154506	1e-05
HDAC6	96	35	-3.7421357921419145	0.14047
HDGFRP3	96	65	0.38322002160580304	0.55897
HEATR1	96	62	-0.43325050356815303	0.43216
HEBP1	96	57	-2.2947308397843633	0.19905
HERC6	96	39	-5.937366280798563	0.03704
HERPUD1	96	46	-4.581775997095458	0.06574
HES1	96	55	-4.433386035931217	0.0538
HIF1A	96	64	-13.49338830719506	1e-05
HIST1H2BK	96	30	1.4204264706757392	0.65033
HIST2H2BE	96	29	1.4966209890498667	0.65709
HK1	96	50	-10.969288090200125	0.00014
HLA-DMA	96	40	-7.402300510255832	0.01293
HLA-DRA	96	45	-7.840906114109758	0.0062
HMG20B	96	28	-6.158200659643598	0.05898
HMGA2	96	57	-0.12798342004368965	0.48275
HMGCR	96	41	1.4826506690466204	0.68018
