	#_of_exp	#_of_exp(fc<0)	EG_score	empirical_pVal
AARS	101	64	-5.362549612459258	0.00126
ABCB6	101	71	-5.41032240342485	0.0007
ABCC5	101	46	-1.2952049995057129	0.26611
ABCF1	101	54	-5.184827676472094	0.00456
ABCF3	101	59	-0.9169257229174991	0.3061
ABHD4	101	45	-4.266923179066218	0.02359
ABHD6	101	64	-5.484162841927244	0.00105
ABL1	101	48	-3.9485587185926883	0.02879
ACAA1	101	46	-0.34400917436801526	0.43261
ACAT2	101	47	-1.6009391976742913	0.21539
ACBD3	101	52	-4.495019630558241	0.01251
ACD	101	44	-0.41056507429319994	0.42342
ACLY	101	49	-8.352092357431241	7e-05
ACOT9	101	38	-2.4209568085759265	0.14493
ADAM10	101	61	-0.9003470632853613	0.30785
ADAT1	101	44	-8.248541437659812	0.00019
ADCK3	101	48	-1.1421257636645723	0.28498
ADH5	101	52	-0.7516791271576401	0.35305
ADI1	101	41	-3.047218775963013	0.08391
ADO	101	83	-3.827171274551109	0.00648
ADRB2	101	59	-2.6017358655962317	0.07751
AGL	101	64	-4.931672570476413	0.00282
AKAP8	101	59	-2.4031538506919157	0.09398
AKAP8L	101	50	0.4574476692081949	0.59224
AKR7A2	101	27	-4.162583555922327	0.06765
AKT1	101	55	-4.947001642956743	0.00566
ALAS1	101	32	0.22168416096475824	0.53383
ALDH7A1	101	59	-2.3069723745809254	0.10305
ALDOA	101	55	-1.9894268949007212	0.14712
ALDOC	101	39	-7.613656502031051	0.001
AMDHD2	101	40	-1.3351323011765708	0.27047
ANKRD10	101	58	-0.6639864219745526	0.35939
ANO10	101	68	-5.040318557926963	0.00199
ANXA7	101	49	-4.573934506340956	0.01338
APBB2	101	51	1.8069813225767497	0.82127
APOE	101	58	2.670353089907597	0.92475
APP	101	34	-0.2519629706318044	0.45892
APPBP2	101	29	-5.8110728140876065	0.01966
ARFIP2	101	58	-0.8372567469916407	0.32491
ARHGAP1	101	56	-4.39207947730221	0.01084
ARHGEF12	101	52	-3.8825789177244476	0.02615
ARHGEF2	101	60	-7.75859276416283	1e-05
ARID4B	101	30	-1.0621681735803226	0.33382
ARID5B	101	36	0.21552231469608524	0.53693
ARL4C	101	34	-2.385636153883287	0.16096
ARNT2	101	33	0.4921258693391602	0.58124
ARPP19	101	67	-5.903035049408414	0.00041
ASAH1	101	28	-0.6709248070366959	0.39599
ASCC3	101	77	-8.950338381708383	1e-05
ATF1	101	64	-7.040880050529289	7e-05
ATF5	101	72	-9.383444162985713	1e-05
ATF6	101	55	-5.699712383404831	0.00187
ATG3	101	61	-4.480678705821213	0.00764
ATMIN	101	39	-4.108228640022632	0.03741
ATP11B	101	37	-0.38365570598019766	0.43364
ATP1B1	101	80	-3.7619371888373325	0.00919
ATP2C1	101	30	-2.621578129797984	0.15394
ATP5S	101	39	-3.013164088186753	0.09191
ATP6V0B	101	54	-9.800516198050857	1e-05
ATP6V1D	101	23	2.8470214381356103	0.83622
AURKA	101	72	-7.9649830803727415	1e-05
AURKB	101	69	-5.9035993389930255	0.00031
AXIN1	101	60	-2.5272518652987714	0.08508
B3GNT1	101	55	-2.508211449182468	0.09275
BACE2	101	59	3.6610337501835235	0.97508
BAD	101	53	-3.184808663409517	0.05198
BAG3	101	59	-7.840302182786026	5e-05
BAMBI	101	48	-1.8946392591410566	0.17426
BAX	101	38	0.24885643688876025	0.54417
BCL2	101	69	-3.969026556386088	0.01011
BCL7B	101	78	-6.794150514373726	2e-05
BDH1	101	64	-7.072508597036159	6e-05
BECN1	101	58	-2.5084963497620145	0.08916
BHLHE40	101	71	-1.4788010099207718	0.18692
BID	101	51	2.2718062912592947	0.8762
BIRC2	101	62	-5.085833416175985	0.0026
BIRC5	101	73	-9.723930282589691	1e-05
BLCAP	101	44	-3.455094097456085	0.05504
BLMH	101	77	-5.609161367309156	0.00031
BLVRA	101	42	-4.162027690562443	0.0308
BMP4	101	45	1.1930822182934258	0.71871
BNIP3	101	36	-2.5993604144567297	0.13522
BNIP3L	101	26	-3.2644314964327528	0.1206
BPHL	101	44	0.44528150346823003	0.5864
BRCA1	101	75	-10.71496275132281	1e-05
BRP44	101	64	-6.902194749346322	8e-05
BTK	101	64	-3.3169560412760095	0.03112
BUB1B	101	72	-8.335862503494766	1e-05
BZW2	101	83	-5.143656116604809	0.00052
C2CD2	101	65	-2.263169791821372	0.09814
C2CD2L	101	73	-6.243701412451196	8e-05
C5	101	60	1.3729422364932269	0.77515
CAB39	101	43	-2.122609747115848	0.16006
CALM3	101	51	-4.977478425846966	0.00773
CALU	101	51	-9.363759799213526	1e-05
CAMSAP2	101	34	1.0117935633451522	0.6668
CANT1	101	44	-2.4592560712084146	0.12259
CAPN1	101	62	-1.6804194178014642	0.17254
CASC3	101	52	-2.8639309677527187	0.07376
CASK	101	56	-10.612672004139425	1e-05
CASP10	101	46	5.188258805420596	0.99092
CASP2	101	72	-8.400026425786281	1e-05
CASP3	101	58	-3.029978621473427	0.05255
CASP7	101	79	-8.372935405597655	1e-05
CAST	101	21	-2.0150009006018044	0.24971
CAT	101	36	-11.490569247869084	6e-05
CBLB	101	31	-3.0723563013942194	0.11546
CBR1	101	67	-7.401267580390827	2e-05
CBR3	101	59	-10.318185556477655	1e-05
CCDC85B	101	72	-4.812404099357273	0.00213
CCDC86	101	62	-4.0234775074783276	0.01288
CCDC90A	101	51	-1.9084454068436045	0.16831
CCDC92	101	56	-1.7337340111456394	0.17871
CCL2	101	50	0.25642532086469205	0.55125
CCNA1	101	74	3.4328257571925183	0.98134
CCNA2	101	80	-10.586332115856182	1e-05
CCNB1	101	57	-0.8644566099912421	0.31676
CCNB2	101	69	-7.534197196808782	2e-05
CCND1	101	70	-8.111723553695757	1e-05
CCND3	101	63	-12.161153282725486	1e-05
CCNE2	101	66	-8.035449810756571	1e-05
CCNF	101	63	-7.899385457518861	1e-05
CCNH	101	62	-10.37813571108495	1e-05
CCP110	101	76	-8.576793589016884	1e-05
CD320	101	31	-3.475148463917452	0.08994
CD40	101	42	1.4126327150518894	0.74529
CD44	101	31	0.5345584925545243	0.5852
CD58	101	50	-3.0208431466425574	0.06736
CD97	101	54	0.017014545386169425	0.50184
CDC20	101	68	-3.9417795782277203	0.01077
CDC25A	101	80	-10.702000485292738	1e-05
CDC25B	101	49	-3.56634375308572	0.04064
CDC42	101	66	-8.870387351472413	1e-05
CDC45	101	58	-11.463361885539438	1e-05
CDCA4	101	81	-10.11851734101752	1e-05
CDH3	101	43	-1.089043491650376	0.30218
CDK1	101	77	-11.294556607266832	1e-05
CDK19	101	63	-4.608371210198449	0.00578
CDK2	101	75	-10.445912231651347	1e-05
CDK4	101	73	-7.787321218870704	1e-05
CDK5R1	101	83	-1.4935509885862093	0.16702
CDK6	101	61	-2.514081581844142	0.08263
CDK7	101	41	-2.929516980359737	0.09216
CDKN1A	101	43	-14.485058058627994	1e-05
CDKN1B	101	24	-3.339350545112952	0.12238
CDKN2A	101	33	1.7349650041561613	0.76177
CEBPA	101	68	-3.885391554772293	0.01175
CEBPD	101	37	-1.5297945202107275	0.25157
CEBPZ	101	65	-3.3758260108917426	0.02851
CENPE	101	80	-7.3285373508336065	1e-05
CEP57	101	35	-1.1848893960291258	0.3038
CERK	101	39	-1.030626050524146	0.32134
CETN3	101	65	-11.8700199609659	1e-05
CFLAR	101	50	-5.400888070808444	0.00463
CGRRF1	101	56	-6.40077024582695	0.00063
CHAC1	101	59	-4.330171478241714	0.01045
CHEK1	101	74	-8.140197811399869	1e-05
CHEK2	101	62	-10.699389180496016	1e-05
CHERP	101	66	-3.513666397117895	0.0222
CHIC2	101	60	-0.2192026898741335	0.44917
CHMP4A	101	28	-2.1540109648912846	0.20517
CHMP6	101	75	-4.736144677712861	0.00197
CHN1	101	30	0.4914590707377326	0.57837
CHP	101	34	-0.4669085194045916	0.42298
CIAPIN1	101	58	-8.68936481948942	2e-05
CIRBP	101	28	-4.837283959105816	0.0415
CISD1	101	58	-9.580974841601002	1e-05
CLIC4	101	52	-13.152717852495432	1e-05
CLPX	101	56	-4.337804337762257	0.01174
CLSTN1	101	33	-4.161912594782987	0.05043
CLTB	101	34	-3.9103503315092087	0.05844
CLTC	101	52	-2.84677158953915	0.07496
CNDP2	101	20	3.1723026986973517	0.84369
CNOT4	101	60	-6.292616784298815	0.00045
CNPY3	101	48	-1.8586122006567225	0.17834
COASY	101	75	-7.4247567372301235	2e-05
COG2	101	61	-4.584144180841716	0.00659
COG4	101	45	-1.8289418737954752	0.19128
COG7	101	49	-2.6914070655598	0.09292
COL1A1	101	56	-2.4401568594619834	0.09834
COL4A1	101	33	-3.626409186674536	0.0744
COPB2	101	53	-3.903434254136596	0.02389
COPS7A	101	42	-5.708970235461592	0.00631
CORO1A	101	47	-0.014998829081063682	0.49624
CPNE3	101	43	-5.117613674365648	0.01135
CPSF4	101	63	-2.562463196156532	0.07448
CREB1	101	43	-3.017848686554568	0.08251
CREG1	101	24	-1.404368180800055	0.30469
CRELD2	101	65	-2.625511970359522	0.06732
CRK	101	44	-3.2121356328454627	0.06772
CRKL	101	50	-3.206428596902358	0.05645
CRTAP	101	61	-1.5805118538350929	0.19088
CRYZ	101	42	-8.275316567298583	0.00019
CSK	101	67	-3.2266746634101287	0.03105
CSNK1A1	101	48	-2.8509469731354358	0.08209
CSNK1E	101	64	-1.3411356625669266	0.22209
