	#_of_exp	#_of_exp(fc<0)	EG_score	empirical_pVal
AARS	96	51	-8.31904004652341	0.00371
ABCB6	96	29	1.065669823554698	0.60752
ABCC5	96	68	-3.7651908170969635	0.075
ABCF1	96	56	3.9872960750517312	0.91891
ABCF3	96	52	-7.083756236836112	0.00919
ABHD4	96	28	-0.033743736393575995	0.49616
ABHD6	96	57	-6.1313919400781165	0.01636
ABL1	96	45	-2.384860303722848	0.22536
ACAA1	96	34	2.3952127493342523	0.74167
ACAT2	96	51	-9.68355427358975	0.00104
ACBD3	96	47	2.273069380603931	0.76699
ACD	96	51	-4.461639986904771	0.07062
ACLY	96	51	-3.132011296005964	0.15005
ACOT9	96	33	-4.797419016995893	0.10141
ADAM10	96	35	-5.019939942883512	0.0864
ADAT1	96	65	-5.063701088219769	0.02853
ADCK3	96	71	-6.429257695647699	0.00601
ADH5	96	55	-5.554466455472174	0.02818
ADI1	96	53	-7.736167472125876	0.00492
ADO	96	73	-6.870204295625066	0.00309
ADRB2	96	79	-12.139612953835009	1e-05
AGL	96	53	0.6607718734957887	0.58768
AKAP8	96	52	-2.4313417816455494	0.20767
AKAP8L	96	65	0.23488194343361413	0.53685
AKR7A2	96	38	-0.9596702198797962	0.39098
AKT1	96	56	-3.01833472237299	0.14678
ALAS1	96	34	-2.1620023193745648	0.27666
ALDH7A1	96	48	-2.073832543954091	0.25158
ALDOA	96	40	-7.520547230299975	0.0151
ALDOC	96	33	-7.557426169892472	0.0253
AMDHD2	96	53	-0.18910485233712077	0.47182
ANKRD10	96	54	-2.7539072170379266	0.17161
ANO10	96	32	-2.404660246586943	0.25883
ANXA7	96	43	-1.209007295960138	0.35525
APBB2	96	35	0.2735916770382992	0.532
APOE	96	40	0.8971289472241252	0.60526
APP	96	32	-0.1871043522803709	0.47812
APPBP2	96	36	-5.389303324979156	0.06768
ARFIP2	96	33	-3.495279723250988	0.17367
ARHGAP1	96	30	0.26793543441936407	0.52906
ARHGEF12	96	61	-7.664239528850534	0.00278
ARHGEF2	96	58	-7.6127610682379405	0.00394
ARID4B	96	46	-3.8264429747987725	0.11305
ARID5B	96	38	0.22151178314292785	0.52785
ARL4C	96	30	-3.761341612722188	0.1663
ARNT2	96	34	2.341164261338182	0.73708
ARPP19	96	49	2.2614625025276824	0.76997
ASAH1	96	34	3.1982984138977293	0.80679
ASCC3	96	76	-8.382824828061489	0.00031
ATF1	96	68	-9.54279224556878	0.00016
ATF5	96	39	-8.05200364873492	0.01187
ATF6	96	47	-1.519500780079006	0.31243
ATG3	96	57	-7.082560887341016	0.00683
ATMIN	96	58	-6.370563199773409	0.01273
ATP11B	96	50	-0.19549508154924222	0.47191
ATP1B1	96	40	-0.8880562279208364	0.39404
ATP2C1	96	39	2.2740083839945644	0.74882
ATP5S	96	29	2.1866306824235697	0.71223
ATP6V0B	96	46	-7.512133824833512	0.01043
ATP6V1D	96	54	-3.286712212680227	0.12928
AURKA	96	68	-12.659671249966005	1e-05
AURKB	96	71	-14.671523316610111	1e-05
AXIN1	96	54	-0.0009761904817584973	0.50052
B3GNT1	96	40	-4.560424449951263	0.08925
BACE2	96	49	-0.906057895500204	0.38248
BAD	96	38	-2.5338350967779695	0.23358
BAG3	96	35	-1.6525645782647105	0.32377
BAMBI	96	21	-1.6776404233679982	0.35642
BAX	96	57	-0.42792772585993727	0.44087
BCL2	96	67	-6.828164381822375	0.00426
BCL7B	96	66	-12.171933577358736	2e-05
BDH1	96	69	-5.7373667281664975	0.01305
BECN1	96	52	-1.5893683433959094	0.29545
BHLHE40	96	49	0.374504648993265	0.54757
BID	96	43	0.13966923697556022	0.51692
BIRC2	96	50	-5.740672005901895	0.03036
BIRC5	96	72	-17.64091633806245	1e-05
BLCAP	96	37	-0.31642490926653094	0.46422
BLMH	96	63	-6.257136006810571	0.0108
BLVRA	96	36	0.43780924003521177	0.54843
BMP4	96	31	-8.588813139428314	0.01623
BNIP3	96	59	-10.285810290909792	0.00012
BNIP3L	96	46	2.15753174417983	0.75456
BPHL	96	41	-1.4852956990436865	0.32468
BRCA1	96	62	-14.18561858905	1e-05
BRP44	96	54	-4.018893940605115	0.08379
