	#_of_exp	#_of_exp(fc<0)	EG_score	empirical_pVal
AARS	78	45	-16.70815108955381	1e-05
ABCB6	78	42	-11.848290721185775	0.00082
ABCC5	78	50	-6.826659116187072	0.0212
ABCF1	78	53	-8.52901999039027	0.00469
ABCF3	78	22	0.9768992990391211	0.57927
ABHD4	78	27	-3.8208529014704187	0.19997
ABHD6	78	51	0.14685180882970025	0.51753
ABL1	78	48	-7.4454419842419455	0.01561
ACAA1	78	20	-6.9775548631475885	0.09908
ACAT2	78	33	-11.870427160999341	0.00341
ACBD3	78	24	-0.3370984542196078	0.47154
ACD	78	51	-5.464371420620509	0.05083
ACLY	78	35	-18.414858056781146	3e-05
ACOT9	78	25	1.5390789631333943	0.63135
ADAM10	78	42	0.39171445201626864	0.54188
ADAT1	78	64	-2.676106900229852	0.18463
ADCK3	78	25	1.783560953008762	0.6513
ADH5	78	37	-2.4178953798661387	0.26869
ADI1	78	30	-3.278321724848932	0.22307
ADO	78	37	3.818986430872806	0.83708
ADRB2	78	45	-8.996382127382338	0.00661
AGL	78	47	-9.44598829665428	0.00395
AKAP8	78	39	-11.150349540350271	0.00195
AKAP8L	78	19	-4.564341786242717	0.20172
AKR7A2	78	15	-14.170511431963957	0.01877
AKT1	78	42	-16.169688827271628	3e-05
ALAS1	78	48	4.212043625171865	0.89016
ALDH7A1	78	31	-13.746274631882002	0.00121
ALDOA	78	40	-10.855089536715278	0.00273
ALDOC	78	26	-29.97935793791929	1e-05
AMDHD2	78	42	1.6737812219885861	0.6752
ANKRD10	78	35	-18.23940473657789	3e-05
ANO10	78	28	0.7045833131589648	0.56242
ANXA7	78	41	-14.374783980780593	9e-05
APBB2	78	58	3.2152965172662475	0.84861
APOE	78	40	-1.7136271674163386	0.32407
APP	78	40	-1.3703704036053352	0.35739
APPBP2	78	33	2.4240913509414628	0.72511
ARFIP2	78	24	2.321475697664714	0.68681
ARHGAP1	78	42	3.6018975963985547	0.83795
ARHGEF12	78	31	0.5622119685487913	0.55347
ARHGEF2	78	34	-17.300826830799142	8e-05
ARID4B	78	25	-3.6353437030238718	0.22058
ARID5B	78	43	-0.42247236708950875	0.45453
ARL4C	78	56	-3.1742184178166477	0.1589
ARNT2	78	36	3.0290795236135537	0.77784
ARPP19	78	38	-6.693203372437837	0.04439
ASAH1	78	27	-2.1244910482903165	0.3185
ASCC3	78	37	-17.079762126836943	7e-05
ATF1	78	36	-5.530078914617127	0.08498
ATF5	78	44	-4.682552662448697	0.09558
ATF6	78	32	4.179284020635223	0.84043
ATG3	78	46	-13.574751064268705	7e-05
ATMIN	78	28	-5.019973956560419	0.13347
ATP11B	78	43	2.6037722034126474	0.7628
ATP1B1	78	25	0.08444867230110999	0.50929
ATP2C1	78	30	0.059796339917514534	0.5037
