	#_of_exp (A375)	#_of_exp(fc<0) (A375)	Essentiality Score (ES) (A375)	empirical_pVal (A375)	#_of_exp (A549)	#_of_exp(fc<0) (A549)	Essentiality Score (ES) (A549)	empirical_pVal (A549)	#_of_exp (BT20)	#_of_exp(fc<0) (BT20)	Essentiality Score (ES) (BT20)	empirical_pVal (BT20)	#_of_exp (LNCAP)	#_of_exp(fc<0) (LNCAP)	Essentiality Score (ES) (LNCAP)	empirical_pVal (LNCAP)	#_of_exp (MCF7)	#_of_exp(fc<0) (MCF7)	Essentiality Score (ES) (MCF7)	empirical_pVal (MCF7)	#_of_exp (MDAMB231)	#_of_exp(fc<0) (MDAMB231)	Essentiality Score (ES) (MDAMB231)	empirical_pVal (MDAMB231)	#_of_exp (PC3)	#_of_exp(fc<0) (PC3)	Essentiality Score (ES) (PC3)	empirical_pVal (PC3)
AARS	90	57	-7.914	0.01929	138	77	-21.418	1e-05	96	37	-3.222	0.16593	101	64	-5.363	0.00126	174	105	-6.727	1e-05	96	51	-8.319	0.00371	78	45	-16.708	1e-05
ABCB6	90	39	-14.669	0.00117	138	60	-12.523	0.00034	96	39	-16.737	1e-05	101	71	-5.41	0.0007	174	95	-9.616	1e-05	96	29	1.066	0.60752	78	42	-11.848	0.00082
ABCC5	90	59	-15.396	4e-05	138	97	0.944	0.63021	96	35	-4.129	0.11724	101	46	-1.295	0.26611	174	70	-2.518	0.07419	96	68	-3.765	0.075	78	50	-6.827	0.0212
ABCF1	90	43	-10.908	0.0075	138	63	8.588	0.99194	96	51	-0.662	0.40629	101	54	-5.185	0.00456	174	87	-4.228	0.00416	96	56	3.987	0.91891	78	53	-8.529	0.00469
ABCF3	90	54	-9.385	0.00891	138	66	-2.885	0.20193	96	39	0.527	0.56507	101	59	-0.917	0.3061	174	75	-7.028	7e-05	96	52	-7.084	0.00919	78	22	0.977	0.57927
ABHD4	90	46	-4.311	0.15377	138	53	-3.245	0.19936	96	17	-0.873	0.42489	101	45	-4.267	0.02359	174	77	-0.572	0.36256	96	28	-0.034	0.49616	78	27	-3.821	0.19997
ABHD6	90	49	0.75	0.57462	138	105	-12.738	1e-05	96	48	-4.821	0.05289	101	64	-5.484	0.00105	174	96	0.326	0.58679	96	57	-6.131	0.01636	78	51	0.147	0.51753
ABL1	90	57	-5.133	0.0872	138	50	-14.223	0.00033	96	52	-1.186	0.33645	101	48	-3.949	0.02879	174	65	-2.818	0.0585	96	45	-2.385	0.22536	78	48	-7.445	0.01561
ACAA1	90	32	1.0	0.57996	138	66	-1.874	0.29403	96	42	-12.485	0.00012	101	46	-0.344	0.43261	174	90	-5.435	0.00039	96	34	2.395	0.74167	78	20	-6.978	0.09908
ACAT2	90	42	-15.676	0.00031	138	63	-10.142	0.00265	96	55	-7.961	0.00254	101	47	-1.601	0.21539	174	98	-10.365	1e-05	96	51	-9.684	0.00104	78	33	-11.87	0.00341
ACBD3	90	40	1.539	0.63374	138	79	-2.949	0.17732	96	49	-3.58	0.11021	101	52	-4.495	0.01251	174	100	-4.284	0.00207	96	47	2.273	0.76699	78	24	-0.337	0.47154
ACD	90	52	0.116	0.51145	138	74	-1.821	0.28927	96	75	-10.885	1e-05	101	44	-0.411	0.42342	174	78	0.164	0.54118	96	51	-4.462	0.07062	78	51	-5.464	0.05083
ACLY	90	63	-11.433	0.00087	138	61	-1.333	0.35341	96	66	-13.273	1e-05	101	49	-8.352	7e-05	174	111	-6.921	1e-05	96	51	-3.132	0.15005	78	35	-18.415	3e-05
