	empirical_pVal (A375)	empirical_pVal (A549)	empirical_pVal (BT20)	empirical_pVal (LNCAP)	empirical_pVal (MCF7)	empirical_pVal (MDAMB231)	empirical_pVal (PC3)	Ave_pVal
CHEK2	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
PAICS	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
BRCA1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
RPA2	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
EED	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
TATDN2	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
LBR	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
TIMELESS	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
TMEM109	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
USP1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
MYBL2	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
MCM3	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
CDC25A	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05
SUV39H1	1e-05	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1.14285714286e-05
LSM6	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	1.14285714286e-05
RPA1	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	1.14285714286e-05
RFC2	1e-05	1e-05	3e-05	1e-05	1e-05	1e-05	1e-05	1.28571428571e-05
TBP	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	7e-05	1.85714285714e-05
ICMT	1e-05	1e-05	7e-05	1e-05	1e-05	1e-05	1e-05	1.85714285714e-05
RFC5	1e-05	1e-05	0.00011	1e-05	1e-05	1e-05	1e-05	2.42857142857e-05
POLE2	1e-05	1e-05	0.00016	1e-05	1e-05	1e-05	1e-05	3.14285714286e-05
GABPB1	1e-05	1e-05	5e-05	1e-05	1e-05	0.00012	1e-05	3.14285714286e-05
MELK	1e-05	1e-05	0.00016	1e-05	1e-05	1e-05	1e-05	3.14285714286e-05
MYCBP	7e-05	1e-05	2e-05	1e-05	1e-05	1e-05	0.00011	3.42857142857e-05
DNMT1	5e-05	2e-05	0.00013	1e-05	1e-05	1e-05	3e-05	3.71428571429e-05
RRS1	0.00014	1e-05	1e-05	2e-05	1e-05	8e-05	1e-05	4e-05
NUP88	1e-05	1e-05	1e-05	0.00022	1e-05	1e-05	1e-05	4e-05
CDC45	0.00023	1e-05	2e-05	1e-05	1e-05	1e-05	1e-05	4.28571428571e-05
RUVBL1	1e-05	1e-05	1e-05	1e-05	1e-05	0.00026	1e-05	4.57142857143e-05
MSH6	0.00025	1e-05	5e-05	1e-05	1e-05	1e-05	1e-05	5e-05
ASCC3	2e-05	1e-05	2e-05	1e-05	1e-05	0.00031	7e-05	6.42857142857e-05
TFDP1	1e-05	1e-05	1e-05	1e-05	1e-05	0.00041	1e-05	6.71428571429e-05
LIG1	1e-05	1e-05	0.00045	1e-05	1e-05	1e-05	1e-05	7.28571428571e-05
EZH2	1e-05	1e-05	0.00048	1e-05	1e-05	1e-05	1e-05	7.71428571429e-05
KCTD5	1e-05	1e-05	1e-05	0.00074	1e-05	2e-05	1e-05	0.000115714285714
EBP	1e-05	0.00075	1e-05	1e-05	1e-05	1e-05	2e-05	0.000117142857143
EBNA1BP2	0.00028	1e-05	1e-05	1e-05	1e-05	0.00078	1e-05	0.000158571428571
DCK	1e-05	1e-05	0.00072	1e-05	1e-05	2e-05	0.00037	0.000164285714286
USP7	1e-05	0.00052	0.00016	0.0003	1e-05	1e-05	0.00031	0.000188571428571
AURKA	1e-05	1e-05	0.00138	1e-05	1e-05	1e-05	1e-05	0.000205714285714
HPRT1	2e-05	2e-05	1e-05	0.00017	1e-05	1e-05	0.00126	0.000214285714286
CDCA4	0.00143	1e-05	1e-05	1e-05	1e-05	1e-05	2e-05	0.000214285714286
TMEM97	0.00154	1e-05	1e-05	1e-05	1e-05	1e-05	6e-05	0.000235714285714
PARP2	3e-05	1e-05	0.00055	0.00131	1e-05	1e-05	1e-05	0.000275714285714
PSMG1	0.0007	1e-05	1e-05	1e-05	1e-05	1e-05	0.00178	0.000361428571429
CDK2	3e-05	1e-05	0.00254	1e-05	1e-05	1e-05	1e-05	0.000374285714286
FBXO11	1e-05	0.00302	3e-05	4e-05	2e-05	9e-05	4e-05	0.000464285714286
CDK4	0.00012	1e-05	1e-05	1e-05	1e-05	0.00313	1e-05	0.000471428571429
HDAC2	1e-05	1e-05	1e-05	1e-05	1e-05	0.00337	1e-05	0.00049
SMC4	1e-05	1e-05	0.00342	1e-05	1e-05	1e-05	1e-05	0.000497142857143
KDELR2	1e-05	0.00337	2e-05	1e-05	1e-05	4e-05	0.00027	0.000532857142857
PNP	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	0.00428	0.00062
PHGDH	1e-05	1e-05	2e-05	1e-05	1e-05	0.00473	1e-05	0.000685714285714
RNPS1	4e-05	1e-05	1e-05	4e-05	0.00028	0.00108	0.00339	0.000692857142857
ELAVL1	1e-05	3e-05	5e-05	1e-05	0.00399	1e-05	0.00084	0.000705714285714
NUP62	1e-05	1e-05	0.00263	1e-05	1e-05	1e-05	0.00245	0.000732857142857
RRP8	3e-05	3e-05	1e-05	0.00025	1e-05	0.00643	1e-05	0.000967142857143
COASY	1e-05	1e-05	5e-05	2e-05	1e-05	0.00688	0.00012	0.00101428571429
CCND3	1e-05	1e-05	2e-05	1e-05	1e-05	1e-05	0.0072	0.00103857142857
BCL7B	7e-05	1e-05	0.00637	2e-05	6e-05	2e-05	0.00072	0.00103857142857
RPL39L	1e-05	1e-05	0.00605	0.00295	1e-05	1e-05	1e-05	0.00129285714286
CCNF	1e-05	1e-05	0.0101	1e-05	1e-05	1e-05	1e-05	0.00145142857143
RPA3	1e-05	1e-05	0.00555	1e-05	1e-05	0.00514	1e-05	0.00153428571429
MLEC	1e-05	3e-05	2e-05	3e-05	5e-05	0.01288	2e-05	0.00186285714286
DPH2	0.00019	1e-05	1e-05	1e-05	1e-05	0.01363	1e-05	0.00198142857143
TSEN2	1e-05	1e-05	3e-05	8e-05	0.01441	0.00083	0.00021	0.00222571428571
DAG1	5e-05	0.00019	1e-05	1e-05	1e-05	0.01568	0.0001	0.00229285714286
CASK	6e-05	0.00121	1e-05	1e-05	1e-05	0.01906	3e-05	0.00291285714286
PARP1	1e-05	1e-05	0.00015	8e-05	0.00812	0.01287	1e-05	0.00303571428571
RAE1	1e-05	1e-05	1e-05	1e-05	1e-05	0.00978	0.0118	0.00309
MAP3K4	0.00682	1e-05	0.0007	0.01586	1e-05	3e-05	0.00024	0.00338142857143
HSPD1	3e-05	0.02068	1e-05	1e-05	1e-05	0.00022	0.00401	0.00356714285714
SPTAN1	1e-05	0.00017	1e-05	0.0281	1e-05	1e-05	1e-05	0.00404571428571
SLC37A4	2e-05	0.02918	0.0006	1e-05	1e-05	1e-05	1e-05	0.00426285714286
NFKBIB	8e-05	0.01596	0.00166	9e-05	1e-05	0.01528	0.00037	0.00477857142857
HAT1	1e-05	1e-05	0.0348	1e-05	1e-05	0.00021	1e-05	0.00500857142857
CDK1	1e-05	1e-05	0.03556	1e-05	1e-05	1e-05	1e-05	0.00508857142857
BIRC5	1e-05	1e-05	0.03676	1e-05	1e-05	1e-05	1e-05	0.00526
G3BP1	0.02701	1e-05	2e-05	0.0006	1e-05	0.00752	0.00172	0.00527
CHMP6	6e-05	0.00239	0.00025	0.00197	1e-05	0.03249	1e-05	0.00531142857143
IDE	0.00031	0.03213	0.00433	0.00022	1e-05	0.00354	3e-05	0.00579571428571
DDB2	0.00329	0.00019	0.02122	1e-05	0.01751	6e-05	1e-05	0.00604142857143
ALDOC	2e-05	0.0163	1e-05	0.001	1e-05	0.0253	1e-05	0.00609285714286
CCP110	0.00184	1e-05	0.03781	1e-05	2e-05	1e-05	0.00435	0.00629285714286
PGRMC1	0.00014	0.01246	0.00371	3e-05	1e-05	0.00407	0.02387	0.00632714285714
MRPL12	1e-05	1e-05	1e-05	4e-05	1e-05	0.04454	2e-05	0.00637714285714
GRWD1	1e-05	1e-05	4e-05	3e-05	1e-05	0.0499	1e-05	0.00714428571429
CHEK1	1e-05	1e-05	0.00918	1e-05	0.04396	1e-05	1e-05	0.00759857142857
FKBP14	1e-05	1e-05	1e-05	1e-05	1e-05	0.05313	3e-05	0.00760142857143
GTF2A2	1e-05	0.0001	2e-05	7e-05	1e-05	0.05629	1e-05	0.00807285714286
CCNE2	1e-05	1e-05	0.06659	1e-05	1e-05	1e-05	1e-05	0.00952142857143
POLR2K	1e-05	1e-05	0.06605	1e-05	1e-05	0.00157	1e-05	0.00966714285714
PXMP2	1e-05	0.01028	0.00037	0.0504	1e-05	2e-05	0.00864	0.00996142857143
BDH1	0.02022	0.00012	0.00439	6e-05	1e-05	0.01305	0.03235	0.0100285714286
ELOVL6	1e-05	0.0757	1e-05	1e-05	1e-05	1e-05	0.00016	0.0108442857143
RFX5	0.0194	0.00366	0.00108	0.00022	0.05419	0.00407	0.0001	0.0118171428571
PSMD2	1e-05	0.02907	1e-05	0.0557	1e-05	0.00019	3e-05	0.0121457142857
DHX29	1e-05	0.00032	0.01322	0.00017	0.00035	0.07433	1e-05	0.01263
ATP6V0B	1e-05	1e-05	0.07565	1e-05	1e-05	0.01043	0.00522	0.0130485714286
GMNN	3e-05	1e-05	0.09343	1e-05	1e-05	3e-05	1e-05	0.0133614285714
ICAM3	0.08781	1e-05	1e-05	1e-05	1e-05	0.00264	0.00579	0.0137542857143
HK1	1e-05	0.00692	0.00014	0.00122	1e-05	0.08839	4e-05	0.0138185714286
MTHFD2	1e-05	1e-05	2e-05	1e-05	0.09991	1e-05	1e-05	0.0142828571429
CEBPZ	2e-05	0.07527	1e-05	0.02851	1e-05	1e-05	0.00035	0.0148828571429
FAS	0.00637	0.00319	0.05648	0.0137	0.01931	0.00525	0.00055	0.0149785714286
VAPB	0.00045	1e-05	1e-05	1e-05	0.10443	5e-05	3e-05	0.0149985714286
NUP93	1e-05	1e-05	1e-05	1e-05	1e-05	0.10532	1e-05	0.0150542857143
SLC1A4	0.00937	0.00091	1e-05	0.00029	0.06065	0.03421	1e-05	0.0150642857143
ATF1	1e-05	0.00085	0.01989	7e-05	1e-05	0.00016	0.08498	0.0151385714286
TBPL1	1e-05	1e-05	1e-05	0.1199	1e-05	0.00289	1e-05	0.0175485714286
XBP1	0.00015	0.02245	0.00424	1e-05	1e-05	0.09586	0.00369	0.0180585714286
FAM57A	2e-05	0.05196	1e-05	0.00888	1e-05	0.0135	0.05387	0.0183214285714
PSRC1	1e-05	1e-05	0.02331	0.08888	0.01761	0.00025	1e-05	0.0185828571429
WDR61	1e-05	0.00052	1e-05	0.00089	0.00125	0.12476	0.00506	0.0189285714286
EIF4EBP1	1e-05	1e-05	0.02048	1e-05	0.00103	1e-05	0.11278	0.01919
PLSCR1	1e-05	0.00201	0.04524	0.055	1e-05	7e-05	0.03473	0.0195814285714
UBE2C	1e-05	1e-05	0.13713	1e-05	1e-05	1e-05	1e-05	0.0195985714286
PIK3R4	1e-05	1e-05	0.00064	3e-05	0.08551	0.05192	3e-05	0.0197357142857
CTNNAL1	1e-05	2e-05	0.01233	0.0007	1e-05	0.1333	0.00062	0.0209985714286
RRP1B	1e-05	1e-05	1e-05	1e-05	1e-05	0.15962	3e-05	0.0228142857143
SDHB	1e-05	1e-05	4e-05	0.00058	1e-05	0.17997	1e-05	0.0258042857143
POP4	0.00295	1e-05	1e-05	1e-05	1e-05	0.18499	0.00014	0.0268742857143
MALT1	4e-05	1e-05	0.00448	1e-05	1e-05	0.18363	2e-05	0.0268857142857
AARS	0.01929	1e-05	0.16593	0.00126	1e-05	0.00371	1e-05	0.0271742857143
AURKB	1e-05	1e-05	0.13416	0.00031	0.06055	1e-05	1e-05	0.0278657142857
B3GNT1	0.01275	1e-05	0.00441	0.09275	1e-05	0.08925	9e-05	0.0284671428571
RPN1	1e-05	1e-05	1e-05	1e-05	1e-05	0.20704	0.00018	0.02961
CDK5R1	1e-05	1e-05	2e-05	0.16702	1e-05	0.04897	0.00068	0.03096
PGM1	0.00686	0.00725	1e-05	0.04244	0.02057	0.14092	5e-05	0.0311571428571
ACAT2	0.00031	0.00265	0.00254	0.21539	1e-05	0.00104	0.00341	0.0321928571429
VPS28	0.00272	0.01675	0.00013	0.02266	0.07253	0.08245	0.02827	0.0322157142857
MRPL19	0.00362	0.00953	5e-05	1e-05	1e-05	0.21445	0.00464	0.0331871428571
ATG3	0.15333	0.0679	1e-05	0.00764	2e-05	0.00683	7e-05	0.0336857142857
TCERG1	1e-05	1e-05	7e-05	0.00026	1e-05	0.24266	1e-05	0.0347185714286
CETN3	0.00073	1e-05	0.02656	1e-05	0.22515	0.00141	0.00103	0.0364142857143
ADRB2	0.01727	0.11171	0.03906	0.07751	0.00535	1e-05	0.00661	0.0367885714286
MAPKAPK5	0.00237	1e-05	0.07261	0.00014	0.00404	0.04083	0.15606	0.0394371428571
TMEM110	0.0182	0.00139	0.03718	3e-05	0.00208	0.19608	0.02267	0.0396614285714
PIK3R3	0.02573	0.01737	0.03539	1e-05	0.00393	0.19529	6e-05	0.0396828571429
EXOSC4	2e-05	0.00098	0.00053	0.04676	0.13052	0.09974	0.00232	0.0401242857143
MBNL1	1e-05	0.00242	0.00518	1e-05	5e-05	0.07629	0.21149	0.0422071428571
GNA11	0.00231	0.21044	0.00025	0.04088	1e-05	0.00778	0.03543	0.0424428571429
CCNA2	1e-05	1e-05	0.30126	1e-05	1e-05	1e-05	1e-05	0.0430457142857
SESN1	0.04137	0.00348	0.03674	0.00283	0.09093	0.03487	0.09468	0.0435571428571
HS2ST1	0.04466	0.00143	0.13921	0.10318	0.01689	0.0017	0.00098	0.0440071428571
CHERP	0.00027	1e-05	0.18099	0.0222	0.01023	0.01076	0.08455	0.0441442857143
NOLC1	1e-05	1e-05	1e-05	1e-05	1e-05	0.31647	1e-05	0.0452185714286
BRP44	0.01453	0.08336	0.09399	8e-05	1e-05	0.08379	0.04812	0.0462685714286
STAT3	0.03273	0.00583	0.00297	1e-05	5e-05	0.05004	0.24078	0.0474871428571
ITGAE	0.01932	0.06724	0.02473	1e-05	0.00075	0.12304	0.09762	0.04753
CIAPIN1	0.0001	0.00493	0.0317	2e-05	1e-05	0.29682	0.00053	0.04773
MPZL1	0.0001	0.24505	0.06568	0.00148	0.00013	0.02199	1e-05	0.0477771428571
ATF5	0.06812	0.14171	9e-05	1e-05	0.01854	0.01187	0.09558	0.0479885714286
PYCR1	0.00023	1e-05	1e-05	1e-05	1e-05	0.3327	0.00482	0.0482557142857
SCARB1	0.07716	0.07387	0.08813	0.00023	1e-05	0.10186	2e-05	0.0487542857143
NGRN	0.11878	9e-05	0.00012	0.07576	0.00044	0.1474	0.00026	0.0489785714286
BNIP3	1e-05	0.19683	1e-05	0.13522	0.0109	0.00012	0.00027	0.0490514285714
RAD9A	0.00261	1e-05	0.10367	0.00155	1e-05	1e-05	0.23644	0.0491857142857
UBR7	1e-05	1e-05	0.34316	0.0162	1e-05	1e-05	1e-05	0.0513442857143
PAK1	0.02012	0.00676	0.00361	0.08956	0.22706	0.0066	0.01199	0.0522428571429
PIP4K2B	0.02164	0.00287	0.12594	0.00292	0.00205	0.14892	0.06389	0.0526042857143
MIF	0.00045	0.00606	2e-05	1e-05	0.00066	0.3617	2e-05	0.0527028571429
FGFR4	0.07623	0.00024	0.00112	0.158	0.00024	0.13556	1e-05	0.0530571428571
CASP2	1e-05	1e-05	0.00204	1e-05	1e-05	1e-05	0.37246	0.0535071428571
ST7	1e-05	0.0001	0.00032	0.27413	1e-05	0.10032	1e-05	0.0535571428571
PRPF4	0.00077	1e-05	3e-05	0.20464	0.00026	2e-05	0.16979	0.0536457142857
CD58	0.02465	0.03057	0.01779	0.06736	1e-05	0.02447	0.21319	0.0540057142857
ANXA7	0.00055	0.00665	0.00371	0.01338	1e-05	0.35525	9e-05	0.0542342857143
PAK4	0.00176	0.00011	0.00725	0.00026	1e-05	0.00434	0.38497	0.0569571428571
PCM1	3e-05	0.00382	0.39627	0.00018	0.00028	1e-05	0.00258	0.0575957142857
NET1	2e-05	0.00178	0.04729	0.00048	0.10412	0.00384	0.25884	0.0594814285714
PRR7	0.38037	0.00032	2e-05	0.02384	0.01633	0.00018	3e-05	0.0601557142857
SKP1	0.02427	0.00077	0.0505	0.00348	1e-05	0.34878	0.00218	0.0614271428571
EPHB2	7e-05	0.26531	0.00271	0.00284	0.01163	0.00263	0.1459	0.0615842857143
C2CD2	0.02169	0.15393	0.01528	0.09814	0.00803	0.13669	0.00628	0.0628628571429
