	#_of_exp	#_of_exp(fc<0)	EG_score	empirical_pVal
A1CF	96	54	-0.3794671524512718	0.4485
A2M	96	36	-0.06561580664215695	0.49059
A4GALT	96	53	-0.20396774240111235	0.47345
A4GNT	96	55	-0.17096360906898012	0.47603
AAAS	96	49	-2.765555087867282	0.18204
AACS	96	51	-0.7448901832257635	0.40206
AADAC	96	48	-0.729822394670434	0.40692
AAGAB	96	59	-8.467128616269633	0.00138
AAK1	96	33	-1.0708762834105603	0.38655
AAMP	96	42	0.4458564890637244	0.55283
AANAT	96	59	-4.477596343899357	0.05332
AARS	96	51	-8.31904004652341	0.00354
AARSD1	96	60	-7.559175544549516	0.00343
AASDHPPT	96	56	-7.1193068174412275	0.00679
AASS	96	68	-7.428628814819477	0.0021
AATF	96	43	-4.738728590110722	0.07454
AATK	96	31	-3.3221410261929973	0.19366
ABAT	96	39	-5.9574340943669934	0.04441
ABCA1	96	37	-1.0770709511058094	0.37864
ABCA11P	96	65	-2.7956789169374194	0.14768
ABCA12	96	48	0.5882331681818312	0.57626
ABCA2	96	43	0.8641241213829648	0.60579
ABCA3	96	38	-0.13070873395513788	0.484
ABCA4	96	47	5.1744584965206055	0.95006
ABCA5	96	36	-1.5927362765459963	0.32284
ABCA6	96	34	4.035562148992458	0.8636
ABCA7	96	28	-0.22797219737207508	0.4756
ABCA8	96	34	3.050698541871733	0.79847
ABCB1	96	47	-4.985159414278686	0.0564
ABCB11	96	44	-3.859168472015906	0.11589
ABCB4	96	55	-5.065183402825371	0.04071
ABCB6	96	32	0.8399554952874381	0.5914
ABCB7	96	46	-0.7692515135630813	0.4027
ABCB8	96	44	-0.33558698867353476	0.45804
ABCB9	96	56	-2.638108143825306	0.17807
ABCC1	96	39	-1.443929806896814	0.33597
ABCC10	96	30	0.6975605207757618	0.57094
ABCC2	96	47	-2.711417710606591	0.19244
ABCC3	96	33	2.941017023153273	0.78746
ABCC4	96	29	-2.9424278632830103	0.2282
ABCC5	96	68	-3.7651908170969635	0.07358
ABCC6	96	47	2.266908406524009	0.76927
ABCC8	96	53	0.9954275021491964	0.63155
ABCC9	96	44	2.4300519941101095	0.77499
ABCD1	96	36	-1.8330844653408913	0.29918
ABCD2	96	68	-5.77431753442992	0.01385
ABCD3	96	55	-9.951464148537937	0.0004
ABCD4	96	33	-6.853638523554996	0.03657
ABCE1	96	66	-13.150177612359496	1e-05
ABCF1	96	56	3.9872960750517312	0.91672
ABCF2	96	71	-9.480510109267323	0.0001
ABCF3	96	52	-7.083756236836112	0.00964
ABCG1	96	41	1.5965717029078794	0.68485
ABCG2	96	43	-3.476044792478597	0.14546
ABCG4	96	54	3.3136688397871192	0.87302
ABCG5	96	52	-2.660645917690207	0.1849
ABHD10	96	56	-11.324689093974133	8e-05
ABHD11	96	29	3.91614601176025	0.83782
ABHD14A	96	40	-3.0760803066879934	0.17975
ABHD2	96	51	-1.6661869013646944	0.28839
ABHD3	96	63	-5.512501665527898	0.0211
ABHD4	96	28	-0.033743736393575995	0.4953
ABHD5	96	57	-10.57860925068582	0.00017
ABHD6	96	56	-6.7444125432980915	0.00973
ABHD8	96	38	-1.6437130708741083	0.31741
ABI1	96	38	7.653239383927948	0.984
ABI2	96	48	-2.3275579026553883	0.22671
ABI3BP	96	48	0.4574217624110489	0.55946
ABL1	96	45	-2.384860303722848	0.22859
ABL2	96	36	0.9762045744761562	0.60456
ABLIM1	96	37	-0.9909025961512696	0.38778
ABLIM3	96	54	1.3084336139493837	0.67527
ABO	96	45	0.9000401876026	0.61289
ABP1	96	54	-4.370273266750264	0.06906
ABR	96	55	-9.077307545172902	0.00107
ABT1	96	57	-6.459720043193338	0.01223
ABTB2	96	53	-0.8090429255263007	0.39277
ACAA1	96	38	0.7483538468350709	0.58727
ACAA2	96	28	0.9651552329306862	0.59444
ACACA	96	40	-4.154323094741639	0.11017
ACACB	96	49	-8.9146059335066	0.00235
ACAD10	96	28	-3.5014785443417353	0.19142
ACAD8	96	49	-4.623253006231185	0.0667
ACADL	96	42	-1.4475867118246422	0.32762
ACADM	96	45	-4.584309184746985	0.07749
ACADS	96	49	1.9395330608378343	0.73767
ACADSB	96	56	5.078148761906964	0.96032
ACADVL	96	28	-1.0373420254200638	0.39516
ACAN	96	47	3.3970965813675797	0.86331
ACAP1	96	39	0.9471256810257217	0.61097
ACAP2	96	51	-0.3502720051894652	0.45438
ACAT1	96	53	-4.12445908611968	0.0806
ACAT2	96	51	-9.68355427358975	0.00083
ACBD3	96	41	1.2272340014480185	0.64438
ACBD4	96	41	0.7362373418907772	0.5883
ACCN1	96	48	-3.036278126580344	0.16369
ACCN2	96	59	-4.821636682492409	0.04129
ACCN3	96	47	-1.1501317967979976	0.35797
ACCN4	96	41	1.8334813087402289	0.70969
ACD	96	51	-4.461639986904771	0.06921
ACE	96	43	6.372884140810611	0.97193
ACE2	96	70	-5.7459262960056146	0.01259
ACHE	96	46	1.4080927353532249	0.67341
ACIN1	96	61	-4.169159045257612	0.06391
ACLY	96	42	-3.1597477079323766	0.16874
ACN9	96	70	-12.33719550602092	1e-05
ACO1	96	65	-5.3984519408322935	0.02211
ACO2	96	37	2.567223676433664	0.76498
ACOT11	96	37	3.8403315862833196	0.85989
ACOT13	96	41	1.3410168812090266	0.65677
ACOT7	96	66	-12.87761523042282	1e-05
ACOT8	96	47	1.259091758936705	0.66067
ACOT9	96	33	-4.797419016995893	0.10213
ACOX1	96	42	-5.830282808843406	0.0414
ACOX2	96	41	-8.951856076682052	0.0049
ACOX3	96	60	-5.526265183918654	0.02339
ACOXL	96	57	2.9914295786918697	0.85296
ACP1	96	44	-5.889793042788239	0.0362
ACP2	96	51	-0.8287576316569206	0.39037
ACP5	96	35	-0.6608742376204395	0.42734
ACP6	96	53	-1.1914867012251567	0.3429
ACPP	96	42	1.674415375547078	0.69155
ACR	96	56	-1.2579567042969106	0.32863
ACRV1	96	76	-8.118177780368876	0.00053
ACSBG1	96	42	-1.7334187189778016	0.29706
ACSBG2	96	62	1.3887113562205509	0.69647
ACSF2	96	30	-3.150634829895866	0.20948
ACSL1	96	47	-6.0850514502242365	0.02753
ACSL3	96	38	1.5430685510119815	0.67442
ACSL4	96	49	-1.56912357800853	0.30239
ACSL5	96	58	-9.437813113501036	0.00048
ACSL6	96	71	0.5216524975857838	0.58141
ACSM1	96	34	0.9664622145328957	0.60517
ACSM3	96	40	-3.2694832668648455	0.16579
ACSM5	96	44	-1.6084441547250676	0.30846
ACSS3	96	27	3.2166614515385787	0.7849
ACTA1	96	49	0.8350620425070634	0.60662
ACTA2	96	34	5.063583467028868	0.91369
ACTB	96	51	-0.1982879970538216	0.47447
ACTC1	96	50	3.06488333247222	0.84551
ACTG1	96	56	4.769803805516135	0.95073
ACTG2	96	28	-0.026579837884876625	0.49617
ACTL6A	96	64	-6.267552135975467	0.01065
