	#_of_exp	#_of_exp(fc<0)	EG_score	empirical_pVal
AARS	174	105	-6.7267401223800185	1e-05
ABCB6	174	95	-9.616300865173756	1e-05
ABCC5	174	70	-2.5179731624177273	0.07419
ABCF1	174	87	-4.227758734511651	0.00416
ABCF3	174	75	-7.028066044585065	7e-05
ABHD4	174	77	-0.5722989184512267	0.36256
ABHD6	174	96	0.32582836078770977	0.58679
ABL1	174	65	-2.818470930500331	0.0585
ACAA1	174	90	-5.435424047523621	0.00039
ACAT2	174	98	-10.365205222135915	1e-05
ACBD3	174	100	-4.28420791358301	0.00207
ACD	174	78	0.16377846948286146	0.54118
ACLY	174	111	-6.921426523950522	1e-05
ACOT9	174	63	-5.752098393839543	0.00161
ADAM10	174	83	0.9709031334301312	0.73063
ADAT1	174	104	-1.052113773304835	0.2253
ADCK3	174	110	-1.2541225600306383	0.17988
ADH5	174	88	-4.841291790375845	0.00131
ADI1	174	75	-7.514272937505303	3e-05
ADO	174	118	-5.735916265093978	2e-05
ADRB2	174	110	-3.5301489912426582	0.00535
AGL	174	124	-4.401874122839213	0.00043
AKAP8	174	92	-3.0747169773427325	0.0212
AKAP8L	174	83	1.625938160228754	0.84814
AKR7A2	174	36	-2.1709296037898413	0.18086
AKT1	174	71	-7.5871726289505075	6e-05
ALAS1	174	82	3.235608804731662	0.97724
ALDH7A1	174	50	-0.518689288331313	0.3999
ALDOA	174	84	-1.2744063227150144	0.20805
ALDOC	174	89	-9.808106228595145	1e-05
AMDHD2	174	72	-1.2656910240927284	0.22767
ANKRD10	174	90	-2.8302381972073674	0.0326
ANO10	174	85	-6.682311162196805	4e-05
ANXA7	174	89	-10.782580891035357	1e-05
APBB2	174	101	-2.0871316709383123	0.07334
APOE	174	98	-1.13450529214216	0.21636
APP	174	69	-0.868138979657435	0.30647
APPBP2	174	65	-1.0005580573699413	0.28523
ARFIP2	174	89	-7.682435995674649	1e-05
ARHGAP1	174	90	-2.657807079478857	0.04111
ARHGEF12	174	93	-0.44859087013991855	0.38145
ARHGEF2	174	97	-5.441049067328674	0.00019
ARID4B	174	60	-1.352336472426754	0.23111
ARID5B	174	104	0.21837356772558475	0.5621
ARL4C	174	87	-0.2858160432986326	0.4258
ARNT2	174	75	0.8017931606774898	0.68539
ARPP19	174	73	-1.381321318224414	0.20508
ASAH1	174	95	-1.301606667384315	0.18929
ASCC3	174	92	-9.798888279102908	1e-05
ATF1	174	93	-7.695834407272776	1e-05
ATF5	174	86	-3.2880361654936427	0.01854
ATF6	174	91	-4.1290484520162	0.00419
ATG3	174	97	-6.808936808713284	2e-05
ATMIN	174	65	-10.750771093043252	1e-05
ATP11B	174	86	-0.7174093398610966	0.32049
ATP1B1	174	80	-8.334401380664287	1e-05
ATP2C1	174	91	1.1970995269006635	0.78712
ATP5S	174	76	-0.2744655518215884	0.43249
ATP6V0B	174	79	-11.157689062684252	1e-05
ATP6V1D	174	54	-1.9287421888117953	0.16078
AURKA	174	118	-9.065438933064796	1e-05
AURKB	174	98	-2.265830143785156	0.06055
AXIN1	174	85	-0.5005195340862735	0.37403
B3GNT1	174	100	-8.471745629288186	1e-05
BACE2	174	87	-4.496595146481071	0.00258
BAD	174	122	-3.70780798334948	0.00259
BAG3	174	68	-3.93109370611244	0.01477
BAMBI	174	66	-0.10067225733638435	0.47641
BAX	174	90	0.42258708723498056	0.60894
BCL2	174	103	-7.922960060215467	1e-05
BCL7B	174	92	-5.974248397362256	6e-05
BDH1	174	94	-9.016840141030178	1e-05
BECN1	174	68	-0.6498042453767633	0.35232
BHLHE40	174	75	-0.2768658081853566	0.43281
